https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BADGER,Volume BTC
1663459200,2022-09-18 00:00:00,BADGER/BTC,0.0002088,0.0002096,0.0002088,0.0002093,0.3196,0.00006678411
1663372800,2022-09-17 00:00:00,BADGER/BTC,0.0002055,0.0002118,0.0002033,0.0002093,59.4778,0.01229224787
1663286400,2022-09-16 00:00:00,BADGER/BTC,0.000207,0.0002075,0.0002039,0.0002048,46.9852,0.00965041002
1663200000,2022-09-15 00:00:00,BADGER/BTC,0.0002089,0.0002106,0.0002038,0.0002065,34.8294,0.00719088649
1663113600,2022-09-14 00:00:00,BADGER/BTC,0.0002078,0.0002147,0.0002038,0.0002106,177.4022,0.03743655687
1663027200,2022-09-13 00:00:00,BADGER/BTC,0.0002096,0.0002115,0.000201,0.0002078,381.2058,0.07877015275
1662940800,2022-09-12 00:00:00,BADGER/BTC,0.0002166,0.0002178,0.0002095,0.0002114,35.9573,0.00773430947
1662854400,2022-09-11 00:00:00,BADGER/BTC,0.0002262,0.0002262,0.0002147,0.0002164,178.3073,0.03902635922
1662768000,2022-09-10 00:00:00,BADGER/BTC,0.0002198,0.0002289,0.0002172,0.0002246,2674.0611,0.59435884842
1662681600,2022-09-09 00:00:00,BADGER/BTC,0.0002174,0.0002259,0.0002147,0.0002186,305.0679,0.06687036959
1662595200,2022-09-08 00:00:00,BADGER/BTC,0.000217,0.0002208,0.0001981,0.0002188,363.3831,0.07852873635
1662508800,2022-09-07 00:00:00,BADGER/BTC,0.0002144,0.000218,0.0002112,0.000215,138.4227,0.0296533598
1662422400,2022-09-06 00:00:00,BADGER/BTC,0.000216,0.0002248,0.0002132,0.0002142,457.9472,0.10026852786
1662336000,2022-09-05 00:00:00,BADGER/BTC,0.0002131,0.0002337,0.0002111,0.0002177,1107.737,0.24124426636
1662249600,2022-09-04 00:00:00,BADGER/BTC,0.0001958,0.0002204,0.0001932,0.0002128,243.6443,0.05162498251
1662163200,2022-09-03 00:00:00,BADGER/BTC,0.0002,0.0002028,0.0001943,0.0001949,38.701,0.00772799881
1662076800,2022-09-02 00:00:00,BADGER/BTC,0.0001971,0.0002023,0.0001926,0.0002016,63.8362,0.01267286802
1661990400,2022-09-01 00:00:00,BADGER/BTC,0.0001882,0.000207,0.0001865,0.0001971,63.3837,0.0125046597
1661904000,2022-08-31 00:00:00,BADGER/BTC,0.0001862,0.0001914,0.0001853,0.0001886,135.3314,0.02539785516
1661817600,2022-08-30 00:00:00,BADGER/BTC,0.0001908,0.000193,0.0001843,0.0001857,30.7841,0.00573491036
1661731200,2022-08-29 00:00:00,BADGER/BTC,0.0001849,0.0001932,0.0001824,0.0001928,127.9253,0.02416592103
1661644800,2022-08-28 00:00:00,BADGER/BTC,0.0001898,0.0001911,0.0001852,0.0001855,60.2065,0.01129022772
1661558400,2022-08-27 00:00:00,BADGER/BTC,0.0001865,0.0001933,0.0001844,0.0001884,109.2343,0.02077679301
1661472000,2022-08-26 00:00:00,BADGER/BTC,0.0001923,0.0001939,0.0001849,0.0001851,755.2735,0.14350250872
1661385600,2022-08-25 00:00:00,BADGER/BTC,0.0001949,0.0002055,0.0001931,0.0001934,362.8576,0.07324895868
1661299200,2022-08-24 00:00:00,BADGER/BTC,0.0001803,0.0002008,0.0001751,0.0001927,864.8681,0.16693077855
1661212800,2022-08-23 00:00:00,BADGER/BTC,0.0001805,0.0001851,0.0001769,0.000179,94.5133,0.01697486957
1661126400,2022-08-22 00:00:00,BADGER/BTC,0.0001812,0.0001812,0.0001735,0.00018,187.2962,0.03317304108
1661040000,2022-08-21 00:00:00,BADGER/BTC,0.0001745,0.0001902,0.0001743,0.0001823,1902.3356,0.3477847325
1660953600,2022-08-20 00:00:00,BADGER/BTC,0.0001778,0.0001913,0.0001743,0.0001758,2999.6437,0.54124789668
1660867200,2022-08-19 00:00:00,BADGER/BTC,0.0001746,0.0001784,0.0001685,0.0001784,308.317,0.0534199139
1660780800,2022-08-18 00:00:00,BADGER/BTC,0.000179,0.0001827,0.0001735,0.0001735,51.392,0.00912229464
1660694400,2022-08-17 00:00:00,BADGER/BTC,0.0001873,0.0001897,0.0001777,0.0001788,201.764,0.03744350442
1660608000,2022-08-16 00:00:00,BADGER/BTC,0.0001877,0.0001885,0.0001789,0.0001873,231.238,0.04258182132
1660521600,2022-08-15 00:00:00,BADGER/BTC,0.0001897,0.0001916,0.0001863,0.0001876,49.9445,0.00937646219
