https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MAKI,Volume USDT
1663459200,2022-09-18 00:00:00,MAKI/USDT,0.002712,0.002747,0.002709,0.002747,119395.6211,326.3172269344
1663372800,2022-09-17 00:00:00,MAKI/USDT,0.002658,0.002759,0.002596,0.002716,103900475.9838,275858.3311406155
1663286400,2022-09-16 00:00:00,MAKI/USDT,0.002687,0.002701,0.0026,0.002637,6878160.7048,18061.0383245352
1663200000,2022-09-15 00:00:00,MAKI/USDT,0.002648,0.003,0.002631,0.00269,18345805.3384,51480.0058221133
1663113600,2022-09-14 00:00:00,MAKI/USDT,0.002674,0.002794,0.0026,0.002652,124718232.2823,330073.233097043
1663027200,2022-09-13 00:00:00,MAKI/USDT,0.002705,0.002799,0.002631,0.002674,2762418.6111,7481.8462181615
1662940800,2022-09-12 00:00:00,MAKI/USDT,0.002801,0.003049,0.00259,0.002671,14849960.4015,41104.8330937364
1662854400,2022-09-11 00:00:00,MAKI/USDT,0.002848,0.002966,0.00278,0.002829,9393214.5129,26830.5996596626
1662768000,2022-09-10 00:00:00,MAKI/USDT,0.002718,0.00325,0.00271,0.002822,34886848.8758,104791.0990153746
1662681600,2022-09-09 00:00:00,MAKI/USDT,0.002768,0.002877,0.002642,0.00273,105485585.8737,287661.0439632577
1662595200,2022-09-08 00:00:00,MAKI/USDT,0.002773,0.00299,0.002705,0.002767,14212948.7551,40562.9379231613
1662508800,2022-09-07 00:00:00,MAKI/USDT,0.002537,0.002848,0.002521,0.002798,109801841.8505,294455.8973935663
1662422400,2022-09-06 00:00:00,MAKI/USDT,0.002633,0.002789,0.002519,0.00256,10114990.7696,27102.4073881001
1662336000,2022-09-05 00:00:00,MAKI/USDT,0.002599,0.00264,0.002521,0.002631,102859798.6554,265242.6547347006
1662249600,2022-09-04 00:00:00,MAKI/USDT,0.002671,0.002681,0.0025,0.002621,6087574.7904,15633.0808683442
1662163200,2022-09-03 00:00:00,MAKI/USDT,0.002522,0.003099,0.00242,0.002671,27241786.5391,76882.6604695726
1662076800,2022-09-02 00:00:00,MAKI/USDT,0.002516,0.002789,0.00243,0.00252,3944339.2057,10171.8937695825
1661990400,2022-09-01 00:00:00,MAKI/USDT,0.002513,0.002598,0.0025,0.002528,950153.6853,2396.0234854642
1661904000,2022-08-31 00:00:00,MAKI/USDT,0.002629,0.002656,0.002471,0.002537,2046253.2977,5262.8985984442
1661817600,2022-08-30 00:00:00,MAKI/USDT,0.002724,0.002865,0.002544,0.002652,3556785.6809,9633.7969920846
1661731200,2022-08-29 00:00:00,MAKI/USDT,0.00271,0.002762,0.002658,0.002729,1748869.8656,4739.7614722641
1661644800,2022-08-28 00:00:00,MAKI/USDT,0.00283,0.00283,0.002605,0.00271,5634957.9756,15274.4699940668
1661558400,2022-08-27 00:00:00,MAKI/USDT,0.002865,0.002882,0.002823,0.00283,2386353.4074,6793.3549024792
1661472000,2022-08-26 00:00:00,MAKI/USDT,0.003207,0.003297,0.002854,0.00287,9477048.0136,28603.1288435712
1661385600,2022-08-25 00:00:00,MAKI/USDT,0.002943,0.003966,0.002943,0.003202,46910201.17382087,161904.49045681058684
1661299200,2022-08-24 00:00:00,MAKI/USDT,0.002927,0.003002,0.002861,0.002943,1867792.5456,5463.829640446
1661212800,2022-08-23 00:00:00,MAKI/USDT,0.002899,0.00304,0.00288,0.002927,1751204.399,5154.6785512357
1661126400,2022-08-22 00:00:00,MAKI/USDT,0.003004,0.003186,0.00286,0.002874,6030830.5195,18046.7737449361
