https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MARSH,Volume USDT
1663459200,2022-09-18 00:00:00,MARSH/USDT,0.064,0.064,0.0631,0.0638,148107.7075,9411.36542015
1663372800,2022-09-17 00:00:00,MARSH/USDT,0.0621,0.0648,0.0612,0.0638,2064313.1002,128062.34701921
1663286400,2022-09-16 00:00:00,MARSH/USDT,0.0653,0.0666,0.061,0.0621,2440542.7185,152713.13998135
1663200000,2022-09-15 00:00:00,MARSH/USDT,0.0661,0.069,0.0641,0.0653,2094052.8332,138998.75595579
1663113600,2022-09-14 00:00:00,MARSH/USDT,0.0665,0.0679,0.0657,0.0661,2215169.3847,147273.38229559
1663027200,2022-09-13 00:00:00,MARSH/USDT,0.0673,0.0698,0.066,0.0665,2524100.3453,169636.80296048
1662940800,2022-09-12 00:00:00,MARSH/USDT,0.0674,0.0713,0.067,0.0673,1435346.6178,97584.58489033
1662854400,2022-09-11 00:00:00,MARSH/USDT,0.0664,0.0699,0.0664,0.0674,1397520.0923,94710.22875001
1662768000,2022-09-10 00:00:00,MARSH/USDT,0.0667,0.0704,0.0658,0.0665,120144.7343,8105.61920582
1662681600,2022-09-09 00:00:00,MARSH/USDT,0.0704,0.075,0.065,0.0666,1715211.3322,118086.34221071
1662595200,2022-09-08 00:00:00,MARSH/USDT,0.0644,0.0771,0.0628,0.0702,3455365.121,235990.99683748
1662508800,2022-09-07 00:00:00,MARSH/USDT,0.061,0.0658,0.06,0.0649,1974750.391,122879.25614142
1662422400,2022-09-06 00:00:00,MARSH/USDT,0.0606,0.0651,0.0605,0.061,1646080.0466,103508.15942012
1662336000,2022-09-05 00:00:00,MARSH/USDT,0.0627,0.0635,0.0594,0.0605,1191224.0454,73386.36952231
1662249600,2022-09-04 00:00:00,MARSH/USDT,0.0642,0.0676,0.062,0.0629,2415653.9727,153699.58576864
1662163200,2022-09-03 00:00:00,MARSH/USDT,0.0635,0.0654,0.062,0.0641,2330511.3013,147008.37164915
1662076800,2022-09-02 00:00:00,MARSH/USDT,0.0691,0.0693,0.0607,0.0636,1698879.3963,109424.92172127
1661990400,2022-09-01 00:00:00,MARSH/USDT,0.0685,0.0739,0.0684,0.0692,1790999.9301,124405.29127382
1661904000,2022-08-31 00:00:00,MARSH/USDT,0.0661,0.1486,0.0637,0.0689,4743131.46504795,347788.72920119557
1661817600,2022-08-30 00:00:00,MARSH/USDT,0.066,0.0697,0.0625,0.0662,2598199.7857,171976.47767773
1661731200,2022-08-29 00:00:00,MARSH/USDT,0.0651,0.0693,0.0637,0.066,2692728.4167,176140.18358593
1661644800,2022-08-28 00:00:00,MARSH/USDT,0.0621,0.0703,0.0618,0.0649,1835840.6337,119710.21623461
1661558400,2022-08-27 00:00:00,MARSH/USDT,0.0644,0.0647,0.061,0.0621,2114823.6129,133926.69368238
1661472000,2022-08-26 00:00:00,MARSH/USDT,0.0678,0.0708,0.0632,0.0639,2466823.6413,162503.54235305
1661385600,2022-08-25 00:00:00,MARSH/USDT,0.0692,0.0749,0.0668,0.0673,1330918.9024,93485.00032913
1661299200,2022-08-24 00:00:00,MARSH/USDT,0.0709,0.0736,0.0669,0.0692,2227653.732,155551.00771632
1661212800,2022-08-23 00:00:00,MARSH/USDT,0.0707,0.0788,0.0684,0.071,2502637.6178,177502.68937745
1661126400,2022-08-22 00:00:00,MARSH/USDT,0.0776,0.0781,0.0702,0.0709,2700107.2487,198614.33199514
1661040000,2022-08-21 00:00:00,MARSH/USDT,0.0768,0.0787,0.0756,0.0772,1481918.6732,114720.84684006
1660953600,2022-08-20 00:00:00,MARSH/USDT,0.0793,0.0818,0.0753,0.0769,1316578.0049,102097.42078009
1660867200,2022-08-19 00:00:00,MARSH/USDT,0.0849,0.0856,0.0779,0.0793,2799718.6883,225657.31105847
1660780800,2022-08-18 00:00:00,MARSH/USDT,0.0806,0.0871,0.08,0.0847,3591347.7819,292722.13285679
1660694400,2022-08-17 00:00:00,MARSH/USDT,0.0833,0.086,0.0773,0.0803,3317290.3288,269981.01022217
1660608000,2022-08-16 00:00:00,MARSH/USDT,0.0829,0.089,0.081,0.0836,3298138.1654,272841.16153852
1660521600,2022-08-15 00:00:00,MARSH/USDT,0.0819,0.0848,0.081,0.0827,2845230.9739,234716.49013349
