https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume BTC
1663545600000,2022-09-19 00:00:00,BTC/GBP,16999.0,17055.0,16970.46260246,17050.775385,830532.6385269285,48.70937654
1663459200000,2022-09-18 00:00:00,BTC/GBP,17623.0,17623.0,16942.18243292,16990.0,3069499.8106303,180.66508597
1663372800000,2022-09-17 00:00:00,BTC/GBP,17357.0,17666.190234,17136.91278,17623.0,180114693.5064257,10220.4331559
1663286400000,2022-09-16 00:00:00,BTC/GBP,17217.0,17436.0,16979.0,17355.0,57427232.640759155,3308.97335873
1663200000000,2022-09-15 00:00:00,BTC/GBP,17529.0,17648.98125,16976.0,17214.0,19901437.075737063,1156.11926779
1663113600000,2022-09-14 00:00:00,BTC/GBP,17531.0,17838.0,16995.0,17503.0,32621550.56010048,1863.76910016
1663027200000,2022-09-13 00:00:00,BTC/GBP,19165.0,19425.0,17302.534995,17547.318957,58181091.51616748,3315.6684311
1662940800000,2022-09-12 00:00:00,BTC/GBP,18784.0,19256.0,18557.660505,19162.0,15603663.517390521,814.30244846
1662854400000,2022-09-11 00:00:00,BTC/GBP,18666.0,18828.0,18413.0,18807.0,4360162.32158166,231.83720538
1662768000000,2022-09-10 00:00:00,BTC/GBP,18426.0,18792.0,18223.0,18655.0,4926589.43613655,264.08949001
1662681600000,2022-09-09 00:00:00,BTC/GBP,16767.371844,18616.0,16738.0,18423.419135,27493282.704895906,1492.3007778
1662595200000,2022-09-08 00:00:00,BTC/GBP,16744.0,16915.0,16544.0,16775.0,34475094.18824075,2055.14719453
1662508800000,2022-09-07 00:00:00,BTC/GBP,16324.491225,16958.014585,16172.038395,16739.0,20330618.6001,1214.5659
1662422400000,2022-09-06 00:00:00,BTC/GBP,17132.0,17416.0,16215.0,16320.0,35981030.095468804,2204.7199813400002
1662336000000,2022-09-05 00:00:00,BTC/GBP,17429.0,17468.0,17072.0,17118.0,9527310.15989688,556.56678116
1662249600000,2022-09-04 00:00:00,BTC/GBP,17232.0,17457.0,17026.0,17428.0,5379430.6044574,308.66597455
1662163200000,2022-09-03 00:00:00,BTC/GBP,17350.0,17431.0,17069.0,17237.0,1281845.75690545,74.36594285
1662076800000,2022-09-02 00:00:00,BTC/GBP,17440.3337,17671.0,17173.0,17353.0,25184778.5779002,1451.3213034
1661990400000,2022-09-01 00:00:00,BTC/GBP,17295.0,17487.0,16975.0,17439.467745,27884800.75385729,1598.94792442
