https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BVOL,Volume USDT
1652832000000.0,2022-05-18 00:00:00,BVOL/USDT,544.3,544.7,541.95,542.55,0.0,0.0
1652745600000.0,2022-05-17 00:00:00,BVOL/USDT,574.65,579.9,543.25,544.3,1.153507596913467,627.854185
1652659200000.0,2022-05-16 00:00:00,BVOL/USDT,536.6,580.9,535.95,574.65,1.1445508657443662,657.716155
1652572800000.0,2022-05-15 00:00:00,BVOL/USDT,583.2,604.45,535.95,536.6,6.939279985091315,3723.61764
1652486400000.0,2022-05-14 00:00:00,BVOL/USDT,567.95,605.1,521.55,583.2,1.2999259516460904,758.116815
1652400000000.0,2022-05-13 00:00:00,BVOL/USDT,663.05,665.9,540.65,567.95,0.8080053085658948,458.906615
1652313600000.0,2022-05-12 00:00:00,BVOL/USDT,614.35,696.95,604.3,663.05,13.28551027071865,8808.957585
1652227200000.0,2022-05-11 00:00:00,BVOL/USDT,494.15,640.2,494.15,614.35,8.752182469276471,5376.9033
1652140800000.0,2022-05-10 00:00:00,BVOL/USDT,508.6,532.4,479.5,494.15,13.908375553981585,6872.82378
1652054400000.0,2022-05-09 00:00:00,BVOL/USDT,428.25,516.35,424.35,508.6,32.27915210381439,16417.17676
1651968000000.0,2022-05-08 00:00:00,BVOL/USDT,414.1,428.9,411.0,428.25,0.20566024518388792,88.074
1651881600000.0,2022-05-07 00:00:00,BVOL/USDT,408.3,415.95,402.25,414.1,0.0002977541656604685,0.1233
1651795200000.0,2022-05-06 00:00:00,BVOL/USDT,426.05,426.05,395.6,404.75,3.643408313773935,1474.669515
1651708800000.0,2022-05-05 00:00:00,BVOL/USDT,409.25,436.6,388.15,421.65,8.711740697260762,3673.305465
1651622400000.0,2022-05-04 00:00:00,BVOL/USDT,414.55,420.5,409.1,409.25,0.01719613927916921,7.03752
1651536000000.0,2022-05-03 00:00:00,BVOL/USDT,414.0,414.55,404.1,414.55,0.15647549149680376,64.866915
1651449600000.0,2022-05-02 00:00:00,BVOL/USDT,410.45,414.0,402.9,414.0,0.6833915942028986,282.92412
1651363200000.0,2022-05-01 00:00:00,BVOL/USDT,406.6,413.15,404.35,410.45,3.098171311974662,1271.644415
1651276800000.0,2022-04-30 00:00:00,BVOL/USDT,411.5,412.35,405.0,406.6,0.6385679783571078,259.64174
1651190400000.0,2022-04-29 00:00:00,BVOL/USDT,427.8,427.8,410.3,411.5,0.067596695018226,27.81604
1651104000000.0,2022-04-28 00:00:00,BVOL/USDT,426.85,429.5,425.85,427.8,0.15258473585787752,65.27575
1651017600000.0,2022-04-27 00:00:00,BVOL/USDT,437.75,437.75,426.85,426.85,0.3516348248799344,150.095325
1650931200000.0,2022-04-26 00:00:00,BVOL/USDT,422.9,437.75,412.35,437.75,2.0486596116504856,896.800745
1650844800000.0,2022-04-25 00:00:00,BVOL/USDT,411.1,422.9,409.55,422.9,0.2559170844171199,108.227335
1650758400000.0,2022-04-24 00:00:00,BVOL/USDT,407.55,413.3,407.55,411.1,0.3088311846266115,126.9605
1650672000000.0,2022-04-23 00:00:00,BVOL/USDT,407.6,413.1,399.75,407.55,0.18880813397129187,76.948755
1650585600000.0,2022-04-22 00:00:00,BVOL/USDT,413.5,416.85,407.45,407.6,0.0,0.0
1650499200000.0,2022-04-21 00:00:00,BVOL/USDT,414.65,414.65,411.25,413.5,1.1066,457.5791
