https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ABBC,Volume BTC
1663459200,2022-09-18 00:00:00,ABBC/BTC,0.000008869,0.00000899,0.000008841,0.00000899,62933.2513,0.563056591315
1663372800,2022-09-17 00:00:00,ABBC/BTC,0.000008735,0.000009033,0.000008612,0.000008869,1065173.0033,9.3860190914336
1663286400,2022-09-16 00:00:00,ABBC/BTC,0.000008923,0.000009069,0.000008704,0.00000874,1017209.1098,9.0188059353143
1663200000,2022-09-15 00:00:00,ABBC/BTC,0.000008625,0.000009049,0.00000855,0.000008848,766798.5912,6.8079445673736
1663113600,2022-09-14 00:00:00,ABBC/BTC,0.000008006,0.00000885,0.000007919,0.000008685,1074865.1728,9.1499669244834
1663027200,2022-09-13 00:00:00,ABBC/BTC,0.000008314,0.000008329,0.000007884,0.000007901,1452012.868,11.70959402496
1662940800,2022-09-12 00:00:00,ABBC/BTC,0.000008485,0.000008691,0.00000818,0.000008316,691860.7922,5.7985757123235
1662854400,2022-09-11 00:00:00,ABBC/BTC,0.000008871,0.000008947,0.00000831,0.000008492,1043093.41,8.9424467841324
1662768000,2022-09-10 00:00:00,ABBC/BTC,0.000009272,0.000009454,0.000008789,0.00000887,1597044.2735,14.4412864023128
1662681600,2022-09-09 00:00:00,ABBC/BTC,0.000010351,0.000010435,0.000009114,0.000009264,1220833.1606,11.7675375278691
1662595200,2022-09-08 00:00:00,ABBC/BTC,0.000010267,0.000010629,0.000010195,0.000010351,630607.6368,6.5095362714742
1662508800,2022-09-07 00:00:00,ABBC/BTC,0.000010491,0.000010774,0.000010152,0.000010273,682419.6206,7.1497336041493
1662422400,2022-09-06 00:00:00,ABBC/BTC,0.000010087,0.000010787,0.000009923,0.000010438,1051339.7578,10.8691024032267
1662336000,2022-09-05 00:00:00,ABBC/BTC,0.000010258,0.000011099,0.00001,0.000010015,912584.2998,9.459960644388
1662249600,2022-09-04 00:00:00,ABBC/BTC,0.000009139,0.000010727,0.000009105,0.000010196,1150172.6064,11.3717422628036
1662163200,2022-09-03 00:00:00,ABBC/BTC,0.000010043,0.000011129,0.000008892,0.000009125,2045539.1734,19.7364099909303
1662076800,2022-09-02 00:00:00,ABBC/BTC,0.000008438,0.000010045,0.00000835,0.000010011,1523782.3972,13.7948285925001
