https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VIDT,Volume BTC
1663459200,2022-09-18 00:00:00,VIDT/BTC,0.000015067,0.000015067,0.000014981,0.000014981,53.1824,0.0007992742498
1663455600,2022-09-17 23:00:00,VIDT/BTC,0.000014877,0.00001514,0.000014848,0.00001514,912.5077,0.0136135638935
1663452000,2022-09-17 22:00:00,VIDT/BTC,0.000015286,0.000015286,0.000014921,0.000014921,329.9683,0.0049635135222
1663448400,2022-09-17 21:00:00,VIDT/BTC,0.000014921,0.000015221,0.000014885,0.000015221,5530.6038,0.083733825885
1663444800,2022-09-17 20:00:00,VIDT/BTC,0.000014848,0.000015101,0.000014848,0.000014994,255.1124,0.003820066742
1663441200,2022-09-17 19:00:00,VIDT/BTC,0.000014798,0.000014848,0.000014741,0.000014741,1173.0093,0.0173006944401
1663437600,2022-09-17 18:00:00,VIDT/BTC,0.000014848,0.000014848,0.000014848,0.000014848,0,0
1663434000,2022-09-17 17:00:00,VIDT/BTC,0.000014775,0.000015053,0.000014775,0.000014848,985.1963,0.01469197841
1663430400,2022-09-17 16:00:00,VIDT/BTC,0.000014801,0.000014809,0.000014775,0.000014775,1876.7515,0.0277718788297
1663426800,2022-09-17 15:00:00,VIDT/BTC,0.000014889,0.000014994,0.000014801,0.000014899,3189.0815,0.0472945705024
1663423200,2022-09-17 14:00:00,VIDT/BTC,0.00001493,0.000015014,0.000014802,0.000014909,5642.3523,0.0835640822792
1663419600,2022-09-17 13:00:00,VIDT/BTC,0.000015101,0.000015213,0.000014921,0.000014921,217.7072,0.0032733868127
1663416000,2022-09-17 12:00:00,VIDT/BTC,0.000014865,0.0000154,0.000014865,0.00001514,5513.8094,0.0843601566425
1663412400,2022-09-17 11:00:00,VIDT/BTC,0.000014848,0.000015221,0.000014775,0.000014848,863.0445,0.0129424415973
1663408800,2022-09-17 10:00:00,VIDT/BTC,0.00001514,0.000015254,0.000014702,0.000014861,2168.656,0.0326192112601
