Created on 11-22-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume ETH
1605830400.0,2020-11-20,LTCETH,0.173,0.1771,0.1666,0.167,305.3,52.64
1605744000.0,2020-11-19,LTCETH,0.1534,0.1756,0.1529,0.173,615.36,100.73
1605657600.0,2020-11-18,LTCETH,0.1583,0.1583,0.115,0.1534,1985.8,303.69
1605571200.0,2020-11-17,LTCETH,0.1599,0.163,0.1529,0.1583,380.9,59.89
1605484800.0,2020-11-16,LTCETH,0.1389,0.1609,0.1389,0.1599,1662.0,248.09
1605398400.0,2020-11-15,LTCETH,0.1369,0.1397,0.1364,0.1389,69.59,9.598
1605312000.0,2020-11-14,LTCETH,0.1372,0.1382,0.1354,0.1369,2961.9,407.01
1605225600.0,2020-11-13,LTCETH,0.1308,0.1417,0.1308,0.1372,511.48,70.04
1605139200.0,2020-11-12,LTCETH,0.1278,0.1308,0.1267,0.1308,347.87,44.36
1605052800.0,2020-11-11,LTCETH,0.1284,0.1299,0.1266,0.1278,1287.27,165.79
1604966400.0,2020-11-10,LTCETH,0.132,0.1336,0.1283,0.1284,242.55,31.5
1604880000.0,2020-11-09,LTCETH,0.1337,0.1352,0.1315,0.132,225.41,30.0
1604793600.0,2020-11-08,LTCETH,0.1349,0.1364,0.1337,0.1337,235.51,31.88
1604707200.0,2020-11-07,LTCETH,0.1392,0.1393,0.134,0.1349,1596.82,217.76
1604620800.0,2020-11-06,LTCETH,0.1421,0.1445,0.1355,0.1392,1477.9,208.4
1604534400.0,2020-11-05,LTCETH,0.1365,0.143,0.1361,0.1421,989.35,139.24
1604448000.0,2020-11-04,LTCETH,0.1381,0.1403,0.1337,0.1365,530.35,72.56
1604361600.0,2020-11-03,LTCETH,0.1403,0.1412,0.1371,0.1381,1021.8,142.29
1604275200.0,2020-11-02,LTCETH,0.1402,0.1414,0.1395,0.1403,227.95,32.0
1604188800.0,2020-11-01,LTCETH,0.1444,0.1444,0.1402,0.1402,159.02,22.49
1604102400.0,2020-10-31,LTCETH,0.1414,0.1447,0.1412,0.1444,237.22,33.8
1604016000.0,2020-10-30,LTCETH,0.1421,0.1432,0.1398,0.1414,313.05,44.26
1603929600.0,2020-10-29,LTCETH,0.1431,0.1443,0.1405,0.1421,666.04,94.36
