https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETHBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,ETHBULL/USDT,4.689,4.771,4.66,4.769,1104.1807800377437,5265.83814
1663542000000.0,2022-09-18 23:00:00,ETHBULL/USDT,4.75,4.9225,4.63,4.689,3718.7400138622306,17437.171925
1663538400000.0,2022-09-18 22:00:00,ETHBULL/USDT,4.6825,4.7625,4.6,4.75,1983.2141368421053,9420.26715
1663534800000.0,2022-09-18 21:00:00,ETHBULL/USDT,5.18,5.2025,4.58,4.6825,48529.7300373732,227240.4609
1663531200000.0,2022-09-18 20:00:00,ETHBULL/USDT,5.28,5.28,5.1,5.18,442.00248552123554,2289.572875
1663527600000.0,2022-09-18 19:00:00,ETHBULL/USDT,5.205,5.3375,5.145,5.28,396.5910179924242,2094.000575
1663524000000.0,2022-09-18 18:00:00,ETHBULL/USDT,5.2575,5.345,5.1,5.205,2836.3368299711815,14763.1332
1663520400000.0,2022-09-18 17:00:00,ETHBULL/USDT,5.4925,5.495,5.1975,5.2575,5382.530584878744,28298.65455
1663516800000.0,2022-09-18 16:00:00,ETHBULL/USDT,5.7725,5.8425,5.2575,5.4925,7490.997564861175,41144.304125
1663513200000.0,2022-09-18 15:00:00,ETHBULL/USDT,5.8,5.8425,5.7225,5.7725,1178.5149242096145,6802.9774
1663509600000.0,2022-09-18 14:00:00,ETHBULL/USDT,5.9975,6.0,5.67,5.8,6180.295693965517,35845.715025
1663506000000.0,2022-09-18 13:00:00,ETHBULL/USDT,6.015,6.015,5.955,5.9975,890.0119633180492,5337.84675
1663502400000.0,2022-09-18 12:00:00,ETHBULL/USDT,5.9625,6.0275,5.85,6.015,1448.9122693266834,8715.2073
1663498800000.0,2022-09-18 11:00:00,ETHBULL/USDT,5.9175,5.9875,5.9175,5.9625,644.8351530398322,3844.8296
1663495200000.0,2022-09-18 10:00:00,ETHBULL/USDT,5.845,6.0725,5.775,5.9175,3002.243117870722,17765.77365
1663491600000.0,2022-09-18 09:00:00,ETHBULL/USDT,6.2375,6.2675,5.8375,5.845,4911.91883661249,28710.1656
1663488000000.0,2022-09-18 08:00:00,ETHBULL/USDT,6.2275,6.2925,6.215,6.2375,594.8507294589178,3710.381425
1663484400000.0,2022-09-18 07:00:00,ETHBULL/USDT,6.21,6.2675,6.2075,6.2275,21.569213167402648,134.322275
1663480800000.0,2022-09-18 06:00:00,ETHBULL/USDT,6.28,6.29,6.175,6.21,218.62756843800324,1357.6772
1663477200000.0,2022-09-18 05:00:00,ETHBULL/USDT,6.235,6.2925,6.2075,6.28,1857.4164808917199,11664.5755
1663473600000.0,2022-09-18 04:00:00,ETHBULL/USDT,6.175,6.25,6.1575,6.235,36.04127906976744,224.717375
1663470000000.0,2022-09-18 03:00:00,ETHBULL/USDT,6.245,6.245,6.1425,6.16,512.0607021103896,3154.293925
1663466400000.0,2022-09-18 02:00:00,ETHBULL/USDT,6.1825,6.245,6.1775,6.245,12.68124899919936,79.1944
1663462800000.0,2022-09-18 01:00:00,ETHBULL/USDT,6.2075,6.25,6.1775,6.1825,785.0989890820865,4853.8745
1663459200000.0,2022-09-18 00:00:00,ETHBULL/USDT,6.42,6.44,6.175,6.2075,1590.5014941602901,9873.038025
1663455600000.0,2022-09-17 23:00:00,ETHBULL/USDT,6.375,6.47,6.335,6.42,127.49952492211838,818.54695
1663452000000.0,2022-09-17 22:00:00,ETHBULL/USDT,6.1925,6.375,6.185,6.375,310.33903529411765,1978.41135
1663448400000.0,2022-09-17 21:00:00,ETHBULL/USDT,6.315,6.32,6.1425,6.1925,1643.8980823576908,10179.838875
1663444800000.0,2022-09-17 20:00:00,ETHBULL/USDT,6.3475,6.3625,6.305,6.315,861.1226801266826,5437.989725
1663441200000.0,2022-09-17 19:00:00,ETHBULL/USDT,6.415,6.43,6.305,6.3475,822.191906262308,5218.863125
1663437600000.0,2022-09-17 18:00:00,ETHBULL/USDT,6.425,6.485,6.3825,6.415,48.68640296180826,312.323275
1663434000000.0,2022-09-17 17:00:00,ETHBULL/USDT,6.3925,6.4825,6.35,6.425,91.41291050583658,587.32795
1663430400000.0,2022-09-17 16:00:00,ETHBULL/USDT,6.12,6.4125,6.095,6.3925,3174.729018380915,20294.45525
1663426800000.0,2022-09-17 15:00:00,ETHBULL/USDT,6.105,6.19,6.02,6.12,354.1339869281046,2167.3
1663423200000.0,2022-09-17 14:00:00,ETHBULL/USDT,5.825,6.105,5.815,6.105,3302.395847665847,20161.12665
1663419600000.0,2022-09-17 13:00:00,ETHBULL/USDT,5.8625,5.8775,5.8025,5.825,313.32776824034335,1825.13425
1663416000000.0,2022-09-17 12:00:00,ETHBULL/USDT,5.8075,5.89,5.6925,5.8625,505.65585074626864,2964.407425
1663412400000.0,2022-09-17 11:00:00,ETHBULL/USDT,5.88,5.8825,5.7975,5.8075,239.17792509685748,1389.0258
1663408800000.0,2022-09-17 10:00:00,ETHBULL/USDT,5.96,5.97,5.755,5.88,3420.1311607142857,20110.371225
1663405200000.0,2022-09-17 09:00:00,ETHBULL/USDT,5.9725,5.98,5.9375,5.96,1311.1275629194631,7814.320275
1663401600000.0,2022-09-17 08:00:00,ETHBULL/USDT,5.9375,5.9725,5.9375,5.9725,556.7731226454583,3325.327475
1663398000000.0,2022-09-17 07:00:00,ETHBULL/USDT,5.935,5.9475,5.8975,5.9375,191.51150736842104,1137.099575
1663394400000.0,2022-09-17 06:00:00,ETHBULL/USDT,5.955,5.975,5.875,5.935,2371.741722830666,14076.287125
1663390800000.0,2022-09-17 05:00:00,ETHBULL/USDT,6.065,6.075,5.92,5.955,532.4553400503778,3170.77155
1663387200000.0,2022-09-17 04:00:00,ETHBULL/USDT,6.0525,6.1175,6.05,6.065,522.4824690849134,3168.856175
1663383600000.0,2022-09-17 03:00:00,ETHBULL/USDT,6.0375,6.09,6.0175,6.0525,372.53196199917386,2254.7497
1663380000000.0,2022-09-17 02:00:00,ETHBULL/USDT,6.115,6.115,6.0025,6.0375,610.940877846791,3688.55555
1663376400000.0,2022-09-17 01:00:00,ETHBULL/USDT,6.0775,6.16,6.035,6.115,3063.748164349959,18734.820025
1663372800000.0,2022-09-17 00:00:00,ETHBULL/USDT,5.9625,6.2325,5.95,6.0775,1003.4131838749487,6098.243625
1663369200000.0,2022-09-16 23:00:00,ETHBULL/USDT,5.96,5.965,5.84,5.9625,2987.2819958071277,17811.6689
1663365600000.0,2022-09-16 22:00:00,ETHBULL/USDT,6.0125,6.07,5.96,5.96,1390.5023573825504,8287.39405
1663362000000.0,2022-09-16 21:00:00,ETHBULL/USDT,6.0075,6.1425,5.9825,6.01,4877.346281198003,29312.85115
1663358400000.0,2022-09-16 20:00:00,ETHBULL/USDT,5.9075,6.01,5.895,6.0075,123.1805617977528,740.007225
1663354800000.0,2022-09-16 19:00:00,ETHBULL/USDT,5.9075,6.015,5.8925,5.9075,913.9327253491325,5399.057575
