https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT
1663462800,2022-09-18 01:00:00,ZEC/USDT,58.462,58.515,58.443,58.503,13.1352,768.4952736
1663459200,2022-09-18 00:00:00,ZEC/USDT,58.807,58.807,58.2,58.472,202.98466147,11874.5061715315
1663455600,2022-09-17 23:00:00,ZEC/USDT,58.719,58.876,58.643,58.782,50.92520871,2991.34581466057
1663452000,2022-09-17 22:00:00,ZEC/USDT,58.451,58.756,58.403,58.756,16.01384699,939.00464113825
1663448400,2022-09-17 21:00:00,ZEC/USDT,58.549,58.573,58.367,58.447,254.1318,14849.7591086
1663444800,2022-09-17 20:00:00,ZEC/USDT,58.359,58.652,58.331,58.575,583.51366644,34183.75802098755
1663441200,2022-09-17 19:00:00,ZEC/USDT,58.521,58.521,58.288,58.393,67.81680467,3956.51429824204
1663437600,2022-09-17 18:00:00,ZEC/USDT,58.526,58.624,58.417,58.497,178.62955813,10460.20331639303
1663434000,2022-09-17 17:00:00,ZEC/USDT,58.548,58.697,58.459,58.487,622.73014,36492.233584755
1663430400,2022-09-17 16:00:00,ZEC/USDT,57.899,64.224,57.899,58.628,6543.47756981,388669.91335621969
1663426800,2022-09-17 15:00:00,ZEC/USDT,57.829,58.021,57.701,57.904,145.34451762,8413.05761024288
1663423200,2022-09-17 14:00:00,ZEC/USDT,57.574,57.96,57.574,57.791,114.3324949,6609.24942470784
1663419600,2022-09-17 13:00:00,ZEC/USDT,57.395,57.679,57.385,57.493,66.1393,3803.3245714
1663416000,2022-09-17 12:00:00,ZEC/USDT,57.024,57.629,56.935,57.513,33.0809919,1897.6632516707
1663412400,2022-09-17 11:00:00,ZEC/USDT,57.175,57.203,56.95,57.02,146.79008851,8365.6027496729
1663408800,2022-09-17 10:00:00,ZEC/USDT,57.218,57.29,56.96,57.098,53.71439591,3062.11154508554
1663405200,2022-09-17 09:00:00,ZEC/USDT,57.179,57.281,57.136,57.235,13.84990457,792.42205657417
1663401600,2022-09-17 08:00:00,ZEC/USDT,56.894,57.297,56.894,57.177,64.7163,3696.8959805
1663398000,2022-09-17 07:00:00,ZEC/USDT,56.952,56.952,56.821,56.896,56.99587241,3241.40541672735
1663394400,2022-09-17 06:00:00,ZEC/USDT,56.86,56.959,56.796,56.893,42.46549507,2416.2767272295
1663390800,2022-09-17 05:00:00,ZEC/USDT,57.171,57.263,56.807,56.843,19.89004293,1134.44934429178
1663387200,2022-09-17 04:00:00,ZEC/USDT,57,57.385,57,57.174,51.7548,2961.5043763
1663383600,2022-09-17 03:00:00,ZEC/USDT,56.989,57.044,56.926,56.961,35.9132,2046.4364498
1663380000,2022-09-17 02:00:00,ZEC/USDT,57.172,57.192,56.954,56.954,83.1794,4749.6849193
1663376400,2022-09-17 01:00:00,ZEC/USDT,56.993,57.24,56.993,57.15,181.5172,10369.8432811
