https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMPBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,COMPBEAR/USDT,3.4e-07,3.5e-07,3.4e-07,3.5e-07,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,COMPBEAR/USDT,2.7e-07,3.9e-07,2.6e-07,3.4e-07,53735294.11764706,18.27
1663372800000.0,2022-09-17 00:00:00,COMPBEAR/USDT,2.8e-07,2.9e-07,2.6e-07,2.7e-07,0.0,0.0
1663286400000.0,2022-09-16 00:00:00,COMPBEAR/USDT,2.6e-07,3e-07,2.5e-07,2.8e-07,0.0,0.0
1663200000000.0,2022-09-15 00:00:00,COMPBEAR/USDT,2.3e-07,2.8e-07,2.2e-07,2.6e-07,273000000.0,70.98
1663113600000.0,2022-09-14 00:00:00,COMPBEAR/USDT,3e-07,3.5e-07,2.1e-07,2.3e-07,339639130.4347826,78.117
1663027200000.0,2022-09-13 00:00:00,COMPBEAR/USDT,2.9e-07,3.5e-07,2.7e-07,3e-07,502266666.6666667,150.68
1662940800000.0,2022-09-12 00:00:00,COMPBEAR/USDT,2.8e-07,3.2e-07,2.7e-07,2.9e-07,0.0,0.0
1662854400000.0,2022-09-11 00:00:00,COMPBEAR/USDT,3.3e-07,3.3e-07,2.7e-07,2.8e-07,547360714.2857143,153.261
1662768000000.0,2022-09-10 00:00:00,COMPBEAR/USDT,3.5e-07,3.5e-07,3.2e-07,3.3e-07,0.0,0.0
1662681600000.0,2022-09-09 00:00:00,COMPBEAR/USDT,4.8e-07,4.8e-07,3.5e-07,3.5e-07,14860000.0,5.201
1662595200000.0,2022-09-08 00:00:00,COMPBEAR/USDT,4.8e-07,5e-07,4.3e-07,4.8e-07,0.0,0.0
1662508800000.0,2022-09-07 00:00:00,COMPBEAR/USDT,6.1e-07,6.3e-07,4.7e-07,4.8e-07,0.0,0.0
1662422400000.0,2022-09-06 00:00:00,COMPBEAR/USDT,5.2e-07,6.1e-07,4.6e-07,6.1e-07,0.0,0.0
1662336000000.0,2022-09-05 00:00:00,COMPBEAR/USDT,5.2e-07,5.7e-07,5.1e-07,5.2e-07,0.0,0.0
1662249600000.0,2022-09-04 00:00:00,COMPBEAR/USDT,5.5e-07,5.7e-07,5.2e-07,5.2e-07,0.0,0.0
1662163200000.0,2022-09-03 00:00:00,COMPBEAR/USDT,5.8e-07,6e-07,5.3e-07,5.5e-07,0.0,0.0
1662076800000.0,2022-09-02 00:00:00,COMPBEAR/USDT,5.6e-07,6.1e-07,5.4e-07,5.8e-07,0.0,0.0
1661990400000.0,2022-09-01 00:00:00,COMPBEAR/USDT,5.9e-07,6.4e-07,5.4e-07,5.6e-07,157239285.7142857,88.054
1661904000000.0,2022-08-31 00:00:00,COMPBEAR/USDT,5.6e-07,5.9e-07,5.3e-07,5.9e-07,0.0,0.0
1661817600000.0,2022-08-30 00:00:00,COMPBEAR/USDT,5.2e-07,5.9e-07,4.5e-07,5.6e-07,93100000.0,52.136
1661731200000.0,2022-08-29 00:00:00,COMPBEAR/USDT,7.5e-07,7.7e-07,5.1e-07,5.2e-07,0.0,0.0
1661644800000.0,2022-08-28 00:00:00,COMPBEAR/USDT,6.5e-07,7.6e-07,5.9e-07,7.5e-07,21912000.0,16.434
1661558400000.0,2022-08-27 00:00:00,COMPBEAR/USDT,6.5e-07,6.9e-07,6.1e-07,6.5e-07,0.0,0.0
1661472000000.0,2022-08-26 00:00:00,COMPBEAR/USDT,5.2e-07,6.7e-07,4.5e-07,6.5e-07,86489230.76923077,56.218
1661385600000.0,2022-08-25 00:00:00,COMPBEAR/USDT,5.4e-07,5.5e-07,4.9e-07,5.2e-07,78446153.84615386,40.792
1661299200000.0,2022-08-24 00:00:00,COMPBEAR/USDT,5.3e-07,5.7e-07,5.1e-07,5.4e-07,144333333.3333333,77.94
1661212800000.0,2022-08-23 00:00:00,COMPBEAR/USDT,5.6e-07,5.9e-07,5.1e-07,5.3e-07,96100000.0,50.933
