https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IMX,Volume EUR
1663545600,2022-09-19 00:00:00,IMX/EUR,0.75,0.75,0.75,0.75,0.00,0.0
1663459200,2022-09-18 00:00:00,IMX/EUR,0.81,0.82,0.73,0.75,1424.20,1068.15
1663372800,2022-09-17 00:00:00,IMX/EUR,0.80,0.81,0.80,0.81,892.82,723.1842
1663286400,2022-09-16 00:00:00,IMX/EUR,0.80,0.81,0.79,0.79,938.60,741.494
1663200000,2022-09-15 00:00:00,IMX/EUR,0.81,0.92,0.78,0.80,2755.07,2204.056
1663113600,2022-09-14 00:00:00,IMX/EUR,0.82,0.82,0.80,0.82,922.46,756.4172
1663027200,2022-09-13 00:00:00,IMX/EUR,0.86,0.87,0.80,0.81,1531.41,1240.4421000000002
1662940800,2022-09-12 00:00:00,IMX/EUR,0.88,0.88,0.84,0.85,1370.08,1164.568
1662854400,2022-09-11 00:00:00,IMX/EUR,0.86,0.86,0.85,0.85,892.44,758.5740000000001
1662768000,2022-09-10 00:00:00,IMX/EUR,0.87,0.87,0.86,0.86,584.24,502.4464
1662681600,2022-09-09 00:00:00,IMX/EUR,0.82,0.87,0.82,0.86,1189.93,1023.3398000000001
1662595200,2022-09-08 00:00:00,IMX/EUR,0.82,0.82,0.82,0.82,433.58,355.5356
1662508800,2022-09-07 00:00:00,IMX/EUR,0.79,0.83,0.79,0.83,1946.68,1615.7444
1662422400,2022-09-06 00:00:00,IMX/EUR,0.85,0.86,0.85,0.86,337.49,290.2414
1662336000,2022-09-05 00:00:00,IMX/EUR,0.84,0.84,0.83,0.83,90.85,75.40549999999999
1662249600,2022-09-04 00:00:00,IMX/EUR,0.83,0.83,0.83,0.83,247.72,205.6076
1662163200,2022-09-03 00:00:00,IMX/EUR,0.83,0.83,0.83,0.83,173.65,144.1295
1662076800,2022-09-02 00:00:00,IMX/EUR,0.82,0.82,0.82,0.82,269.53,221.01459999999997
1661990400,2022-09-01 00:00:00,IMX/EUR,0.83,0.83,0.81,0.81,816.78,661.5918
1661904000,2022-08-31 00:00:00,IMX/EUR,0.84,0.85,0.84,0.85,234.58,199.393
1661817600,2022-08-30 00:00:00,IMX/EUR,0.86,0.86,0.81,0.84,4944.57,4153.4388
1661731200,2022-08-29 00:00:00,IMX/EUR,0.84,0.85,0.84,0.84,396.56,333.11039999999997
1661644800,2022-08-28 00:00:00,IMX/EUR,0.80,0.80,0.80,0.80,211.79,169.43200000000002
1661558400,2022-08-27 00:00:00,IMX/EUR,0.81,0.81,0.79,0.79,344.53,272.1787
1661472000,2022-08-26 00:00:00,IMX/EUR,0.85,0.85,0.83,0.83,918.43,762.2968999999999
1661385600,2022-08-25 00:00:00,IMX/EUR,0.87,0.87,0.86,0.87,1757.67,1529.1729
1661299200,2022-08-24 00:00:00,IMX/EUR,0.86,0.88,0.85,0.88,1539.92,1355.1296
1661212800,2022-08-23 00:00:00,IMX/EUR,0.87,1.19,0.86,0.88,3492.62,3073.5056
1661126400,2022-08-22 00:00:00,IMX/EUR,0.86,0.90,0.83,0.85,2295.03,1950.7755000000002
1661040000,2022-08-21 00:00:00,IMX/EUR,0.87,1.18,0.85,0.87,2344.48,2039.6976
1660953600,2022-08-20 00:00:00,IMX/EUR,1.00,1.00,0.84,0.85,1267.14,1077.069
1660867200,2022-08-19 00:00:00,IMX/EUR,0.87,0.89,0.82,0.87,3279.35,2853.0344999999998
1660780800,2022-08-18 00:00:00,IMX/EUR,0.96,0.96,0.90,0.90,234.96,211.464
1660694400,2022-08-17 00:00:00,IMX/EUR,1.04,1.19,0.93,0.95,1436.29,1364.4755
1660608000,2022-08-16 00:00:00,IMX/EUR,1.02,1.02,0.99,0.99,4781.00,4733.19
1660521600,2022-08-15 00:00:00,IMX/EUR,1.06,1.09,1.01,1.01,6294.44,6357.3844
1660435200,2022-08-14 00:00:00,IMX/EUR,1.13,1.14,1.05,1.05,3696.64,3881.472
1660348800,2022-08-13 00:00:00,IMX/EUR,1.13,1.14,1.10,1.11,1320.23,1465.4553
1660262400,2022-08-12 00:00:00,IMX/EUR,1.09,1.12,1.09,1.12,2505.04,2805.6448
1660176000,2022-08-11 00:00:00,IMX/EUR,1.12,1.14,1.09,1.09,1010.90,1101.881
1660089600,2022-08-10 00:00:00,IMX/EUR,1.12,1.13,1.12,1.13,447.50,505.67499999999995
1660003200,2022-08-09 00:00:00,IMX/EUR,1.23,1.24,1.08,1.12,3337.55,3738.0560000000005
1659916800,2022-08-08 00:00:00,IMX/EUR,1.14,1.22,1.14,1.18,1879.02,2217.2436
1659830400,2022-08-07 00:00:00,IMX/EUR,1.11,1.11,1.11,1.11,26.72,29.659200000000002
1659744000,2022-08-06 00:00:00,IMX/EUR,1.12,1.17,1.10,1.10,221.54,243.69400000000002
1659657600,2022-08-05 00:00:00,IMX/EUR,1.14,1.14,1.12,1.12,1502.56,1682.8672000000001
1659571200,2022-08-04 00:00:00,IMX/EUR,1.11,1.19,1.09,1.10,5901.10,6491.210000000001
1659484800,2022-08-03 00:00:00,IMX/EUR,1.06,1.10,1.06,1.08,1246.98,1346.7384000000002
1659398400,2022-08-02 00:00:00,IMX/EUR,1.01,1.05,0.96,1.05,1938.73,2035.6665
1659312000,2022-08-01 00:00:00,IMX/EUR,1.10,1.10,1.01,1.03,1490.50,1535.2150000000001
1659225600,2022-07-31 00:00:00,IMX/EUR,1.16,1.16,1.09,1.09,1667.73,1817.8257
1659139200,2022-07-30 00:00:00,IMX/EUR,1.07,1.25,1.07,1.15,7835.38,9010.687
1659052800,2022-07-29 00:00:00,IMX/EUR,1.04,1.04,0.98,1.00,416.69,416.69
1658966400,2022-07-28 00:00:00,IMX/EUR,0.88,0.93,0.87,0.93,4217.59,3922.3587
1658880000,2022-07-27 00:00:00,IMX/EUR,0.79,0.86,0.79,0.86,2814.67,2420.6162
1658793600,2022-07-26 00:00:00,IMX/EUR,0.80,0.81,0.78,0.78,4156.96,3242.4288
1658707200,2022-07-25 00:00:00,IMX/EUR,0.85,0.85,0.82,0.82,531.21,435.5922
1658620800,2022-07-24 00:00:00,IMX/EUR,0.90,0.90,0.90,0.90,1312.01,1180.809
1658534400,2022-07-23 00:00:00,IMX/EUR,0.90,0.91,0.90,0.91,157.60,143.416
1658448000,2022-07-22 00:00:00,IMX/EUR,0.96,0.96,0.94,0.94,540.73,508.2862
1658361600,2022-07-21 00:00:00,IMX/EUR,0.93,0.98,0.93,0.97,951.52,922.9744
1658275200,2022-07-20 00:00:00,IMX/EUR,1.00,1.08,0.97,0.97,818.43,793.8770999999999
1658188800,2022-07-19 00:00:00,IMX/EUR,1.01,1.02,0.96,1.02,1042.35,1063.197
1658102400,2022-07-18 00:00:00,IMX/EUR,0.93,1.03,0.93,1.00,1289.13,1289.13
1658016000,2022-07-17 00:00:00,IMX/EUR,0.90,0.90,0.90,0.90,35.68,32.112
1657929600,2022-07-16 00:00:00,IMX/EUR,0.89,0.89,0.88,0.89,1055.13,939.0657000000001
1657843200,2022-07-15 00:00:00,IMX/EUR,0.92,0.92,0.90,0.90,764.52,688.068
1657756800,2022-07-14 00:00:00,IMX/EUR,0.88,0.91,0.85,0.91,17652.59,16063.8569
1657670400,2022-07-13 00:00:00,IMX/EUR,0.82,0.84,0.82,0.84,688.64,578.4576
1657584000,2022-07-12 00:00:00,IMX/EUR,0.84,0.86,0.84,0.85,276.61,235.1185
1657497600,2022-07-11 00:00:00,IMX/EUR,0.87,0.89,0.86,0.86,827.07,711.2802
1657411200,2022-07-10 00:00:00,IMX/EUR,0.91,0.91,0.90,0.90,292.65,263.385
1657324800,2022-07-09 00:00:00,IMX/EUR,0.96,0.96,0.96,0.96,30.30,29.088
1657238400,2022-07-08 00:00:00,IMX/EUR,0.99,0.99,0.95,0.97,140.09,135.8873
1657152000,2022-07-07 00:00:00,IMX/EUR,0.96,1.01,0.95,1.00,1045.77,1045.77
1657065600,2022-07-06 00:00:00,IMX/EUR,0.97,1.00,0.97,0.99,853.98,845.4402
1656979200,2022-07-05 00:00:00,IMX/EUR,0.90,0.99,0.90,0.97,3268.08,3170.0375999999997
1656892800,2022-07-04 00:00:00,IMX/EUR,0.88,0.89,0.86,0.89,575.94,512.5866000000001
1656806400,2022-07-03 00:00:00,IMX/EUR,0.86,0.87,0.84,0.86,1395.46,1200.0956
1656720000,2022-07-02 00:00:00,IMX/EUR,0.87,0.87,0.82,0.86,4660.33,4007.8838
1656633600,2022-07-01 00:00:00,IMX/EUR,0.94,0.95,0.86,0.86,8197.38,7049.746799999999
1656547200,2022-06-30 00:00:00,IMX/EUR,0.90,0.97,0.85,0.97,18660.74,18100.9178
1656460800,2022-06-29 00:00:00,IMX/EUR,0.82,0.94,0.80,0.89,7376.43,6565.0227
1656374400,2022-06-28 00:00:00,IMX/EUR,0.80,0.86,0.79,0.79,7486.71,5914.5009
1656288000,2022-06-27 00:00:00,IMX/EUR,0.79,0.81,0.77,0.80,1014.95,811.96
