https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CV,Volume BTC
1663459200,2022-09-18 00:00:00,CV/BTC,0.0000000072,0.0000000072,0.0000000072,0.0000000072,8529.99,0.000061415928
1663455600,2022-09-17 23:00:00,CV/BTC,0.0000000074,0.0000000074,0.0000000074,0.0000000074,0,0
1663452000,2022-09-17 22:00:00,CV/BTC,0.0000000074,0.0000000074,0.0000000074,0.0000000074,22916.37,0.000169581138
1663448400,2022-09-17 21:00:00,CV/BTC,0.0000000073,0.0000000073,0.0000000073,0.0000000073,0,0
1663444800,2022-09-17 20:00:00,CV/BTC,0.0000000072,0.0000000073,0.0000000072,0.0000000073,15145.9,0.00011005298
1663441200,2022-09-17 19:00:00,CV/BTC,0.0000000074,0.0000000074,0.0000000074,0.0000000074,1706.54,0.000012628396
1663437600,2022-09-17 18:00:00,CV/BTC,0.0000000071,0.0000000073,0.0000000071,0.0000000073,297024.72,0.00214497237
1663434000,2022-09-17 17:00:00,CV/BTC,0.0000000072,0.0000000072,0.0000000072,0.0000000072,0,0
1663430400,2022-09-17 16:00:00,CV/BTC,0.0000000072,0.0000000072,0.0000000072,0.0000000072,1706.54,0.000012287088
1663426800,2022-09-17 15:00:00,CV/BTC,0.0000000071,0.0000000071,0.0000000071,0.0000000071,0,0
1663423200,2022-09-17 14:00:00,CV/BTC,0.0000000071,0.0000000071,0.0000000071,0.0000000071,10234.82,0.000072667222
1663419600,2022-09-17 13:00:00,CV/BTC,0.0000000072,0.0000000072,0.0000000072,0.0000000072,13888.89,0.000100000008
1663416000,2022-09-17 12:00:00,CV/BTC,0.0000000072,0.0000000072,0.0000000072,0.0000000072,0,0
1663412400,2022-09-17 11:00:00,CV/BTC,0.0000000072,0.0000000072,0.0000000072,0.0000000072,0,0
1663408800,2022-09-17 10:00:00,CV/BTC,0.0000000072,0.0000000072,0.0000000072,0.0000000072,28373.14,0.000204286608
1663405200,2022-09-17 09:00:00,CV/BTC,0.0000000072,0.0000000072,0.0000000072,0.0000000072,0,0
1663401600,2022-09-17 08:00:00,CV/BTC,0.0000000072,0.0000000072,0.0000000072,0.0000000072,4227.38,0.000030437136
