https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MKR,Volume EUR
1663545600,2022-09-19 00:00:00,MKR/EUR,635.14,635.14,635.14,635.14,0.00000000,0.0
1663459200,2022-09-18 00:00:00,MKR/EUR,671.94,671.94,610.00,635.14,4.77918924,3035.4542538936
1663372800,2022-09-17 00:00:00,MKR/EUR,673.07,686.15,665.54,681.47,14.05004126,9574.681617452201
1663286400,2022-09-16 00:00:00,MKR/EUR,655.00,672.95,654.56,654.56,18.73045918,12260.2093608608
1663200000,2022-09-15 00:00:00,MKR/EUR,701.34,714.77,663.68,663.79,19.82829965,13161.827024673501
1663113600,2022-09-14 00:00:00,MKR/EUR,697.93,707.83,688.42,706.65,12.46165268,8806.026866322
1663027200,2022-09-13 00:00:00,MKR/EUR,719.80,729.49,690.00,690.00,17.60778773,12149.373533699998
1662940800,2022-09-12 00:00:00,MKR/EUR,745.07,751.62,724.42,724.44,35.94779384,26042.019769449606
1662854400,2022-09-11 00:00:00,MKR/EUR,764.93,766.43,739.06,747.04,18.00705526,13451.9905614304
1662768000,2022-09-10 00:00:00,MKR/EUR,777.38,777.38,746.91,764.81,11.45124692,8758.0281568852
1662681600,2022-09-09 00:00:00,MKR/EUR,742.60,787.11,742.60,775.91,37.51378114,29107.3179243374
1662595200,2022-09-08 00:00:00,MKR/EUR,736.08,748.51,722.92,724.02,27.44224136,19868.7315894672
1662508800,2022-09-07 00:00:00,MKR/EUR,717.55,751.96,716.00,741.45,55.64281102,41256.36223077901
1662422400,2022-09-06 00:00:00,MKR/EUR,744.73,769.69,698.86,732.72,59.22674397,43396.619841698404
1662336000,2022-09-05 00:00:00,MKR/EUR,756.02,756.02,729.32,740.53,17.95921786,13299.339601865799
1662249600,2022-09-04 00:00:00,MKR/EUR,744.50,752.73,738.60,748.71,34.18475857,25594.4705889447
1662163200,2022-09-03 00:00:00,MKR/EUR,752.70,752.71,738.48,745.00,33.60587282,25036.3752509
1662076800,2022-09-02 00:00:00,MKR/EUR,753.38,779.31,746.43,753.14,22.73562104,17123.105630065602
1661990400,2022-09-01 00:00:00,MKR/EUR,752.50,765.54,734.72,759.76,32.85351897,24960.7895726472
1661904000,2022-08-31 00:00:00,MKR/EUR,808.29,808.29,755.20,755.20,4.65722006,3517.132589312
1661817600,2022-08-30 00:00:00,MKR/EUR,807.92,828.58,761.55,786.72,22.70097603,17859.3118623216
1661731200,2022-08-29 00:00:00,MKR/EUR,745.67,819.41,741.42,811.44,27.24225745,22105.457385228
1661644800,2022-08-28 00:00:00,MKR/EUR,767.37,779.60,740.96,745.92,28.58881549,21324.9692503008
1661558400,2022-08-27 00:00:00,MKR/EUR,775.34,786.90,760.00,767.91,40.37361745,31003.304576029495
1661472000,2022-08-26 00:00:00,MKR/EUR,840.06,840.06,756.88,757.37,25.33360735,19186.9141986695
1661385600,2022-08-25 00:00:00,MKR/EUR,864.65,874.10,842.02,847.90,2.09416112,1775.639213648
1661299200,2022-08-24 00:00:00,MKR/EUR,852.79,871.35,851.53,858.52,8.56195689,7350.611229202799
1661212800,2022-08-23 00:00:00,MKR/EUR,848.76,879.01,822.48,855.18,11.02951753,9432.2228013054
1661126400,2022-08-22 00:00:00,MKR/EUR,830.48,886.42,800.00,836.57,20.81490393,17413.1241807201
1661040000,2022-08-21 00:00:00,MKR/EUR,823.09,848.06,823.09,835.00,10.99375979,9179.78942465
1660953600,2022-08-20 00:00:00,MKR/EUR,844.32,861.09,800.00,824.65,9.05942401,7470.8540098465
1660867200,2022-08-19 00:00:00,MKR/EUR,865.50,874.48,820.99,820.99,20.12534926,16522.7104889674
1660780800,2022-08-18 00:00:00,MKR/EUR,929.98,937.22,860.00,887.79,15.11452478,13418.5239544362
1660694400,2022-08-17 00:00:00,MKR/EUR,986.00,991.80,918.16,918.16,23.43891626,21520.6753532816
1660608000,2022-08-16 00:00:00,MKR/EUR,985.43,989.75,955.00,963.43,14.35129989,13826.472853022698
1660521600,2022-08-15 00:00:00,MKR/EUR,990.01,1014.71,969.41,979.53,28.78424920,28195.035618876
1660435200,2022-08-14 00:00:00,MKR/EUR,1043.26,1058.38,974.08,1001.00,25.48457770,25510.0622777
1660348800,2022-08-13 00:00:00,MKR/EUR,1059.20,1079.13,1039.55,1043.52,41.64473888,43457.1179160576
1660262400,2022-08-12 00:00:00,MKR/EUR,1040.30,1063.62,1030.00,1045.47,17.99161861,18809.6975081967
1660176000,2022-08-11 00:00:00,MKR/EUR,1087.97,1178.04,1031.75,1048.14,60.07150230,62963.344420722
1660089600,2022-08-10 00:00:00,MKR/EUR,1031.98,1083.44,1026.40,1078.65,25.65252448,27670.095530352002
1660003200,2022-08-09 00:00:00,MKR/EUR,1117.15,1122.01,1039.22,1048.82,23.02725340,24151.443910987997
1659916800,2022-08-08 00:00:00,MKR/EUR,1120.38,1159.12,1109.85,1121.66,20.36072787,22837.814022664203
1659830400,2022-08-07 00:00:00,MKR/EUR,1075.14,1120.96,1064.08,1120.52,8.63753179,9678.5271213308
1659744000,2022-08-06 00:00:00,MKR/EUR,1105.14,1117.01,1079.49,1079.49,6.23717004,6732.9626864796
1659657600,2022-08-05 00:00:00,MKR/EUR,1028.94,1100.00,1028.94,1100.00,23.61721245,25978.933695
1659571200,2022-08-04 00:00:00,MKR/EUR,1036.10,1056.06,1016.58,1024.65,21.60617776,22138.770041784002
1659484800,2022-08-03 00:00:00,MKR/EUR,1002.31,1062.10,1002.31,1041.42,8.00982320,8341.590076944
1659398400,2022-08-02 00:00:00,MKR/EUR,1027.45,1053.53,985.62,1041.01,16.85826123,17549.6185230423
1659312000,2022-08-01 00:00:00,MKR/EUR,1072.85,1101.95,1020.88,1033.83,13.43207531,13886.4824177373
1659225600,2022-07-31 00:00:00,MKR/EUR,1099.58,1153.75,1080.46,1083.14,12.10463147,13111.0105304158
1659139200,2022-07-30 00:00:00,MKR/EUR,1130.80,1155.56,1076.98,1087.43,20.30563030,22080.951557129003
1659052800,2022-07-29 00:00:00,MKR/EUR,1092.04,1152.15,1035.94,1128.62,23.22211165,26208.939650422995
1658966400,2022-07-28 00:00:00,MKR/EUR,981.61,1109.68,975.77,1091.90,37.85525974,41334.15811010601
1658880000,2022-07-27 00:00:00,MKR/EUR,907.49,990.00,897.59,983.62,11.26499541,11080.474785184198
1658793600,2022-07-26 00:00:00,MKR/EUR,875.24,892.44,845.00,892.44,11.01890896,9833.7151122624
1658707200,2022-07-25 00:00:00,MKR/EUR,933.00,933.00,889.33,890.03,14.02712474,12484.561832342199
1658620800,2022-07-24 00:00:00,MKR/EUR,943.88,973.50,943.88,966.82,14.30874348,13833.9793713336
1658534400,2022-07-23 00:00:00,MKR/EUR,938.35,953.30,909.97,943.82,2.99578569,2827.4824499358
1658448000,2022-07-22 00:00:00,MKR/EUR,960.24,995.07,915.50,932.30,13.33635539,12433.484130096998
1658361600,2022-07-21 00:00:00,MKR/EUR,949.17,977.11,925.49,955.69,4.58329464,4380.2088545016
1658275200,2022-07-20 00:00:00,MKR/EUR,997.80,1033.70,943.33,955.24,12.71459250,12145.487339700001
1658188800,2022-07-19 00:00:00,MKR/EUR,1042.62,1045.00,985.00,1005.99,16.50506061,16603.925923053903
1658102400,2022-07-18 00:00:00,MKR/EUR,940.39,1030.17,940.39,1030.17,51.24765309,52793.7947837253
1658016000,2022-07-17 00:00:00,MKR/EUR,955.80,960.12,931.00,938.04,5.11491338,4797.9933469751995
1657929600,2022-07-16 00:00:00,MKR/EUR,895.65,963.96,882.71,946.64,6.64627905,6291.633599892
1657843200,2022-07-15 00:00:00,MKR/EUR,902.11,920.64,892.50,914.67,5.01749412,4589.3513467404
1657756800,2022-07-14 00:00:00,MKR/EUR,847.78,891.63,817.30,889.11,19.59142566,17418.932468562598
1657670400,2022-07-13 00:00:00,MKR/EUR,822.31,853.21,796.94,853.21,11.45638929,9774.7059061209
1657584000,2022-07-12 00:00:00,MKR/EUR,856.54,870.52,831.38,835.43,28.82346167,24079.9845829681
1657497600,2022-07-11 00:00:00,MKR/EUR,918.90,931.76,864.36,864.36,12.29667179,10628.7512284044
1657411200,2022-07-10 00:00:00,MKR/EUR,962.65,972.95,919.51,928.26,1.85347747,1720.5089963022
1657324800,2022-07-09 00:00:00,MKR/EUR,944.23,987.82,944.23,987.82,5.58944750,5521.368029450001
1657238400,2022-07-08 00:00:00,MKR/EUR,982.94,988.58,938.95,964.05,18.53304524,17866.782263622
1657152000,2022-07-07 00:00:00,MKR/EUR,985.00,990.70,955.33,974.92,14.06293538,13710.2369606696
1657065600,2022-07-06 00:00:00,MKR/EUR,909.67,973.32,896.23,970.00,10.26981603,9961.721549099999
1656979200,2022-07-05 00:00:00,MKR/EUR,906.21,937.12,874.71,907.19,9.02758357,8189.7335388683
1656892800,2022-07-04 00:00:00,MKR/EUR,845.88,903.66,844.05,903.66,4.26857167,3857.3374753122
1656806400,2022-07-03 00:00:00,MKR/EUR,871.96,871.96,851.10,853.68,4.97089313,4243.5520472184
1656720000,2022-07-02 00:00:00,MKR/EUR,839.29,869.98,837.24,869.98,8.11160921,7056.937780515799
1656633600,2022-07-01 00:00:00,MKR/EUR,857.65,880.75,831.33,860.27,20.54763070,17676.510262288997
1656547200,2022-06-30 00:00:00,MKR/EUR,871.11,873.26,805.00,865.54,11.43595730,9898.278481442
1656460800,2022-06-29 00:00:00,MKR/EUR,914.00,920.56,859.87,871.02,3.76795300,3281.96242206
1656374400,2022-06-28 00:00:00,MKR/EUR,947.82,973.01,896.31,898.87,9.42390605,8470.8664311635
1656288000,2022-06-27 00:00:00,MKR/EUR,979.05,1001.80,939.02,949.06,6.58465222,6249.2300359132
1656201600,2022-06-26 00:00:00,MKR/EUR,980.02,1035.33,945.99,946.80,7.26046757,6874.210695276
1656115200,2022-06-25 00:00:00,MKR/EUR,997.74,1022.48,958.89,983.50,14.62133551,14380.083474085
1656028800,2022-06-24 00:00:00,MKR/EUR,935.00,1020.00,918.43,1020.00,23.95358625,24432.657975000002
1655942400,2022-06-23 00:00:00,MKR/EUR,838.73,931.29,838.73,931.29,15.19158544,14147.7716044176
1655856000,2022-06-22 00:00:00,MKR/EUR,858.21,896.21,830.00,857.14,12.17856265,10438.733189821
1655769600,2022-06-21 00:00:00,MKR/EUR,844.48,910.33,843.66,891.59,16.95774626,15119.3569879534
1655683200,2022-06-20 00:00:00,MKR/EUR,824.16,897.45,821.25,844.80,11.52452988,9735.922842623999
1655596800,2022-06-19 00:00:00,MKR/EUR,684.42,865.00,684.42,858.58,11.41941668,9804.4827731144
1655510400,2022-06-18 00:00:00,MKR/EUR,740.06,743.71,635.17,704.00,61.78380371,43495.79781184
1655424000,2022-06-17 00:00:00,MKR/EUR,695.64,746.73,695.64,733.00,41.45238960,30384.601576799996
1655337600,2022-06-16 00:00:00,MKR/EUR,787.49,790.88,690.00,690.00,17.98450469,12409.308236100002
1655251200,2022-06-15 00:00:00,MKR/EUR,710.40,786.09,650.00,786.09,47.68613669,37485.5951906421
1655164800,2022-06-14 00:00:00,MKR/EUR,719.29,778.88,666.66,744.72,18.70443533,13929.5670789576
1655078400,2022-06-13 00:00:00,MKR/EUR,855.77,855.77,685.92,729.02,201.06475242,146580.2258092284
1654992000,2022-06-12 00:00:00,MKR/EUR,910.92,922.45,862.77,883.78,37.28510435,32951.829522443
1654905600,2022-06-11 00:00:00,MKR/EUR,1002.58,1010.61,913.00,946.20,116.03803845,109795.19198139
1654819200,2022-06-10 00:00:00,MKR/EUR,1056.00,1065.36,990.00,999.80,27.53612762,27530.620394476
1654732800,2022-06-09 00:00:00,MKR/EUR,1069.29,1090.35,1065.06,1065.08,19.46156915,20728.128070281997
1654646400,2022-06-08 00:00:00,MKR/EUR,1089.42,1091.61,1069.57,1080.10,35.20407124,38023.91734632399
1654560000,2022-06-07 00:00:00,MKR/EUR,1107.61,1125.81,1050.00,1061.22,33.15807454,35188.011863338805
1654473600,2022-06-06 00:00:00,MKR/EUR,1127.44,1144.68,1102.32,1134.52,18.79264132,21320.6274303664
1654387200,2022-06-05 00:00:00,MKR/EUR,1079.07,1111.78,1079.07,1111.10,7.58430569,8426.922052159
1654300800,2022-06-04 00:00:00,MKR/EUR,1050.10,1112.55,1050.10,1091.49,24.65308676,26908.597667672402
1654214400,2022-06-03 00:00:00,MKR/EUR,1113.27,1113.27,1050.00,1062.27,11.35498023,12062.0548489221
1654128000,2022-06-02 00:00:00,MKR/EUR,1131.24,1155.00,1099.68,1107.70,3.87851271,4296.228528867
1654041600,2022-06-01 00:00:00,MKR/EUR,1239.88,1242.56,1100.00,1114.48,32.89122339,36656.6106436872
1653955200,2022-05-31 00:00:00,MKR/EUR,1234.31,1259.74,1211.08,1231.68,70.08445031,86321.6157578208
1653868800,2022-05-30 00:00:00,MKR/EUR,1134.71,1280.21,1134.71,1266.54,26.49857758,33561.5084481732
