https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EXM
1663545600000,2022-09-19 00:00:00,EXM/ETH,1.212e-05,1.212e-05,1.21e-05,1.21e-05,0.014935856460612998,1234.36830253
1663459200000,2022-09-18 00:00:00,EXM/ETH,1.163e-05,1.23e-05,1.122e-05,1.23e-05,10.321133823113533,839116.57098484
1663372800000,2022-09-17 00:00:00,EXM/ETH,1.163e-05,1.205e-05,1.118e-05,1.136e-05,2.858074987956019,251591.10809472
1663286400000,2022-09-16 00:00:00,EXM/ETH,1.154e-05,1.179e-05,1.141e-05,1.179e-05,4.5320219159000645,384395.41271417
1663200000000,2022-09-15 00:00:00,EXM/ETH,1.041e-05,1.15e-05,1.041e-05,1.15e-05,6.80343900659723,591603.39187802
1663113600000,2022-09-14 00:00:00,EXM/ETH,1.085e-05,1.09e-05,1.042e-05,1.042e-05,1.53840883408382,147640.003271
1663027200000,2022-09-13 00:00:00,EXM/ETH,1.096e-05,1.104e-05,1.064e-05,1.085e-05,3.8221388382381436,352270.86066711
1662940800000,2022-09-12 00:00:00,EXM/ETH,1.02e-05,1.096e-05,1.014e-05,1.089e-05,2.4014607441286278,220519.81121475
1662854400000,2022-09-11 00:00:00,EXM/ETH,9.97e-06,1.02e-05,9.84e-06,1.009e-05,1.0081031784103909,99911.11778101
1662768000000,2022-09-10 00:00:00,EXM/ETH,1.003e-05,1.034e-05,9.94e-06,9.94e-06,0.8429267141080463,84801.48029256
1662681600000,2022-09-09 00:00:00,EXM/ETH,9.86e-06,1.02e-05,9.84e-06,1.004e-05,1.9762672044200018,196839.36299004
1662595200000,2022-09-08 00:00:00,EXM/ETH,1e-05,1.012e-05,9.8e-06,9.94e-06,1.5112922694644249,152041.47580125
1662508800000,2022-09-07 00:00:00,EXM/ETH,1.024e-05,1.068e-05,9.9e-06,9.99e-06,2.433329946530657,243576.57122429
1662422400000,2022-09-06 00:00:00,EXM/ETH,1.004e-05,1.033e-05,9.82e-06,1.024e-05,1.6459692542247937,160739.18498289
