https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume POLS,Volume USDT
1663459200,2022-09-18 00:00:00,POLS/USDT,0.5025,0.5025,0.4987,0.4988,515.11464975,257.760040019375
1663372800,2022-09-17 00:00:00,POLS/USDT,0.4928,0.5078,0.4924,0.5025,31609.6912255,15828.868752089226
1663286400,2022-09-16 00:00:00,POLS/USDT,0.4931,0.4996,0.4853,0.4923,43639.91898006,21427.552216450736
1663200000,2022-09-15 00:00:00,POLS/USDT,0.5174,0.5181,0.4847,0.4958,95803.30439483,48089.832290722807
1663113600,2022-09-14 00:00:00,POLS/USDT,0.4994,0.5433,0.4961,0.5153,96267.77643617,49571.275835008855
1663027200,2022-09-13 00:00:00,POLS/USDT,0.526,0.5463,0.4985,0.5009,95584.19134744,49672.458927137263
1662940800,2022-09-12 00:00:00,POLS/USDT,0.548,0.56,0.5261,0.528,131617.50682037,71378.178899502817
1662854400,2022-09-11 00:00:00,POLS/USDT,0.5695,0.6512,0.5452,0.5507,334062.93400395,193787.494976530416
1662768000,2022-09-10 00:00:00,POLS/USDT,0.5182,0.6088,0.5117,0.5708,297268.95124071,167628.333705490836
1662681600,2022-09-09 00:00:00,POLS/USDT,0.5051,0.5309,0.5022,0.519,53084.12048997,27515.969345108772
1662595200,2022-09-08 00:00:00,POLS/USDT,0.496,0.5198,0.489,0.5052,66062.09143866,33265.220943564938
1662508800,2022-09-07 00:00:00,POLS/USDT,0.4791,0.4993,0.4702,0.4948,45029.28591203,21828.372020664447
1662422400,2022-09-06 00:00:00,POLS/USDT,0.5027,0.5108,0.4782,0.4783,85184.15717981,42236.297871491622
1662336000,2022-09-05 00:00:00,POLS/USDT,0.512,0.5145,0.497,0.5035,30144.84400651,15207.079393847532
1662249600,2022-09-04 00:00:00,POLS/USDT,0.5028,0.5135,0.5007,0.5122,19262.76165512,9757.56226331451
1662163200,2022-09-03 00:00:00,POLS/USDT,0.5098,0.5099,0.4966,0.5027,23351.76217563,11716.80411387357
1662076800,2022-09-02 00:00:00,POLS/USDT,0.5135,0.5237,0.5029,0.5077,51245.58264079,26355.844251934468
1661990400,2022-09-01 00:00:00,POLS/USDT,0.5061,0.5137,0.4956,0.5137,105160.97977943,53069.835814208315
1661904000,2022-08-31 00:00:00,POLS/USDT,0.4959,0.5916,0.4959,0.5043,354516.87350271,190753.607015983629
