https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CARR,Volume BTC
1658862000,2022-07-26 19:00:00,CARR/BTC,0.0000000581,0.0000000581,0.0000000581,0.0000000581,3346.6428,0.00019443994668
1658858400,2022-07-26 18:00:00,CARR/BTC,0.0000000588,0.0000000588,0.0000000588,0.0000000588,0,0
1658854800,2022-07-26 17:00:00,CARR/BTC,0.0000000588,0.0000000588,0.0000000588,0.0000000588,0,0
1658851200,2022-07-26 16:00:00,CARR/BTC,0.0000000588,0.0000000588,0.0000000588,0.0000000588,130566.8367,0.00767732999796
1658847600,2022-07-26 15:00:00,CARR/BTC,0.000000059,0.0000000603,0.000000059,0.0000000603,37246.6752,0.00223285950824
1658844000,2022-07-26 14:00:00,CARR/BTC,0.0000000593,0.00000006,0.0000000584,0.00000006,250287.4345,0.01487427549607
1658840400,2022-07-26 13:00:00,CARR/BTC,0.0000000579,0.0000000592,0.0000000569,0.0000000592,209513.4065,0.01225975054869
1658836800,2022-07-26 12:00:00,CARR/BTC,0.0000000564,0.0000000579,0.0000000564,0.0000000579,607708.3842,0.03438721906712
1658833200,2022-07-26 11:00:00,CARR/BTC,0.0000000576,0.0000000593,0.000000056,0.000000056,61075.7237,0.00351403576149
1658829600,2022-07-26 10:00:00,CARR/BTC,0.000000059,0.000000059,0.000000059,0.000000059,11942,0.000704578
1658826000,2022-07-26 09:00:00,CARR/BTC,0.0000000606,0.0000000606,0.0000000606,0.0000000606,0,0
1658822400,2022-07-26 08:00:00,CARR/BTC,0.0000000602,0.0000000606,0.0000000602,0.0000000606,39438.7657,0.00237717371145
1658818800,2022-07-26 07:00:00,CARR/BTC,0.0000000604,0.0000000604,0.0000000597,0.0000000597,50786.999,0.00305670613783
1658815200,2022-07-26 06:00:00,CARR/BTC,0.0000000578,0.0000000641,0.0000000572,0.0000000602,2250492.7182,0.14021916246334
1658811600,2022-07-26 05:00:00,CARR/BTC,0.0000000601,0.0000000601,0.0000000584,0.0000000584,22239.533,0.0013273620799
1658808000,2022-07-26 04:00:00,CARR/BTC,0.0000000605,0.0000000605,0.0000000582,0.0000000601,110843.1812,0.0066529692075
1658804400,2022-07-26 03:00:00,CARR/BTC,0.0000000604,0.0000000604,0.0000000604,0.0000000604,0,0
1658800800,2022-07-26 02:00:00,CARR/BTC,0.0000000605,0.0000000605,0.0000000604,0.0000000604,37428.4604,0.00226398479328
1658797200,2022-07-26 01:00:00,CARR/BTC,0.0000000648,0.0000000648,0.0000000613,0.0000000613,129045.9056,0.00808783382272
1658793600,2022-07-26 00:00:00,CARR/BTC,0.0000000654,0.0000000654,0.0000000654,0.0000000654,9179.3885,0.0006003320079
1658790000,2022-07-25 23:00:00,CARR/BTC,0.0000000634,0.0000000634,0.0000000612,0.0000000612,80780.3407,0.00505481560883
1658786400,2022-07-25 22:00:00,CARR/BTC,0.0000000624,0.0000000624,0.0000000624,0.0000000624,0,0
1658782800,2022-07-25 21:00:00,CARR/BTC,0.0000000606,0.0000000637,0.0000000606,0.0000000624,60982.0157,0.00383317108039
1658779200,2022-07-25 20:00:00,CARR/BTC,0.0000000608,0.0000000608,0.0000000608,0.0000000608,11036.0568,0.00067099225344
1658775600,2022-07-25 19:00:00,CARR/BTC,0.0000000634,0.0000000634,0.0000000634,0.0000000634,11602.9279,0.00073562562886
