https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KONO,Volume USDT
1663459200,2022-09-18 00:00:00,KONO/USDT,0.02781,0.02781,0.02722,0.02764,92842.6909,2544.685694833
1663372800,2022-09-17 00:00:00,KONO/USDT,0.02799,0.029,0.02687,0.02794,1133474.01,31644.464044411
1663286400,2022-09-16 00:00:00,KONO/USDT,0.02889,0.02967,0.0262,0.02799,1588128.0661,44448.026516662
1663200000,2022-09-15 00:00:00,KONO/USDT,0.03234,0.03345,0.0287,0.02873,1865457.8103,58677.98087818
1663113600,2022-09-14 00:00:00,KONO/USDT,0.03207,0.0419,0.0306,0.03251,15189174.3122,536579.339222379
1663027200,2022-09-13 00:00:00,KONO/USDT,0.04597,0.04603,0.03124,0.03207,8833363.3846,337931.985894485
1662940800,2022-09-12 00:00:00,KONO/USDT,0.02815,0.04925,0.0279,0.04597,19459246.99477884,749050.5894253146551
1662854400,2022-09-11 00:00:00,KONO/USDT,0.02949,0.03089,0.02812,0.02819,1175663.3867,34746.195353617
1662768000,2022-09-10 00:00:00,KONO/USDT,0.02891,0.03655,0.02724,0.02966,4043105.9337,127350.00999189
1662681600,2022-09-09 00:00:00,KONO/USDT,0.02869,0.02989,0.02724,0.02892,954331.4437,27150.906866187
1662595200,2022-09-08 00:00:00,KONO/USDT,0.02776,0.035,0.02732,0.02861,3817526.1835,113792.302752861
1662508800,2022-09-07 00:00:00,KONO/USDT,0.02405,0.03981,0.02352,0.02776,20149575.05082013,613538.0559036881092
1662422400,2022-09-06 00:00:00,KONO/USDT,0.0261,0.0268,0.024,0.0242,573650.4281,14534.571953556
1662336000,2022-09-05 00:00:00,KONO/USDT,0.02596,0.02709,0.02543,0.0261,340131.8435,8984.957436232
1662249600,2022-09-04 00:00:00,KONO/USDT,0.0266,0.0266,0.02547,0.02589,127479.5943,3324.393406319
1662163200,2022-09-03 00:00:00,KONO/USDT,0.02657,0.02744,0.0256,0.02667,309014.8513,8179.976175204
1662076800,2022-09-02 00:00:00,KONO/USDT,0.02717,0.02729,0.02557,0.02656,327091.2363,8569.702868042
1661990400,2022-09-01 00:00:00,KONO/USDT,0.02647,0.0276,0.02555,0.02719,715573.4769,18931.959839594
1661904000,2022-08-31 00:00:00,KONO/USDT,0.0258,0.02687,0.02512,0.02647,153259.992,3951.00740092
1661817600,2022-08-30 00:00:00,KONO/USDT,0.027,0.02769,0.02524,0.02566,288941.55791652,7574.5962728622024
1661731200,2022-08-29 00:00:00,KONO/USDT,0.02743,0.0276,0.0261,0.02703,470726.59832863,12531.0569494897981
1661644800,2022-08-28 00:00:00,KONO/USDT,0.02776,0.0288,0.02736,0.02746,233733.85410275,6575.9821467610292
1661558400,2022-08-27 00:00:00,KONO/USDT,0.02826,0.02869,0.0273,0.02774,404681.36023622,11336.8654527808989
1661472000,2022-08-26 00:00:00,KONO/USDT,0.03078,0.03106,0.0274,0.02828,374386.4617455,10876.5498485717286
1661385600,2022-08-25 00:00:00,KONO/USDT,0.0307,0.03171,0.0302,0.0308,498438.73715774,15372.0343371610384
1661299200,2022-08-24 00:00:00,KONO/USDT,0.03157,0.0381,0.03026,0.03071,1883997.3234031,61698.4482675511749
1661212800,2022-08-23 00:00:00,KONO/USDT,0.0308,0.0324,0.03058,0.03157,390754.36705364,12285.4618478328571
1661126400,2022-08-22 00:00:00,KONO/USDT,0.03214,0.03225,0.03018,0.03098,657160.39831576,20322.2327414410197
1661040000,2022-08-21 00:00:00,KONO/USDT,0.03076,0.03245,0.0307,0.03202,122875.20370464,3917.3900842241702
1660953600,2022-08-20 00:00:00,KONO/USDT,0.03077,0.03349,0.03043,0.03056,308573.39570299,9868.3072777515755
1660867200,2022-08-19 00:00:00,KONO/USDT,0.03333,0.03333,0.0305,0.03084,474340.08132252,14920.938571357399
1660780800,2022-08-18 00:00:00,KONO/USDT,0.03412,0.03509,0.03326,0.03355,340948.83563752,11616.29390892068
1660694400,2022-08-17 00:00:00,KONO/USDT,0.03512,0.03633,0.03368,0.03412,454143.43403333,15816.0596464098875
