https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAO,Volume USDT
1663462800,2022-09-18 01:00:00,DAO/USDT,1.64714,1.64714,1.64714,1.64714,2.8022,4.615615708
1663459200,2022-09-18 00:00:00,DAO/USDT,1.6505,1.6505,1.64513,1.64714,243.282077,401.1077499405
1663455600,2022-09-17 23:00:00,DAO/USDT,1.64814,1.65251,1.646,1.65156,635.07388592,1047.3184280553167
1663452000,2022-09-17 22:00:00,DAO/USDT,1.67575,1.67575,1.64,1.64722,7905.08547949,13042.5788216290618
1663448400,2022-09-17 21:00:00,DAO/USDT,1.67495,1.68727,1.66408,1.67261,7674.88880855,12877.8247407407898
1663444800,2022-09-17 20:00:00,DAO/USDT,1.6658,1.68046,1.65871,1.67462,11723.08795722,19608.1209288448226
1663441200,2022-09-17 19:00:00,DAO/USDT,1.63634,1.667,1.63579,1.66521,11477.71524645,19006.697372316142
1663437600,2022-09-17 18:00:00,DAO/USDT,1.60098,1.64137,1.60098,1.63634,10100.15724331,16461.3760830507092
1663434000,2022-09-17 17:00:00,DAO/USDT,1.59954,1.60033,1.5928,1.599,3169.07471725,5060.18107144962
1663430400,2022-09-17 16:00:00,DAO/USDT,1.60374,1.621,1.59558,1.60001,5234.57670289,8381.6352901634633
1663426800,2022-09-17 15:00:00,DAO/USDT,1.59558,1.6084,1.59494,1.60448,10177.6712729,16284.606195612503
1663423200,2022-09-17 14:00:00,DAO/USDT,1.5924,1.59741,1.59008,1.59558,3893.46854415,6205.5588962137319
1663419600,2022-09-17 13:00:00,DAO/USDT,1.59957,1.60164,1.58907,1.59251,2947.43287701,4695.940465034795
1663416000,2022-09-17 12:00:00,DAO/USDT,1.60219,1.625,1.5967,1.59957,10074.38517415,16156.8724266177875
1663412400,2022-09-17 11:00:00,DAO/USDT,1.60219,1.61372,1.60208,1.60219,4538.89337564,7297.4928713604792
1663408800,2022-09-17 10:00:00,DAO/USDT,1.60735,1.609,1.60201,1.60219,4636.67179715,7439.5615779347575
1663405200,2022-09-17 09:00:00,DAO/USDT,1.61033,1.613,1.60455,1.6079,2377.23716931,3823.2574099862122
1663401600,2022-09-17 08:00:00,DAO/USDT,1.62579,1.62594,1.60515,1.61196,3759.3042882,6066.5014373378897
1663398000,2022-09-17 07:00:00,DAO/USDT,1.60756,1.6265,1.60209,1.6265,8845.09902126,14249.7035414737138
1663394400,2022-09-17 06:00:00,DAO/USDT,1.61638,1.61859,1.60122,1.60825,4420.82675852,7106.6915181944928
1663390800,2022-09-17 05:00:00,DAO/USDT,1.61582,1.6207,1.6154,1.61638,2765.33670568,4474.036197968576
1663387200,2022-09-17 04:00:00,DAO/USDT,1.62175,1.62175,1.61449,1.6158,1817.04781021,2938.6770889738825
1663383600,2022-09-17 03:00:00,DAO/USDT,1.62726,1.628,1.62091,1.62091,2192.20661601,3563.4168045144583
1663380000,2022-09-17 02:00:00,DAO/USDT,1.64721,1.65,1.625,1.62643,11131.96418595,18222.9173098554004
1663376400,2022-09-17 01:00:00,DAO/USDT,1.64963,1.65099,1.64475,1.64584,1235.61934692,2036.9022293309056
1663372800,2022-09-17 00:00:00,DAO/USDT,1.65439,1.65439,1.64187,1.64963,4897.97038973,8063.5958943245846
1663369200,2022-09-16 23:00:00,DAO/USDT,1.65653,1.65717,1.65364,1.65391,2135.05913584,3534.6193361089728
1663365600,2022-09-16 22:00:00,DAO/USDT,1.65644,1.675,1.655,1.65653,4595.78506974,7635.4087011335
1663362000,2022-09-16 21:00:00,DAO/USDT,1.65509,1.66182,1.65011,1.657,2613.57735041,4326.6400696552508
1663358400,2022-09-16 20:00:00,DAO/USDT,1.65981,1.6623,1.65501,1.65509,2179.07130343,3612.0947982265236
1663354800,2022-09-16 19:00:00,DAO/USDT,1.65735,1.66796,1.65352,1.65981,5599.79857026,9319.6186219661298
1663351200,2022-09-16 18:00:00,DAO/USDT,1.65644,1.66004,1.65351,1.65735,2228.50199758,3693.0330799130325
1663347600,2022-09-16 17:00:00,DAO/USDT,1.66379,1.665,1.65599,1.65644,3730.90586458,6197.7033358183726
1663344000,2022-09-16 16:00:00,DAO/USDT,1.67178,1.67353,1.66185,1.66379,3356.42892029,5592.0739436280906
1663340400,2022-09-16 15:00:00,DAO/USDT,1.6714,1.688,1.6714,1.67192,9122.10513023,15325.2131665235625
1663336800,2022-09-16 14:00:00,DAO/USDT,1.69357,1.70414,1.67,1.672,10988.48247143,18531.7780541659378
1663333200,2022-09-16 13:00:00,DAO/USDT,1.71776,1.72568,1.6812,1.69357,8865.30691432,15183.2267188715858
1663329600,2022-09-16 12:00:00,DAO/USDT,1.73365,1.73595,1.70414,1.71776,13985.90288626,24104.2029828884453
1663326000,2022-09-16 11:00:00,DAO/USDT,1.67547,1.7509,1.67294,1.73365,25331.30058384,43627.6966810451368
1663322400,2022-09-16 10:00:00,DAO/USDT,1.66371,1.705,1.66304,1.67321,11697.65657895,19607.4187408800265
1663318800,2022-09-16 09:00:00,DAO/USDT,1.68234,1.68234,1.66363,1.66371,2784.3417221,4657.6108505930621
1663315200,2022-09-16 08:00:00,DAO/USDT,1.66303,1.70212,1.66302,1.68234,4603.28783206,7723.0225059485347
1663311600,2022-09-16 07:00:00,DAO/USDT,1.66237,1.707,1.66237,1.66303,7946.32235252,13360.6438578894115
1663308000,2022-09-16 06:00:00,DAO/USDT,1.66337,1.67157,1.66,1.66237,2956.54034899,4918.3867475630402
1663304400,2022-09-16 05:00:00,DAO/USDT,1.66268,1.67238,1.66,1.6633,2949.89005926,4911.9415454825158
1663300800,2022-09-16 04:00:00,DAO/USDT,1.66306,1.66586,1.66047,1.66268,1874.88167006,3117.3316709497584
1663297200,2022-09-16 03:00:00,DAO/USDT,1.66247,1.666,1.66047,1.66108,2666.8258096,4432.4185841004998
1663293600,2022-09-16 02:00:00,DAO/USDT,1.67482,1.67512,1.66233,1.66233,3460.70830588,5780.0893991965049
1663290000,2022-09-16 01:00:00,DAO/USDT,1.67451,1.67886,1.67398,1.67482,1718.51153338,2880.0521656496815
1663286400,2022-09-16 00:00:00,DAO/USDT,1.693,1.69397,1.67451,1.67589,2823.88524416,4759.1898938144019
1663282800,2022-09-15 23:00:00,DAO/USDT,1.67526,1.7,1.67188,1.69161,10861.47170766,18311.8650120428065
1663279200,2022-09-15 22:00:00,DAO/USDT,1.68822,1.68831,1.67182,1.6749,4132.47098386,6941.327916231044
1663275600,2022-09-15 21:00:00,DAO/USDT,1.70447,1.70447,1.68914,1.68914,1423.90305736,2415.4440357358144
1663272000,2022-09-15 20:00:00,DAO/USDT,1.712,1.71531,1.7011,1.70295,1712.81409006,2922.0303887396662
1663268400,2022-09-15 19:00:00,DAO/USDT,1.70505,1.72021,1.69706,1.71353,12304.17482558,21068.1512271766
1663264800,2022-09-15 18:00:00,DAO/USDT,1.69687,1.705,1.69687,1.705,1394.13127489,2373.6286062552684
1663261200,2022-09-15 17:00:00,DAO/USDT,1.68821,1.70801,1.68821,1.69817,4691.23646352,7970.1570529623158
1663257600,2022-09-15 16:00:00,DAO/USDT,1.67801,1.68835,1.678,1.68719,2456.00667222,4134.7172813098113
1663254000,2022-09-15 15:00:00,DAO/USDT,1.68332,1.69021,1.6776,1.67945,9832.61243289,16530.6960583108849
1663250400,2022-09-15 14:00:00,DAO/USDT,1.70016,1.70031,1.6831,1.68333,7060.875,11943.834968845
1663246800,2022-09-15 13:00:00,DAO/USDT,1.71472,1.7214,1.698,1.69997,5292.0202521,9031.8600378970766
1663243200,2022-09-15 12:00:00,DAO/USDT,1.70107,1.72119,1.69942,1.71437,4006.3884,6843.645567624
1663239600,2022-09-15 11:00:00,DAO/USDT,1.69999,1.70236,1.698,1.70107,3943.62970543,6704.4982856948148
1663236000,2022-09-15 10:00:00,DAO/USDT,1.70118,1.70192,1.6996,1.69999,1245.4984908,2118.015948031336
1663232400,2022-09-15 09:00:00,DAO/USDT,1.70453,1.70506,1.69499,1.70118,3466.8364,5894.143394317
1663228800,2022-09-15 08:00:00,DAO/USDT,1.70084,1.71246,1.69559,1.70448,6319.33729529,10754.2655807131932
1663225200,2022-09-15 07:00:00,DAO/USDT,1.70277,1.709,1.70075,1.70084,1864.81881808,3175.6938890895692
1663221600,2022-09-15 06:00:00,DAO/USDT,1.70315,1.724,1.69986,1.7031,7392.08813995,12602.8443889147101
1663218000,2022-09-15 05:00:00,DAO/USDT,1.70064,1.7036,1.69995,1.70218,725.9465728,1235.2396071851514
1663214400,2022-09-15 04:00:00,DAO/USDT,1.7011,1.703,1.69888,1.70027,2545.2951697,4327.5326162832024
1663210800,2022-09-15 03:00:00,DAO/USDT,1.7028,1.70796,1.7011,1.7011,2514.32379111,4284.4654258814853
1663207200,2022-09-15 02:00:00,DAO/USDT,1.70274,1.70331,1.7017,1.7028,1083.60025591,1844.4352661549483
1663203600,2022-09-15 01:00:00,DAO/USDT,1.7017,1.704,1.7017,1.70238,2549.28851597,4338.5034780640382
1663200000,2022-09-15 00:00:00,DAO/USDT,1.70392,1.70392,1.7017,1.7017,1201.37038201,2044.5859845534792
1663196400,2022-09-14 23:00:00,DAO/USDT,1.70178,1.70566,1.70177,1.70178,1023.32346322,1741.9135739495006
1663192800,2022-09-14 22:00:00,DAO/USDT,1.706,1.71044,1.7017,1.70178,3429.51099261,5844.8117846732545
1663189200,2022-09-14 21:00:00,DAO/USDT,1.70244,1.70687,1.7017,1.7017,1262.19539953,2149.8814591742426
1663185600,2022-09-14 20:00:00,DAO/USDT,1.70845,1.72021,1.7017,1.70244,9131.66886562,15599.5497483058951
1663182000,2022-09-14 19:00:00,DAO/USDT,1.70716,1.70888,1.70231,1.70752,2946.61327651,5022.1821198208111
1663178400,2022-09-14 18:00:00,DAO/USDT,1.71325,1.71739,1.70343,1.70501,5353.00027174,9154.1852554900876
1663174800,2022-09-14 17:00:00,DAO/USDT,1.71509,1.71847,1.71317,1.71325,1304.14744592,2235.7051784757392
1663171200,2022-09-14 16:00:00,DAO/USDT,1.71472,1.72092,1.71317,1.71325,3720.1710453,6392.497382916176
