https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume TON
1663545600000,2022-09-19 00:00:00,TON/BTC,8.162e-05,8.282e-05,8.09e-05,8.188e-05,0.126914,1550.0
1663459200000,2022-09-18 00:00:00,TON/BTC,7.862e-05,8.429e-05,7.825e-05,8.197e-05,2.648397416344975,32309.34996151
1663372800000,2022-09-17 00:00:00,TON/BTC,8.382e-05,8.446e-05,7.625e-05,8.131e-05,2.768085518865844,34043.60495469
1663286400000,2022-09-16 00:00:00,TON/BTC,8.449e-05,8.559e-05,8.323e-05,8.388e-05,2.7832130045605044,33180.88942013
1663200000000,2022-09-15 00:00:00,TON/BTC,8.608e-05,8.729e-05,8.25e-05,8.453e-05,2.7392217430467296,32405.32051398
1663113600000,2022-09-14 00:00:00,TON/BTC,8.783e-05,9.004e-05,8.306e-05,8.455e-05,2.1824392767231666,25812.41013274
1663027200000,2022-09-13 00:00:00,TON/BTC,8.258e-05,8.951e-05,8.172e-05,8.852e-05,2.6504909690460923,29942.28387987
1662940800000,2022-09-12 00:00:00,TON/BTC,8.479e-05,8.851e-05,8.172e-05,8.242e-05,2.7195991444410437,32996.83504539
1662854400000,2022-09-11 00:00:00,TON/BTC,8.837e-05,9.009e-05,8.399e-05,8.483e-05,2.802468781404536,33036.29354479
1662768000000,2022-09-10 00:00:00,TON/BTC,8.772e-05,9.049e-05,8.752e-05,8.829e-05,2.8998476824158645,32844.57676312
1662681600000,2022-09-09 00:00:00,TON/BTC,9.582e-05,9.646e-05,8.02e-05,8.811e-05,3.159706794483155,35860.93286214
1662595200000,2022-09-08 00:00:00,TON/BTC,9.746e-05,0.00010463,9.192e-05,9.588e-05,3.0907153436379393,32235.24555317
1662508800000,2022-09-07 00:00:00,TON/BTC,8.722e-05,0.00011501,8.672e-05,9.741e-05,4.535440538075465,46560.31760677
1662422400000,2022-09-06 00:00:00,TON/BTC,8.58e-05,9.7e-05,8.401e-05,8.748e-05,4.194446837802919,47947.49471654
1662336000000,2022-09-05 00:00:00,TON/BTC,7.379e-05,8.611e-05,7.345e-05,8.582e-05,3.4427119525537315,40115.49700016
1662249600000,2022-09-04 00:00:00,TON/BTC,7.418e-05,7.497e-05,7.327e-05,7.379e-05,2.293792217838515,31085.4074785
1662163200000,2022-09-03 00:00:00,TON/BTC,7.354e-05,7.481e-05,7.272e-05,7.441e-05,2.343387165885505,31492.90640889
1662076800000,2022-09-02 00:00:00,TON/BTC,7.363e-05,7.442e-05,7.212e-05,7.372e-05,2.550836752706123,34601.69225049
1661990400000,2022-09-01 00:00:00,TON/BTC,7.391e-05,7.441e-05,7.25e-05,7.37e-05,2.2804322044976892,30942.09232697
1661904000000,2022-08-31 00:00:00,TON/BTC,7.367e-05,7.49e-05,7.177e-05,7.373e-05,2.4133226662663896,32731.89564989
1661817600000,2022-08-30 00:00:00,TON/BTC,6.902e-05,7.439e-05,6.8e-05,7.346e-05,2.4625289196377333,33522.03811105
1661731200000,2022-08-29 00:00:00,TON/BTC,6.79e-05,7.148e-05,6.7e-05,6.879e-05,2.310304939499614,33584.89518098
1661644800000,2022-08-28 00:00:00,TON/BTC,6.651e-05,6.934e-05,6.629e-05,6.773e-05,2.2944475921406076,33876.38553286
1661558400000,2022-08-27 00:00:00,TON/BTC,6.653e-05,6.738e-05,6.503e-05,6.652e-05,2.121007154923592,31885.2548846
1661472000000,2022-08-26 00:00:00,TON/BTC,7.003e-05,7.4e-05,6.104e-05,6.652e-05,2.536061018603558,38124.78981665
1661385600000,2022-08-25 00:00:00,TON/BTC,5.957e-05,7.4e-05,5.85e-05,6.983e-05,6.205899250704252,88871.53445087
1661299200000,2022-08-24 00:00:00,TON/BTC,6.019e-05,6.1e-05,5.862e-05,5.959e-05,2.200086152986104,36920.39189438
1661212800000,2022-08-23 00:00:00,TON/BTC,5.857e-05,6.1e-05,5.746e-05,6.049e-05,3.892147144248034,64343.64596211
1661126400000,2022-08-22 00:00:00,TON/BTC,5.385e-05,5.395e-05,5.37e-05,5.378e-05,0.088737,1650.0
1661040000000,2022-08-21 00:00:00,TON/BTC,5.513e-05,5.517e-05,5.351e-05,5.375e-05,1.7982524159653002,33455.85890168
1660953600000,2022-08-20 00:00:00,TON/BTC,5.525e-05,5.565e-05,5.425e-05,5.515e-05,2.3802401800908526,43159.38676502
1660867200000,2022-08-19 00:00:00,TON/BTC,5.357e-05,5.579e-05,5.19e-05,5.551e-05,3.2105175440685714,57836.74192161
1660780800000,2022-08-18 00:00:00,TON/BTC,5.055e-05,5.4e-05,4.8e-05,5.372e-05,3.600000248419311,67014.15205546
1660694400000,2022-08-17 00:00:00,TON/BTC,5.247e-05,5.495e-05,5.007e-05,5.053e-05,2.93946418805932,58172.65363268
1660608000000,2022-08-16 00:00:00,TON/BTC,5.202e-05,5.367e-05,5.09e-05,5.259e-05,5.204783669851875,98969.07529667
1660521600000,2022-08-15 00:00:00,TON/BTC,5.253e-05,5.369e-05,5.122e-05,5.168e-05,1.9949498562871952,38601.97090339
1660435200000,2022-08-14 00:00:00,TON/BTC,5.208e-05,5.38e-05,5.1e-05,5.202e-05,2.050685732571631,39421.10212556
1660348800000,2022-08-13 00:00:00,TON/BTC,5.386e-05,5.49e-05,5.1e-05,5.188e-05,1.8270883358837076,35217.58550277
1660262400000,2022-08-12 00:00:00,TON/BTC,5.085e-05,5.568e-05,5e-05,5.376e-05,2.4135959740574973,44895.75844601
1660176000000,2022-08-11 00:00:00,TON/BTC,5.102e-05,5.289e-05,4.894e-05,5.095e-05,1.6053286632876194,31507.92273381
1660089600000,2022-08-10 00:00:00,TON/BTC,5.265e-05,5.567e-05,5.052e-05,5.098e-05,2.0152141524415077,39529.50475562
1660003200000,2022-08-09 00:00:00,TON/BTC,5.036e-05,5.052e-05,5.019e-05,5.019e-05,0.08883629999999999,1770.0
1659916800000,2022-08-08 00:00:00,TON/BTC,4.843e-05,5.088e-05,4.763e-05,5.025e-05,1.71464017751685,34122.1925874
1659830400000,2022-08-07 00:00:00,TON/BTC,4.743e-05,4.925e-05,4.579e-05,4.817e-05,1.502348689446585,31188.47185897
1659744000000,2022-08-06 00:00:00,TON/BTC,4.375e-05,4.999e-05,4.331e-05,4.773e-05,1.9022005400335993,39853.35302815
1659657600000,2022-08-05 00:00:00,TON/BTC,4.246e-05,4.9e-05,3.959e-05,4.47e-05,1.705870152803415,38162.64323945
1659571200000,2022-08-04 00:00:00,TON/BTC,4.149e-05,4.298e-05,3.9e-05,4.266e-05,1.488687917320719,34896.57565215
1659484800000,2022-08-03 00:00:00,TON/BTC,4.11e-05,4.444e-05,4.045e-05,4.179e-05,1.7551581714887112,41999.47766185
1659398400000,2022-08-02 00:00:00,TON/BTC,4.074e-05,4.194e-05,4.01e-05,4.084e-05,1.2939025629838956,31682.23709559
1659312000000,2022-08-01 00:00:00,TON/BTC,4.251e-05,4.26e-05,4.004e-05,4.111e-05,1.6955939030605578,41245.29075798
1659225600000,2022-07-31 00:00:00,TON/BTC,4.027e-05,4.399e-05,3.836e-05,4.221e-05,1.3723569189739142,32512.60172883
1659139200000,2022-07-30 00:00:00,TON/BTC,3.782e-05,4.049e-05,3.602e-05,4.028e-05,1.7354019491359767,43083.46447706
