https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume UST
1653436800,2022-05-25 00:00:00,BTC/UST,427108.8,436511.9,426252.2,432717.5,0.21084592,91209.750258786
1653433200,2022-05-24 23:00:00,BTC/UST,445495.6,446325.9,422419.6,428821.6,0.57658122,251364.292760422
1653429600,2022-05-24 22:00:00,BTC/UST,454978.6,455892.9,444942.2,447282.5,0.11375458,50957.352158304
1653426000,2022-05-24 21:00:00,BTC/UST,455440.9,487136.2,446838.8,454978.6,1.83955743,846181.564540887
1653422400,2022-05-24 20:00:00,BTC/UST,452247.1,457818.6,446838.8,455440.9,0.50492239,228608.647780464
1653418800,2022-05-24 19:00:00,BTC/UST,459567.4,462760.4,448598.8,451793.7,0.51807316,236315.690594962
1653415200,2022-05-24 18:00:00,BTC/UST,449989,461810.7,449989,459456.1,0.90812896,414050.670290345
1653411600,2022-05-24 17:00:00,BTC/UST,443705.7,453938,441933.9,451340.5,0.49134466,220389.194348145
1653408000,2022-05-24 16:00:00,BTC/UST,443801.1,446951.9,437084.3,443705.6,0.68388385,302068.277094271
1653404400,2022-05-24 15:00:00,BTC/UST,436643.2,446951.9,432993,443801.1,0.7858616,345974.230569674
1653400800,2022-05-24 14:00:00,BTC/UST,451340.5,457343.2,432324.4,436643.3,2.00421791,891183.588613589
1653397200,2022-05-24 13:00:00,BTC/UST,431843.2,450887.9,430119.5,450887.9,0.98438975,436158.433380013
1653393600,2022-05-24 12:00:00,BTC/UST,440604.8,444597.2,418621.5,430551.4,1.11178279,478380.102758816
1653390000,2022-05-24 11:00:00,BTC/UST,448186.2,449983.8,435072.6,441047.1,0.43908351,194738.164185886
1653386400,2022-05-24 10:00:00,BTC/UST,458651.4,460567.7,447744,448239.9,0.81805164,371842.806736523
1653382800,2022-05-24 09:00:00,BTC/UST,453156,461986.9,445080.6,458532.5,0.58295796,262818.080773913
1653379200,2022-05-24 08:00:00,BTC/UST,447731.4,453156,440017.1,452701.4,0.75206612,334191.132015262
1653375600,2022-05-24 07:00:00,BTC/UST,437081.6,452971.7,436643.2,447731.5,0.23973877,106686.946111717
1653372000,2022-05-24 06:00:00,BTC/UST,434452.8,446385.6,422744.7,437081.6,0.24033687,105120.621143908
1653368400,2022-05-24 05:00:00,BTC/UST,437906.2,450425.6,431397.1,434452.9,0.36172377,158783.520898354
1653364800,2022-05-24 04:00:00,BTC/UST,454829.1,460494.9,435257.4,436537.1,0.50352229,226668.697330916
1653361200,2022-05-24 03:00:00,BTC/UST,452044.6,464268.5,410000,455549.9,0.77140483,348908.131033643
1653357600,2022-05-24 02:00:00,BTC/UST,450257.1,459716.4,449823.6,455538.5,0.36688643,166999.052721599
1653354000,2022-05-24 01:00:00,BTC/UST,440686.6,461741.8,440686.6,451309.6,0.45239528,205389.61118018
1653350400,2022-05-24 00:00:00,BTC/UST,422281.8,444213,413152.2,444213,0.5176725,221550.527799436
1653346800,2022-05-23 23:00:00,BTC/UST,415620.4,431395.9,413552.1,422284.3,0.50703348,213161.482150328
1653343200,2022-05-23 22:00:00,BTC/UST,410213.7,426496.6,407046.9,412691.9,1.1360653,476227.062988055
1653339600,2022-05-23 21:00:00,BTC/UST,422785.4,430750,405033.7,411107,0.368832,154642.346597808
1653336000,2022-05-23 20:00:00,BTC/UST,437211.7,439386.6,413152.1,424385.3,1.04114569,441377.676660261
1653332400,2022-05-23 19:00:00,BTC/UST,420194.1,443768.8,416044.5,435292,1.5951309,686927.538387563
1653328800,2022-05-23 18:00:00,BTC/UST,412253.2,432968.2,407046.8,416246.3,1.38293391,577598.722284649
1653325200,2022-05-23 17:00:00,BTC/UST,459649.9,460725.6,387790.6,411122.4,3.11460694,1314085.136675736
1653321600,2022-05-23 16:00:00,BTC/UST,470218.8,474463,459118.9,459647.4,0.71476962,335260.151043935
1653318000,2022-05-23 15:00:00,BTC/UST,485233.5,486593,471224.2,471224.2,0.90410886,434103.129531724
1653314400,2022-05-23 14:00:00,BTC/UST,467334.6,485233.8,467016.8,485233.2,1.16339625,556428.130438107
1653310800,2022-05-23 13:00:00,BTC/UST,481669.7,485976,465409.7,467276.7,0.33807822,161282.522340158
1653307200,2022-05-23 12:00:00,BTC/UST,466032.3,481586.4,461041.3,478027.4,0.4668425,219682.627476729
1653303600,2022-05-23 11:00:00,BTC/UST,458532.2,470323,455816.4,469188.3,0.60466647,279029.24280404
1653300000,2022-05-23 10:00:00,BTC/UST,450425.5,461986.8,439590.3,461986.8,0.46946248,211007.006461194
1653296400,2022-05-23 09:00:00,BTC/UST,452046.1,455106.1,437414.3,450089.5,0.57905588,257406.703687944
1653292800,2022-05-23 08:00:00,BTC/UST,459765,461735.5,450977.3,453224,0.22001642,100323.575973452
1653289200,2022-05-23 07:00:00,BTC/UST,460813.4,466293.2,452159.2,463253.2,0.34871653,160836.271962199
1653285600,2022-05-23 06:00:00,BTC/UST,471471.4,471471.4,458044.1,460813.3,0.40862373,190205.468262839
1653282000,2022-05-23 05:00:00,BTC/UST,473164.2,475453,457780.3,471471.3,0.37464387,174021.487832286
1653278400,2022-05-23 04:00:00,BTC/UST,441237.7,471574,441237.7,471574,0.43763099,197600.912552882
1653274800,2022-05-23 03:00:00,BTC/UST,437211.7,443882.3,416116.3,441235.9,0.63055996,272696.273566506
1653271200,2022-05-23 02:00:00,BTC/UST,448530,448530.1,417273.2,437211.7,0.54548954,234413.625904433
1653267600,2022-05-23 01:00:00,BTC/UST,460052.8,461741.9,434235.7,447545.4,0.59483493,264843.655914082
1653264000,2022-05-23 00:00:00,BTC/UST,475747.5,475747.5,453396.1,461522.8,0.39858044,184573.601198028
1653260400,2022-05-22 23:00:00,BTC/UST,454003.5,479849.2,449823,472390.7,0.27574494,129061.550075568
1653256800,2022-05-22 22:00:00,BTC/UST,466729.8,502516,446974.5,452372.8,1.06449423,493062.159946923
1653253200,2022-05-22 21:00:00,BTC/UST,474873.3,474873.3,459908.4,464582.3,0.12827158,59679.699921581
1653249600,2022-05-22 20:00:00,BTC/UST,482580.1,484678.7,468207.9,474873.3,0.73922368,351666.628961711
1653246000,2022-05-22 19:00:00,BTC/UST,469158.8,485884.3,469158.8,483189.7,0.36619188,174977.143169676
1653242400,2022-05-22 18:00:00,BTC/UST,466379,479715.7,458775.5,471181.5,0.70083422,327847.482715271
1653238800,2022-05-22 17:00:00,BTC/UST,490055.5,490055.5,459492.4,466308.3,1.30454529,613858.396262766
1653235200,2022-05-22 16:00:00,BTC/UST,484037.9,502346.9,484037.9,492601.3,1.11834335,550572.284613547
1653231600,2022-05-22 15:00:00,BTC/UST,461039.7,487647.9,457019.5,484037.9,1.16960603,555754.657493407
1653228000,2022-05-22 14:00:00,BTC/UST,481349,481349,456520.8,463922,0.75249637,350318.159328625
