https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DFI,Volume BTC
1663459200,2022-09-18 00:00:00,DFI/BTC,0.00004504,0.00004522,0.000045,0.00004508,506.9914,0.022855969734
1663372800,2022-09-17 00:00:00,DFI/BTC,0.00004656,0.00004765,0.000045,0.000045,97328.9612,4.483975203069
1663286400,2022-09-16 00:00:00,DFI/BTC,0.00004931,0.0000503,0.00004623,0.00004645,221458.5444,10.452541988097
1663200000,2022-09-15 00:00:00,DFI/BTC,0.00004604,0.00005187,0.00004597,0.00004931,272933.661,13.509849421698
1663113600,2022-09-14 00:00:00,DFI/BTC,0.00004474,0.0000462,0.00004461,0.00004599,111141.5777,5.039186343117
1663027200,2022-09-13 00:00:00,DFI/BTC,0.00004424,0.00004563,0.00004382,0.00004485,241491.3799,10.723397979985
1662940800,2022-09-12 00:00:00,DFI/BTC,0.00004469,0.0000455,0.00004394,0.00004423,265653.1374,11.790629773538
1662854400,2022-09-11 00:00:00,DFI/BTC,0.00004784,0.00004797,0.00004459,0.00004469,394765.8559,18.075345172768
1662768000,2022-09-10 00:00:00,DFI/BTC,0.00004996,0.00005012,0.00004751,0.00004782,188633.2096,9.14171568269
1662681600,2022-09-09 00:00:00,DFI/BTC,0.00005088,0.0000515,0.00004977,0.00004995,162346.3881,8.148471099435
1662595200,2022-09-08 00:00:00,DFI/BTC,0.00005226,0.00005323,0.0000506,0.00005087,305857.9666,15.776532407613
1662508800,2022-09-07 00:00:00,DFI/BTC,0.00005521,0.0000566,0.00005061,0.00005237,289109.7929,15.366824093709
1662422400,2022-09-06 00:00:00,DFI/BTC,0.00006852,0.00007175,0.00005385,0.00005509,874091.9431,54.655627378896
1662336000,2022-09-05 00:00:00,DFI/BTC,0.00005952,0.00007363,0.00005913,0.0000683,833734.578,54.78490627496
1662249600,2022-09-04 00:00:00,DFI/BTC,0.00005498,0.00005998,0.00005463,0.00005957,465530.3791,27.130698102189
1662163200,2022-09-03 00:00:00,DFI/BTC,0.00005043,0.00005788,0.00005014,0.00005499,623973.66976197,33.653949785513395
1662076800,2022-09-02 00:00:00,DFI/BTC,0.00004746,0.00005106,0.00004736,0.00005053,150985.6213,7.475315842071
1661990400,2022-09-01 00:00:00,DFI/BTC,0.0000463,0.00004864,0.00004591,0.00004746,144590.1264,6.836878440585
1661904000,2022-08-31 00:00:00,DFI/BTC,0.00004479,0.00004641,0.0000445,0.00004631,116970.9714,5.292442832045
1661817600,2022-08-30 00:00:00,DFI/BTC,0.00004445,0.00004498,0.00004425,0.00004479,90490.0137,4.035528007812
1661731200,2022-08-29 00:00:00,DFI/BTC,0.00004448,0.00004477,0.00004397,0.00004458,89480.5764,3.955410002174
1661644800,2022-08-28 00:00:00,DFI/BTC,0.00004437,0.00004466,0.00004405,0.00004442,64692.4513,2.865910870571
