https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume LEO
1663545600000,2022-09-19 00:00:00,LEO/ETH,0.003501,0.0035027,0.0034426,0.0034738,0.08899204896065001,25.61806925
1663542000000,2022-09-18 23:00:00,LEO/ETH,0.0034846,0.0035024,0.0034404,0.0035003,0.093656724761234,26.75677078
1663538400000,2022-09-18 22:00:00,LEO/ETH,0.0034919,0.0034998,0.0034451,0.0034808,0.086030330555272,24.71567759
1663534800000,2022-09-18 21:00:00,LEO/ETH,0.0033986,0.0035094,0.0033807,0.0034836,5.266837671390924,1511.89507159
1663531200000,2022-09-18 20:00:00,LEO/ETH,0.0033737,0.0033996,0.0033618,0.0033962,0.084481048550256,24.87516888
1663527600000,2022-09-18 19:00:00,LEO/ETH,0.0033929,0.0033967,0.0033486,0.0033699,0.088475348333937,26.25459163
1663524000000,2022-09-18 18:00:00,LEO/ETH,0.0033674,0.0034009,0.0033613,0.0033641,0.073722406492996,21.91445156
1663520400000,2022-09-18 17:00:00,LEO/ETH,0.0033679,0.003386,0.0033388,0.0033812,0.12326374153251199,36.45561976
1663516800000,2022-09-18 16:00:00,LEO/ETH,0.0033553,0.0034065,0.0033432,0.0033731,2.165977790030207,642.13269397
1663513200000,2022-09-18 15:00:00,LEO/ETH,0.0033662,0.0033662,0.0033365,0.0033516,0.07840452058614,23.39316165
1663509600000,2022-09-18 14:00:00,LEO/ETH,0.0033922,0.0034179,0.0033647,0.0033664,0.07231338841113599,21.48092574
1663506000000,2022-09-18 13:00:00,LEO/ETH,0.0034571,0.0034581,0.003362,0.003379,0.23756870676256,70.30740064
1663502400000,2022-09-18 12:00:00,LEO/ETH,0.003468,0.0034847,0.0034391,0.0034505,0.083855339727245,24.30237349
1663498800000,2022-09-18 11:00:00,LEO/ETH,0.0034735,0.0034748,0.0034448,0.0034671,0.08544528069850499,24.64459655
1663495200000,2022-09-18 10:00:00,LEO/ETH,0.0035166,0.0035335,0.0034483,0.0034742,0.085945399269704,24.73818412
1663491600000,2022-09-18 09:00:00,LEO/ETH,0.0034391,0.0035146,0.0034124,0.0034852,0.087204758794672,25.02145036
1663488000000,2022-09-18 08:00:00,LEO/ETH,0.0034454,0.003447,0.003415,0.003415,0.0865241774154,25.33650876
1663484400000,2022-09-18 07:00:00,LEO/ETH,0.0034431,0.0034469,0.0034158,0.0034469,0.086572968942215,25.11618235
1663480800000,2022-09-18 06:00:00,LEO/ETH,0.0033986,0.0034483,0.003378,0.0034445,0.08033583617395,23.322931099999998
1663477200000,2022-09-18 05:00:00,LEO/ETH,0.0034126,0.0034126,0.0033894,0.0033965,0.07927999784683,23.34167462
1663473600000,2022-09-18 04:00:00,LEO/ETH,0.0034418,0.0034442,0.0033948,0.0034097,0.093888809349496,27.53579768
1663470000000,2022-09-18 03:00:00,LEO/ETH,0.0034574,0.0034574,0.0034117,0.0034436,0.09062121202313599,26.31583576
1663466400000,2022-09-18 02:00:00,LEO/ETH,0.0035181,0.0035181,0.0034557,0.0034571,0.07558093296495601,21.862524360000002
1663462800000,2022-09-18 01:00:00,LEO/ETH,0.0034397,0.0035782,0.0034193,0.0035281,0.12909382580657303,36.59018333
1663459200000,2022-09-18 00:00:00,LEO/ETH,0.0034028,0.0034456,0.0034028,0.0034403,0.088368043232977,25.68614459
1663455600000,2022-09-17 23:00:00,LEO/ETH,0.003415,0.003421,0.0033733,0.0034004,0.08482902843373201,24.946779330000002
1663452000000,2022-09-17 22:00:00,LEO/ETH,0.0034144,0.0034443,0.0033959,0.0034151,0.073885109777154,21.63483054
