https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UMA,Volume USDT
1663459200,2022-09-18 00:00:00,UMA/USDT,2.602,2.619,2.582,2.587,317.34016784,825.71542200314
1663372800,2022-09-17 00:00:00,UMA/USDT,2.569,2.608,2.545,2.599,18261.9558127,47247.0963487204
1663286400,2022-09-16 00:00:00,UMA/USDT,2.55,2.608,2.495,2.561,20028.59099146,51105.70106806123
1663200000,2022-09-15 00:00:00,UMA/USDT,2.618,2.62,2.503,2.546,8057.46049568,20624.81510881587
1663113600,2022-09-14 00:00:00,UMA/USDT,2.618,2.661,2.549,2.616,15454.73037346,40409.31302371333
1663027200,2022-09-13 00:00:00,UMA/USDT,2.75,2.977,2.606,2.624,51187.41120746,143151.81875163871
1662940800,2022-09-12 00:00:00,UMA/USDT,2.779,2.827,2.726,2.749,15919.97622862,44322.9873516941
1662854400,2022-09-11 00:00:00,UMA/USDT,2.796,2.86,2.738,2.778,47200.64907217,131859.73356393034
1662768000,2022-09-10 00:00:00,UMA/USDT,2.757,2.944,2.724,2.799,56665.70014791,159599.85413491199
1662681600,2022-09-09 00:00:00,UMA/USDT,2.658,2.808,2.637,2.759,45178.9430016,123047.8589900714
1662595200,2022-09-08 00:00:00,UMA/USDT,2.621,2.791,2.551,2.659,31569.42643864,84081.78386269261
1662508800,2022-09-07 00:00:00,UMA/USDT,2.54,2.644,2.48,2.612,14731.70548595,37425.5869360604
1662422400,2022-09-06 00:00:00,UMA/USDT,2.73,2.812,2.522,2.542,20420.88353243,54589.55401808609
1662336000,2022-09-05 00:00:00,UMA/USDT,2.771,2.786,2.677,2.726,12085.24302324,32899.64571393742
1662249600,2022-09-04 00:00:00,UMA/USDT,2.745,2.8,2.712,2.773,21326.48596933,58848.98351708146
1662163200,2022-09-03 00:00:00,UMA/USDT,2.742,2.802,2.71,2.741,18040.18011186,49634.6517722514
1662076800,2022-09-02 00:00:00,UMA/USDT,2.738,2.851,2.705,2.743,18049.72995374,49660.68282899913
1661990400,2022-09-01 00:00:00,UMA/USDT,2.726,2.79,2.653,2.738,28284.6747722,76978.17440343103
1661904000,2022-08-31 00:00:00,UMA/USDT,2.783,2.833,2.719,2.724,18175.93631222,50493.55817834189
1661817600,2022-08-30 00:00:00,UMA/USDT,2.855,2.905,2.699,2.772,31829.30935762,89592.47832712431
1661731200,2022-08-29 00:00:00,UMA/USDT,2.62,3.015,2.593,2.852,161378.79725603,453112.08181348012
1661644800,2022-08-28 00:00:00,UMA/USDT,2.667,2.82,2.598,2.604,89448.55871573,244042.24111245568
1661558400,2022-08-27 00:00:00,UMA/USDT,2.695,2.786,2.603,2.663,60745.15446119,161947.06148587475
1661472000,2022-08-26 00:00:00,UMA/USDT,2.95,2.994,2.679,2.706,39666.24551952,112874.85183713201
1661385600,2022-08-25 00:00:00,UMA/USDT,2.938,3.15,2.902,2.949,47913.70556033,142970.0210140723
1661299200,2022-08-24 00:00:00,UMA/USDT,2.979,3.014,2.904,2.93,18651.85079365,55108.21194795943
1661212800,2022-08-23 00:00:00,UMA/USDT,2.88,3.24,2.838,2.979,81965.41989045,244240.57102157227
1661126400,2022-08-22 00:00:00,UMA/USDT,2.904,3.078,2.783,2.876,54419.21666482,157447.96317270627
1661040000,2022-08-21 00:00:00,UMA/USDT,2.831,2.944,2.822,2.907,36755.91910784,106152.12392928552
1660953600,2022-08-20 00:00:00,UMA/USDT,2.825,3.162,2.799,2.832,86008.29324805,254182.19600040583
1660867200,2022-08-19 00:00:00,UMA/USDT,3.126,3.141,2.755,2.816,68097.18814116,197801.84887260527
1660780800,2022-08-18 00:00:00,UMA/USDT,3.261,3.347,3.113,3.131,37389.13644966,121519.11883541346
1660694400,2022-08-17 00:00:00,UMA/USDT,3.331,3.64,3.212,3.266,80942.32371355,278120.87683293002
1660608000,2022-08-16 00:00:00,UMA/USDT,3.312,3.724,3.238,3.334,101582.17222073,348234.18948013612
1660521600,2022-08-15 00:00:00,UMA/USDT,3.441,3.57,3.252,3.307,72173.33151405,245549.53296240378
1660435200,2022-08-14 00:00:00,UMA/USDT,3.741,3.983,3.367,3.442,252122.81072947,925205.65152537175
1660348800,2022-08-13 00:00:00,UMA/USDT,3.214,4.24,3.122,3.742,519815.7057518,1992151.42463166062
1660262400,2022-08-12 00:00:00,UMA/USDT,3.024,3.431,2.985,3.216,62937.98072883,199722.66187780969
1660176000,2022-08-11 00:00:00,UMA/USDT,3.097,3.155,2.998,3.019,26843.1009366,82813.83825925764
1660089600,2022-08-10 00:00:00,UMA/USDT,2.939,3.123,2.884,3.1,27507.9458825,83248.24018480135
1660003200,2022-08-09 00:00:00,UMA/USDT,3.044,3.098,2.886,2.944,26058.72824893,77705.55681367707
1659916800,2022-08-08 00:00:00,UMA/USDT,3.029,3.144,3.019,3.051,26746.80952234,82315.69967869883
1659830400,2022-08-07 00:00:00,UMA/USDT,3.029,3.059,2.974,3.036,23197.41446,70084.57988699621
1659744000,2022-08-06 00:00:00,UMA/USDT,3.051,3.16,3.009,3.032,40057.30366504,122347.7568913133
1659657600,2022-08-05 00:00:00,UMA/USDT,2.982,3.055,2.959,3.046,28238.58222255,84876.92337724511
1659571200,2022-08-04 00:00:00,UMA/USDT,2.966,3.021,2.931,2.982,20777.07475668,61843.43291826011
1659484800,2022-08-03 00:00:00,UMA/USDT,2.934,3.119,2.874,2.969,28531.34053311,85728.01348871598
1659398400,2022-08-02 00:00:00,UMA/USDT,2.951,3.105,2.864,2.931,70534.45327941,210176.31406584194
