https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUSD,Volume BTC
1661644800,2022-08-28 00:00:00,SUSD/BTC,0.00005042,0.00005042,0.00005042,0.00005042,55.7599,0.002811414158
1661558400,2022-08-27 00:00:00,SUSD/BTC,0.00004875,0.00005098,0.00004875,0.0000504,290.8125,0.014556359259
1661472000,2022-08-26 00:00:00,SUSD/BTC,0.00004681,0.00004999,0.00004636,0.00004876,1792.8031,0.086605543473
1661385600,2022-08-25 00:00:00,SUSD/BTC,0.00004644,0.00004692,0.00004509,0.00004676,3.4758,0.000160729739
1661299200,2022-08-24 00:00:00,SUSD/BTC,0.00004678,0.00004707,0.00004617,0.0000468,1.2184,0.000056634152
1661212800,2022-08-23 00:00:00,SUSD/BTC,0.00004707,0.00004815,0.00004659,0.00004659,11.469,0.000541251101
1661126400,2022-08-22 00:00:00,SUSD/BTC,0.00004667,0.00004758,0.00004665,0.00004754,14.3591,0.000680895616
1661040000,2022-08-21 00:00:00,SUSD/BTC,0.00004704,0.00004763,0.00004639,0.00004713,10481.0176,0.491826573338
1660953600,2022-08-20 00:00:00,SUSD/BTC,0.00004758,0.00004835,0.00004697,0.00004738,2231.1393,0.105702581707
1660867200,2022-08-19 00:00:00,SUSD/BTC,0.00004326,0.00004809,0.00004323,0.00004809,234.6888,0.010925894826
1660780800,2022-08-18 00:00:00,SUSD/BTC,0.00004304,0.00004329,0.00004255,0.00004329,4502.2143,0.193345903501
1660694400,2022-08-17 00:00:00,SUSD/BTC,0.00004174,0.00004397,0.00004099,0.0000429,2248.3453,0.096763359654
1660608000,2022-08-16 00:00:00,SUSD/BTC,0.00004143,0.00004334,0.00004088,0.00004204,6.1424,0.00025752486
1660521600,2022-08-15 00:00:00,SUSD/BTC,0.0000411,0.000043,0.00004025,0.00004179,2358.7535,0.096544097939
1660435200,2022-08-14 00:00:00,SUSD/BTC,0.00004104,0.0000416,0.00004039,0.0000416,38.1969,0.001568240324
1660348800,2022-08-13 00:00:00,SUSD/BTC,0.00004122,0.00004122,0.00004007,0.00004104,16.2404,0.000668083277
1660262400,2022-08-12 00:00:00,SUSD/BTC,0.00004205,0.00004235,0.00004132,0.00004168,4.3522,0.000182775171
1660176000,2022-08-11 00:00:00,SUSD/BTC,0.00004187,0.00004234,0.00004043,0.00004234,62.223,0.002542569822
1660089600,2022-08-10 00:00:00,SUSD/BTC,0.00004396,0.00004442,0.00004101,0.00004202,3311.3917,0.140068769299
1660003200,2022-08-09 00:00:00,SUSD/BTC,0.00004221,0.00004373,0.00004195,0.00004334,4343.6535,0.189303904464
1659916800,2022-08-08 00:00:00,SUSD/BTC,0.00004347,0.00004373,0.00004129,0.00004215,125.1574,0.005223065729
1659830400,2022-08-07 00:00:00,SUSD/BTC,0.00004384,0.00004418,0.00004327,0.0000434,970.2255,0.042533537915
1659744000,2022-08-06 00:00:00,SUSD/BTC,0.00004316,0.00004475,0.0000427,0.00004348,2904.7933,0.126107434208
1659657600,2022-08-05 00:00:00,SUSD/BTC,0.00004401,0.00004511,0.00004273,0.00004327,27.538,0.001198785404
1659571200,2022-08-04 00:00:00,SUSD/BTC,0.00004379,0.00004459,0.00004353,0.00004439,2803.0534,0.124378352048
1659484800,2022-08-03 00:00:00,SUSD/BTC,0.00004345,0.00004471,0.00004223,0.00004411,89.2937,0.003981411074
1659398400,2022-08-02 00:00:00,SUSD/BTC,0.00004386,0.0000448,0.00004303,0.0000434,1335.7759,0.059015744362
1659312000,2022-08-01 00:00:00,SUSD/BTC,0.00004306,0.00004395,0.00004293,0.00004309,14.3985,0.000627173651
1659225600,2022-07-31 00:00:00,SUSD/BTC,0.00004258,0.00004307,0.0000416,0.00004278,233.9181,0.009950838365
1659139200,2022-07-30 00:00:00,SUSD/BTC,0.00004191,0.00004259,0.00004065,0.00004256,920.4407,0.038443169308
1659052800,2022-07-29 00:00:00,SUSD/BTC,0.00004191,0.00004342,0.00004048,0.00004225,182.8861,0.007649553647
1658966400,2022-07-28 00:00:00,SUSD/BTC,0.00004434,0.00004434,0.00004153,0.00004311,6396.3705,0.277332472145
1658880000,2022-07-27 00:00:00,SUSD/BTC,0.00004718,0.00004809,0.00004363,0.00004439,6111.6306,0.269844403785
1658793600,2022-07-26 00:00:00,SUSD/BTC,0.00004696,0.00004846,0.00004696,0.00004762,1023.3534,0.048797176093
1658707200,2022-07-25 00:00:00,SUSD/BTC,0.00004523,0.00004703,0.00004508,0.00004703,2099.9968,0.097462183198
1658620800,2022-07-24 00:00:00,SUSD/BTC,0.00004441,0.00004498,0.00004345,0.00004417,2847.3817,0.12606312979
1658534400,2022-07-23 00:00:00,SUSD/BTC,0.00004398,0.00004573,0.00004385,0.00004494,1220.9846,0.055742370415
1658448000,2022-07-22 00:00:00,SUSD/BTC,0.00004311,0.00004555,0.00004245,0.00004555,1662.4828,0.070806596094
1658361600,2022-07-21 00:00:00,SUSD/BTC,0.00004321,0.00004499,0.00004318,0.00004368,7468.7293,0.329238036427
1658275200,2022-07-20 00:00:00,SUSD/BTC,0.00004301,0.00004358,0.00004129,0.00004325,713.4737,0.029878366879
1658188800,2022-07-19 00:00:00,SUSD/BTC,0.00004471,0.00004691,0.00004225,0.0000425,11400.4592,0.505370500694
1658102400,2022-07-18 00:00:00,SUSD/BTC,0.00004803,0.00004803,0.00004389,0.00004593,3272.0569,0.149772742662
1658016000,2022-07-17 00:00:00,SUSD/BTC,0.00004663,0.00004848,0.00004635,0.00004809,8.8281,0.000418389775
1657929600,2022-07-16 00:00:00,SUSD/BTC,0.00004799,0.00004995,0.0000466,0.00004696,183.1779,0.008634448259
1657843200,2022-07-15 00:00:00,SUSD/BTC,0.00004907,0.00005007,0.00004748,0.00004812,176.5343,0.008454826279
1657756800,2022-07-14 00:00:00,SUSD/BTC,0.00004939,0.00005127,0.00004822,0.00004857,3335.7209,0.166774284305
1657670400,2022-07-13 00:00:00,SUSD/BTC,0.00005155,0.00005304,0.00004972,0.00004972,4876.493,0.249071101185
1657584000,2022-07-12 00:00:00,SUSD/BTC,0.00005002,0.00005277,0.00004961,0.00005139,288.5955,0.014877919431
1657497600,2022-07-11 00:00:00,SUSD/BTC,0.00004962,0.00005023,0.00004823,0.00004978,1176.2436,0.058406556844
1657411200,2022-07-10 00:00:00,SUSD/BTC,0.00004727,0.00004956,0.00004571,0.00004911,215.8646,0.010324247908
1657324800,2022-07-09 00:00:00,SUSD/BTC,0.0000482,0.0000482,0.00004486,0.00004628,69.173,0.003274877846
1657238400,2022-07-08 00:00:00,SUSD/BTC,0.0000463,0.0000473,0.00004283,0.00004575,1373.6923,0.064754884527
1657152000,2022-07-07 00:00:00,SUSD/BTC,0.00004873,0.00004979,0.00004615,0.00004626,1210.0665,0.057374784905
1657065600,2022-07-06 00:00:00,SUSD/BTC,0.00004945,0.00005092,0.00004788,0.00004856,73.7395,0.003583135815
1656979200,2022-07-05 00:00:00,SUSD/BTC,0.00004928,0.00005223,0.00004825,0.00004963,164.6905,0.0081003195
1656892800,2022-07-04 00:00:00,SUSD/BTC,0.00005138,0.00005255,0.00004908,0.00004922,1156.3066,0.05887052784
1656806400,2022-07-03 00:00:00,SUSD/BTC,0.00005188,0.00005422,0.0000496,0.00005264,1690.1474,0.08792907267
1656720000,2022-07-02 00:00:00,SUSD/BTC,0.00005078,0.00005233,0.00004955,0.00005135,156.29,0.00796884304
1656633600,2022-07-01 00:00:00,SUSD/BTC,0.00004964,0.00005266,0.00004738,0.00005232,736.4783,0.037429362317
1656547200,2022-06-30 00:00:00,SUSD/BTC,0.00004916,0.00005266,0.00004873,0.00004967,2227.9103,0.116138032207
1656460800,2022-06-29 00:00:00,SUSD/BTC,0.00004899,0.00004999,0.00004803,0.00004919,365.5427,0.017969303779
1656374400,2022-06-28 00:00:00,SUSD/BTC,0.00004766,0.00004899,0.0000463,0.00004898,61.445,0.002947350493
1656288000,2022-06-27 00:00:00,SUSD/BTC,0.00004734,0.00004797,0.00004522,0.00004785,7.3512,0.000346546668
1656201600,2022-06-26 00:00:00,SUSD/BTC,0.00004662,0.00004797,0.00004519,0.00004667,22.9801,0.001063656634
1656115200,2022-06-25 00:00:00,SUSD/BTC,0.00004586,0.00004793,0.00004514,0.00004559,26.8852,0.001241869965
1656028800,2022-06-24 00:00:00,SUSD/BTC,0.00004683,0.00004749,0.00004521,0.00004628,48.3409,0.00222935052
1655942400,2022-06-23 00:00:00,SUSD/BTC,0.0000497,0.0000497,0.00004546,0.0000462,110.2664,0.005244237334
1655856000,2022-06-22 00:00:00,SUSD/BTC,0.0000482,0.00005148,0.00004705,0.00004974,306.8524,0.015108387389
1655769600,2022-06-21 00:00:00,SUSD/BTC,0.00004853,0.0000497,0.00004608,0.00004789,108.3004,0.005152385508
1655683200,2022-06-20 00:00:00,SUSD/BTC,0.00004801,0.00005114,0.0000472,0.00004853,213.4275,0.010386033474
1655596800,2022-06-19 00:00:00,SUSD/BTC,0.00005252,0.00005544,0.00004753,0.00004815,720.102,0.035815584201
1655510400,2022-06-18 00:00:00,SUSD/BTC,0.00004838,0.00005778,0.00004803,0.00005184,3779.0782,0.205398921156
1655424000,2022-06-17 00:00:00,SUSD/BTC,0.00004922,0.00004954,0.0000469,0.00004832,32.7865,0.001582407142
1655337600,2022-06-16 00:00:00,SUSD/BTC,0.00004496,0.00004973,0.00004365,0.00004897,2303.2225,0.110134386671
1655251200,2022-06-15 00:00:00,SUSD/BTC,0.00004566,0.00004973,0.00004403,0.00004496,3581.5301,0.17062856093
1655164800,2022-06-14 00:00:00,SUSD/BTC,0.00004535,0.0000495,0.00004319,0.00004518,2029.9257,0.093720535006
1655078400,2022-06-13 00:00:00,SUSD/BTC,0.00003743,0.00004552,0.00003599,0.00004547,15992.7832,0.646797969222
1654992000,2022-06-12 00:00:00,SUSD/BTC,0.00003537,0.00003743,0.0000347,0.00003694,1107.8519,0.040148096763
1654905600,2022-06-11 00:00:00,SUSD/BTC,0.00003417,0.00003549,0.00003333,0.0000347,117.3752,0.004071335523
1654819200,2022-06-10 00:00:00,SUSD/BTC,0.00003309,0.00003521,0.00003161,0.00003403,396.5426,0.013369127087
1654732800,2022-06-09 00:00:00,SUSD/BTC,0.00003275,0.00003417,0.00003064,0.00003292,30.0259,0.000999798791
1654646400,2022-06-08 00:00:00,SUSD/BTC,0.00003185,0.00003388,0.00003185,0.0000331,7.5151,0.000246176871
1654560000,2022-06-07 00:00:00,SUSD/BTC,0.00003211,0.00003431,0.00003126,0.00003193,82.9472,0.002789179454
1654473600,2022-06-06 00:00:00,SUSD/BTC,0.00003349,0.00003417,0.00003062,0.00003222,223.5523,0.007164382931
1654387200,2022-06-05 00:00:00,SUSD/BTC,0.00003399,0.0000348,0.00003247,0.00003346,98.5756,0.003310181622
1654300800,2022-06-04 00:00:00,SUSD/BTC,0.00003428,0.00003476,0.00003233,0.00003401,24.391,0.00082361848
1654214400,2022-06-03 00:00:00,SUSD/BTC,0.00003268,0.00003479,0.00003109,0.00003398,34.4689,0.001140575102
1654128000,2022-06-02 00:00:00,SUSD/BTC,0.00003302,0.0000346,0.00003114,0.00003375,64.0843,0.002137046178
1654041600,2022-06-01 00:00:00,SUSD/BTC,0.00003138,0.00003449,0.00002892,0.0000339,121.154223,0.00401126675584
1653955200,2022-05-31 00:00:00,SUSD/BTC,0.00003135,0.00003236,0.00002911,0.00003155,133.5474,0.004186524099
1653868800,2022-05-30 00:00:00,SUSD/BTC,0.00003422,0.0000346,0.00003088,0.00003125,113.65036269,0.0036716125077654
1653782400,2022-05-29 00:00:00,SUSD/BTC,0.0000341,0.00003523,0.00003257,0.00003415,130.2281,0.004425656066
1653696000,2022-05-28 00:00:00,SUSD/BTC,0.00003494,0.00003542,0.00003315,0.00003494,1594.9786,0.054975890563
1653609600,2022-05-27 00:00:00,SUSD/BTC,0.00003388,0.0000356,0.0000334,0.00003456,81.8547,0.002834253017
1653523200,2022-05-26 00:00:00,SUSD/BTC,0.00003369,0.00003575,0.00003112,0.00003396,526.5315,0.017711272714
1653436800,2022-05-25 00:00:00,SUSD/BTC,0.00003334,0.00003465,0.00003132,0.00003355,327.7519,0.010902829574
1653350400,2022-05-24 00:00:00,SUSD/BTC,0.00003394,0.0000349,0.00003253,0.00003325,1087.042,0.03673641704
1653264000,2022-05-23 00:00:00,SUSD/BTC,0.00003265,0.00003443,0.00003208,0.00003385,1667.9096,0.056505469205
1653177600,2022-05-22 00:00:00,SUSD/BTC,0.00003389,0.00003466,0.00003133,0.00003311,588.43401362,0.0195589680227108
1653091200,2022-05-21 00:00:00,SUSD/BTC,0.00003364,0.00003482,0.00003237,0.00003359,79.6101,0.002693591253
