https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume BTC
1663462800,2022-09-18 01:00:00,ATOM/BTC,0.00078698,0.00079021,0.00078698,0.00079021,47.7944,0.037714542937
1663459200,2022-09-18 00:00:00,ATOM/BTC,0.0008156,0.00081708,0.000784,0.00078606,5375.8594,4.300202886733
1663455600,2022-09-17 23:00:00,ATOM/BTC,0.00081687,0.00082103,0.00081581,0.00081581,251.98602536,0.2064416970700968
1663452000,2022-09-17 22:00:00,ATOM/BTC,0.00082634,0.00082718,0.00081445,0.00081753,1253.0514,1.027334344603
1663448400,2022-09-17 21:00:00,ATOM/BTC,0.000829,0.00083083,0.00082359,0.00082487,588.91288453,0.4870075322596919
1663444800,2022-09-17 20:00:00,ATOM/BTC,0.00083318,0.00084155,0.00082904,0.00082904,450.27793895,0.376296637369831
1663441200,2022-09-17 19:00:00,ATOM/BTC,0.00082627,0.00083945,0.00082509,0.00083322,1666.84884346,1.3852213366345136
1663437600,2022-09-17 18:00:00,ATOM/BTC,0.00082017,0.00083011,0.00082017,0.00082611,653.21439688,0.538928587080101
1663434000,2022-09-17 17:00:00,ATOM/BTC,0.00081947,0.00082521,0.00081769,0.00081901,304.18759991,0.2498501981670605
1663430400,2022-09-17 16:00:00,ATOM/BTC,0.00081469,0.00082633,0.00081469,0.00081872,846.4687,0.694208572167
1663426800,2022-09-17 15:00:00,ATOM/BTC,0.00081922,0.00082633,0.00080637,0.00081466,1081.7478,0.88111245993
1663423200,2022-09-17 14:00:00,ATOM/BTC,0.00082302,0.00082302,0.000816,0.0008185,474.6118,0.38885689193
1663419600,2022-09-17 13:00:00,ATOM/BTC,0.00083246,0.00083393,0.00081972,0.0008232,1391.558712,1.146077750234
1663416000,2022-09-17 12:00:00,ATOM/BTC,0.00083095,0.00083773,0.00082708,0.00083224,556.331,0.463079598283
1663412400,2022-09-17 11:00:00,ATOM/BTC,0.00083666,0.00083666,0.00082811,0.00082945,517.7178,0.430544684161
1663408800,2022-09-17 10:00:00,ATOM/BTC,0.00084708,0.00085244,0.00083537,0.00083636,2581.42949625,2.1736615035787125
1663405200,2022-09-17 09:00:00,ATOM/BTC,0.00082334,0.00085176,0.0008214,0.00084736,2423.03338629,2.0380241295729781
1663401600,2022-09-17 08:00:00,ATOM/BTC,0.00081936,0.00082529,0.00081744,0.00082465,705.20885036,0.58008267923469
1663398000,2022-09-17 07:00:00,ATOM/BTC,0.00081255,0.00082303,0.00080883,0.00082004,511.7563,0.418274446596
1663394400,2022-09-17 06:00:00,ATOM/BTC,0.00081781,0.00081781,0.00080955,0.00081277,531.4791,0.432076198461
1663390800,2022-09-17 05:00:00,ATOM/BTC,0.00081142,0.00082693,0.00080837,0.00081865,1005.64848789,0.8234386511625489
1663387200,2022-09-17 04:00:00,ATOM/BTC,0.00081822,0.00081822,0.00081062,0.00081062,199.5644,0.162439086144
1663383600,2022-09-17 03:00:00,ATOM/BTC,0.00081695,0.00082082,0.00081007,0.00081895,778.9093,0.634306807765
1663380000,2022-09-17 02:00:00,ATOM/BTC,0.00081975,0.00082718,0.00081605,0.00081615,266.6183415,0.2188695543991926
1663376400,2022-09-17 01:00:00,ATOM/BTC,0.00082167,0.00082334,0.00081687,0.00082012,217.2189,0.177899112733
1663372800,2022-09-17 00:00:00,ATOM/BTC,0.0008394,0.00084349,0.0008192,0.00082202,1514.8454,1.253881465934
1663369200,2022-09-16 23:00:00,ATOM/BTC,0.00083024,0.00084782,0.00082658,0.00083838,781.19074766,0.655437096826847
1663365600,2022-09-16 22:00:00,ATOM/BTC,0.000834,0.00083761,0.00082863,0.00083005,413.3758,0.344165460709
1663362000,2022-09-16 21:00:00,ATOM/BTC,0.00081934,0.00084696,0.00081747,0.0008338,2104.97744941,1.7551066867076252
1663358400,2022-09-16 20:00:00,ATOM/BTC,0.00081113,0.00082979,0.00080883,0.00081997,1584.32905522,1.298266631747579
1663354800,2022-09-16 19:00:00,ATOM/BTC,0.00080061,0.00081381,0.00079886,0.00081381,712.82047742,0.5740959915795232
1663351200,2022-09-16 18:00:00,ATOM/BTC,0.00081464,0.00081624,0.00079785,0.00080056,600.54873121,0.4839393372905133
1663347600,2022-09-16 17:00:00,ATOM/BTC,0.00081385,0.0008255,0.00081027,0.00081235,1251.52587873,1.0259138392026712
1663344000,2022-09-16 16:00:00,ATOM/BTC,0.0008217,0.00082777,0.00081206,0.0008132,833.50576943,0.6823975269869515
1663340400,2022-09-16 15:00:00,ATOM/BTC,0.00082145,0.00082597,0.00081535,0.00082216,1105.74055447,0.9080218445730881
1663336800,2022-09-16 14:00:00,ATOM/BTC,0.0007901,0.00082894,0.00078909,0.00082054,5368.13086706,4.3608710680193216
1663333200,2022-09-16 13:00:00,ATOM/BTC,0.00079063,0.00079471,0.00078285,0.0007901,509.88141819,0.4016044180984646
1663329600,2022-09-16 12:00:00,ATOM/BTC,0.00079014,0.00080588,0.00078303,0.00079021,2177.3019,1.725163671363
1663326000,2022-09-16 11:00:00,ATOM/BTC,0.0007636,0.00079215,0.00076226,0.00078834,2895.0432,2.259901926905
1663322400,2022-09-16 10:00:00,ATOM/BTC,0.00076141,0.00076432,0.00075435,0.00076307,421.21007534,0.3198749478652014
1663318800,2022-09-16 09:00:00,ATOM/BTC,0.00074404,0.00076589,0.00074398,0.00076239,657.4843,0.49758136879
1663315200,2022-09-16 08:00:00,ATOM/BTC,0.00074891,0.00075411,0.00074349,0.00074567,246.09359472,0.184201746099256
