https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PLU,Volume USDT
1663459200,2022-09-18 00:00:00,PLU/USDT,7.667,7.689,7.638,7.638,102.9964,788.9158269
1663372800,2022-09-17 00:00:00,PLU/USDT,7.565,7.848,7.523,7.667,6581.2366,50605.2840108
1663286400,2022-09-16 00:00:00,PLU/USDT,7.56,7.9,7.488,7.628,11836.9529,90282.1387042
1663200000,2022-09-15 00:00:00,PLU/USDT,7.603,7.637,7.426,7.588,6355.7585,47918.6760072
1663113600,2022-09-14 00:00:00,PLU/USDT,7.617,7.715,7.58,7.618,3533.0149,26928.8764941
1663027200,2022-09-13 00:00:00,PLU/USDT,7.897,8.066,7.514,7.625,9060.6614,70718.7459892
1662940800,2022-09-12 00:00:00,PLU/USDT,7.878,8.075,7.82,7.962,5780.2871,46024.1065308
1662854400,2022-09-11 00:00:00,PLU/USDT,7.986,8.154,7.85,7.881,8280.8787,66064.3161735
1662768000,2022-09-10 00:00:00,PLU/USDT,7.825,8.075,7.824,7.987,4594.5314,36421.8941656
1662681600,2022-09-09 00:00:00,PLU/USDT,7.759,8.004,7.696,7.827,11810.6212,92875.946003
1662595200,2022-09-08 00:00:00,PLU/USDT,8.004,8.093,7.662,7.759,9191.8944,72219.1917216
1662508800,2022-09-07 00:00:00,PLU/USDT,8.04,8.12,7.61,7.988,9103.1372,71249.0327544
1662422400,2022-09-06 00:00:00,PLU/USDT,8.2,8.624,8.005,8.04,10154.7104,84100.9275046
1662336000,2022-09-05 00:00:00,PLU/USDT,7.981,8.5,7.922,8.178,9906.8365,81658.6497133
1662249600,2022-09-04 00:00:00,PLU/USDT,8.046,8.181,7.934,8.013,7172.6289,57763.7939114
1662163200,2022-09-03 00:00:00,PLU/USDT,7.938,8.161,7.831,8.045,5652.9633,45363.3894394
1662076800,2022-09-02 00:00:00,PLU/USDT,8.188,8.397,7.875,7.938,11012.1287,89072.689035
1661990400,2022-09-01 00:00:00,PLU/USDT,8.285,8.3,7.98,8.233,16557.9483,134150.6836281
1661904000,2022-08-31 00:00:00,PLU/USDT,8.63,8.637,8.283,8.298,10028.4498,84361.094178
1661817600,2022-08-30 00:00:00,PLU/USDT,8.943,9.1,8.515,8.59,8340.0542,73111.1395511
1661731200,2022-08-29 00:00:00,PLU/USDT,8.493,8.943,8.486,8.935,5346.4363,46604.4804159
1661644800,2022-08-28 00:00:00,PLU/USDT,8.693,8.796,8.493,8.56,2200.7889,19088.4838535
1661558400,2022-08-27 00:00:00,PLU/USDT,8.54,8.75,8.44,8.689,8460.4356,72717.8422713
1661472000,2022-08-26 00:00:00,PLU/USDT,9.21,9.37,8.51,8.545,11715.3692,105133.9448506
1661385600,2022-08-25 00:00:00,PLU/USDT,9.107,9.38,9.077,9.189,3200.1933,29566.369629
1661299200,2022-08-24 00:00:00,PLU/USDT,9.086,9.394,8.781,9.112,7042.8408,63867.2671464
1661212800,2022-08-23 00:00:00,PLU/USDT,8.833,9.235,8.8,9.085,9127.9737,81991.8109532
1661126400,2022-08-22 00:00:00,PLU/USDT,8.991,9.056,8.579,8.888,7980.1565,70539.9084656
1661040000,2022-08-21 00:00:00,PLU/USDT,8.558,9.33,8.482,9.044,7443.1544,66377.4110053
1660953600,2022-08-20 00:00:00,PLU/USDT,8.39,8.75,8.286,8.509,7865.4888,67160.3317811
1660867200,2022-08-19 00:00:00,PLU/USDT,9.414,9.417,8.07,8.39,18633.9932,160483.3976616
1660780800,2022-08-18 00:00:00,PLU/USDT,9.414,9.598,9.288,9.377,5098.7548,48112.152976
1660694400,2022-08-17 00:00:00,PLU/USDT,9.6,9.98,9.2,9.463,18071.6793,172618.6948364
1660608000,2022-08-16 00:00:00,PLU/USDT,9.208,9.988,9.009,9.647,17640.2094,166499.6900428
1660521600,2022-08-15 00:00:00,PLU/USDT,8.939,9.448,8.852,9.219,9625.6528236,88072.5327782696
1660435200,2022-08-14 00:00:00,PLU/USDT,9.291,9.4,8.784,8.958,8873.5022,80950.8739836
1660348800,2022-08-13 00:00:00,PLU/USDT,8.89,9.468,8.812,9.291,13188.6237,121129.9008735
1660262400,2022-08-12 00:00:00,PLU/USDT,8.639,8.95,8.521,8.914,8453.7082,74583.9249138
1660176000,2022-08-11 00:00:00,PLU/USDT,8.551,9.149,8.385,8.626,16624.5253,147634.1314086
1660089600,2022-08-10 00:00:00,PLU/USDT,8.11,8.998,8.11,8.594,17449.701,149089.40123
1660003200,2022-08-09 00:00:00,PLU/USDT,8.071,8.712,8.07,8.171,23986.3515,197352.6731156
1659916800,2022-08-08 00:00:00,PLU/USDT,7.76,10,7.601,8.071,67842.59875317,591778.91784726817
1659830400,2022-08-07 00:00:00,PLU/USDT,7.679,7.8,7.561,7.76,8138.2781,62535.2891482
1659744000,2022-08-06 00:00:00,PLU/USDT,7.599,7.806,7.55,7.626,5358.4506,41067.2986073
1659657600,2022-08-05 00:00:00,PLU/USDT,7.573,7.872,7.532,7.599,7481.9576,57451.9852293
1659571200,2022-08-04 00:00:00,PLU/USDT,7.651,7.764,7.45,7.561,3491.873,26440.2852749
1659484800,2022-08-03 00:00:00,PLU/USDT,7.599,7.776,7.406,7.61,3605.1809,27383.9222231
1659398400,2022-08-02 00:00:00,PLU/USDT,7.599,7.678,7.3,7.599,3511.7011,26312.0775651
1659312000,2022-08-01 00:00:00,PLU/USDT,7.77,7.929,7.41,7.625,5653.3182,43306.2225217
1659225600,2022-07-31 00:00:00,PLU/USDT,7.731,8.04,7.552,7.798,1899.343,14742.0544184
1659139200,2022-07-30 00:00:00,PLU/USDT,7.988,8.245,7.607,7.737,8515.6813,67052.483612
1659052800,2022-07-29 00:00:00,PLU/USDT,7.773,8.299,7.561,8.027,12673.8722,99747.4229755
1658966400,2022-07-28 00:00:00,PLU/USDT,7.428,7.893,7.365,7.794,12591.6541,96256.333377
1658880000,2022-07-27 00:00:00,PLU/USDT,7.231,7.603,7.152,7.41,7638.0784563,56438.973051005
1658793600,2022-07-26 00:00:00,PLU/USDT,7.24,7.45,7.06,7.219,11794.4128,85235.6161647
1658707200,2022-07-25 00:00:00,PLU/USDT,7.41,7.533,7.219,7.231,8268.5713,60640.5099716
1658620800,2022-07-24 00:00:00,PLU/USDT,7.38,7.582,7.3,7.444,6292.4792,46844.0465514
1658534400,2022-07-23 00:00:00,PLU/USDT,7.23,7.496,7.191,7.338,8850.1372,64757.0550528
1658448000,2022-07-22 00:00:00,PLU/USDT,7.378,7.52,7.208,7.23,9263.5278,68006.5828502
1658361600,2022-07-21 00:00:00,PLU/USDT,7.38,7.566,7.14,7.367,9375.945,68961.7900403
1658275200,2022-07-20 00:00:00,PLU/USDT,7.562,7.682,7.38,7.38,4537.04899022,34167.41657922155
1658188800,2022-07-19 00:00:00,PLU/USDT,7.564,7.657,7.504,7.561,7694.00458729,58293.46320572238
1658102400,2022-07-18 00:00:00,PLU/USDT,7.221,7.77,7.199,7.565,17774.18201719,133387.89490503411
1658016000,2022-07-17 00:00:00,PLU/USDT,7.587,8.86,7.2,7.2,28332.19523725,220035.92040377942
1657929600,2022-07-16 00:00:00,PLU/USDT,7.233,7.854,7.02,7.599,15700.29606965,115114.85720796525
1657843200,2022-07-15 00:00:00,PLU/USDT,7.161,8.04,7.061,7.218,21934.84628311,165658.52549038954
1657756800,2022-07-14 00:00:00,PLU/USDT,7.049,7.19,6.902,7.119,5266.99952409,37011.5652566959
1657670400,2022-07-13 00:00:00,PLU/USDT,7.056,7.242,6.882,7.014,8798.37194395,62370.41765543714
1657584000,2022-07-12 00:00:00,PLU/USDT,6.965,7.068,6.85,7.068,6847.96360117,47547.85167550999
1657497600,2022-07-11 00:00:00,PLU/USDT,7.25,7.264,6.906,6.965,8669.54093805,61646.55464161378
1657411200,2022-07-10 00:00:00,PLU/USDT,7.522,7.593,7.25,7.257,5793.35290888,42760.93500101394
1657324800,2022-07-09 00:00:00,PLU/USDT,7.321,7.604,7.22,7.506,6753.67625049,50260.86443585496
1657238400,2022-07-08 00:00:00,PLU/USDT,7.482,7.5,7.1,7.304,12008.01670694,87255.3734716594
1657152000,2022-07-07 00:00:00,PLU/USDT,7.477,7.8,7.159,7.482,15560.30101877,116065.86123119866
1657065600,2022-07-06 00:00:00,PLU/USDT,7.108,7.51,7.082,7.51,7210.91901947,52155.91261145596
1656979200,2022-07-05 00:00:00,PLU/USDT,7.2,7.3,6.98,7.108,8770.40249484,62504.41809684533
1656892800,2022-07-04 00:00:00,PLU/USDT,6.873,7.2,6.83,7.187,9267.63841806,65618.90422878994
1656806400,2022-07-03 00:00:00,PLU/USDT,7.019,7.044,6.81,6.855,10877.5604033,75248.05264348736
1656720000,2022-07-02 00:00:00,PLU/USDT,7.188,7.199,7,7.019,4952.72118673,35048.67958801453
1656633600,2022-07-01 00:00:00,PLU/USDT,6.933,7.705,6.922,7.188,15594.98115051,112268.14412741067
1656547200,2022-06-30 00:00:00,PLU/USDT,7.115,7.115,6.834,6.911,11676.43321715,81501.42926146508
1656460800,2022-06-29 00:00:00,PLU/USDT,7.376,7.461,7.01,7.113,8522.15105954,61100.2649242151
1656374400,2022-06-28 00:00:00,PLU/USDT,7.301,8.2,7,7.379,45070.54074941,335967.49425018504
1656288000,2022-06-27 00:00:00,PLU/USDT,7.073,7.337,7.02,7.314,6997.94901811,49689.19835589373
1656201600,2022-06-26 00:00:00,PLU/USDT,7.092,7.569,7.065,7.072,21187.88483542,152460.83745649399
1656115200,2022-06-25 00:00:00,PLU/USDT,7.198,7.507,7.095,7.123,14299.08000743,104111.82813602431
1656028800,2022-06-24 00:00:00,PLU/USDT,7.017,7.226,6.98,7.202,19580.6420215,138427.26862315722
1655942400,2022-06-23 00:00:00,PLU/USDT,6.927,7.227,6.927,7.017,12263.30822602,86592.75164596747
1655856000,2022-06-22 00:00:00,PLU/USDT,7.299,7.3,6.93,6.943,10991.68440033,77395.04364928814
1655769600,2022-06-21 00:00:00,PLU/USDT,7.561,7.6,7.254,7.276,8578.04312772,64011.84620747812
1655683200,2022-06-20 00:00:00,PLU/USDT,7.338,7.897,7.183,7.544,11318.40528271,86020.97711730252
1655596800,2022-06-19 00:00:00,PLU/USDT,7.16,7.404,6.865,7.338,10298.02769975,73769.70887002478
1655510400,2022-06-18 00:00:00,PLU/USDT,7.191,10.227,6.737,7.163,56544.30023842,441913.61329277899
1655424000,2022-06-17 00:00:00,PLU/USDT,6.814,7.299,6.72,7.166,13197.28401149,90723.14350956258
1655337600,2022-06-16 00:00:00,PLU/USDT,7.534,7.559,6.805,6.805,15271.41086746,109860.19873472117
1655251200,2022-06-15 00:00:00,PLU/USDT,7.069,7.993,6.909,7.523,25292.70965492,182101.51003466629
1655164800,2022-06-14 00:00:00,PLU/USDT,6.934,7.706,6.8,7.123,19050.85147394,136803.2167951205
1655078400,2022-06-13 00:00:00,PLU/USDT,8.079,8.149,6.666,6.933,28752.86514206,211484.96755868344
1654992000,2022-06-12 00:00:00,PLU/USDT,8.599,8.666,8.05,8.079,11471.61862842,95009.57344303584
1654905600,2022-06-11 00:00:00,PLU/USDT,8.88,9.341,8.345,8.608,16037.10451428,139168.20660733665
1654819200,2022-06-10 00:00:00,PLU/USDT,9.415,9.56,8.862,8.88,6974.26534679,64272.70834074999
1654732800,2022-06-09 00:00:00,PLU/USDT,9.159,11.446,8.601,9.415,52998.8709036,521741.91193910907
1654646400,2022-06-08 00:00:00,PLU/USDT,8.201,12.693,8.152,9.16,65734.38515643,696679.68726593495
1654560000,2022-06-07 00:00:00,PLU/USDT,8.271,8.346,8.119,8.201,6909.93949578,56746.93246047026
1654473600,2022-06-06 00:00:00,PLU/USDT,8.49,8.737,8.174,8.274,14898.05075717,125770.92501867012
1654387200,2022-06-05 00:00:00,PLU/USDT,8.103,8.555,8.093,8.49,9285.55592213,77967.2488600638
1654300800,2022-06-04 00:00:00,PLU/USDT,8.096,8.19,7.966,8.102,7676.17285419,61905.58088165692
1654214400,2022-06-03 00:00:00,PLU/USDT,8.04,8.109,7.96,8.096,7754.91080361,62388.27519851032
