https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FCL,Volume USDT
1663459200,2022-09-18 00:00:00,FCL/USDT,0.02224,0.02225,0.02224,0.02225,5762.5056,128.158502454
1663372800,2022-09-17 00:00:00,FCL/USDT,0.02182,0.02316,0.0212,0.02226,1684975.8945,37284.935002538
1663286400,2022-09-16 00:00:00,FCL/USDT,0.02512,0.04,0.02159,0.0219,7226632.69758543,192908.361008716313
1663200000,2022-09-15 00:00:00,FCL/USDT,0.0221,0.02804,0.02209,0.02512,5081755.21,128502.73286558
1663113600,2022-09-14 00:00:00,FCL/USDT,0.02208,0.02235,0.0219,0.02231,333589.9083,7366.744223983
1663027200,2022-09-13 00:00:00,FCL/USDT,0.02394,0.02431,0.02203,0.02203,602123.1535,14176.380332553
1662940800,2022-09-12 00:00:00,FCL/USDT,0.02594,0.0267,0.02393,0.02394,342841.7974,8465.988725696
1662854400,2022-09-11 00:00:00,FCL/USDT,0.0256,0.02602,0.02552,0.02597,171181.8249,4422.189720828
1662768000,2022-09-10 00:00:00,FCL/USDT,0.02477,0.02561,0.02461,0.0256,537071.122,13512.357995622
1662681600,2022-09-09 00:00:00,FCL/USDT,0.02434,0.02567,0.02384,0.02477,900954.341,22479.277526605
1662595200,2022-09-08 00:00:00,FCL/USDT,0.02353,0.02477,0.0235,0.02406,686790.7944,16504.846851583
1662508800,2022-09-07 00:00:00,FCL/USDT,0.02243,0.0237,0.0215,0.02351,1279082.8342,28627.384120562
1662422400,2022-09-06 00:00:00,FCL/USDT,0.02391,0.02492,0.02243,0.02243,1020905.1182,24185.130553142
1662336000,2022-09-05 00:00:00,FCL/USDT,0.02387,0.02399,0.02374,0.02389,240545.6298,5722.887259137
1662249600,2022-09-04 00:00:00,FCL/USDT,0.02381,0.02387,0.02361,0.0238,97901.1805,2327.246914991
1662163200,2022-09-03 00:00:00,FCL/USDT,0.02489,0.02489,0.02352,0.02361,148149.6591,3575.57386251
1662076800,2022-09-02 00:00:00,FCL/USDT,0.02346,0.02517,0.02346,0.02462,647444.1214,15910.290530072
1661990400,2022-09-01 00:00:00,FCL/USDT,0.02394,0.02416,0.02324,0.02356,221642.2368,5228.025136683
1661904000,2022-08-31 00:00:00,FCL/USDT,0.02331,0.02415,0.02329,0.02394,714590.9364,16990.968484092
1661817600,2022-08-30 00:00:00,FCL/USDT,0.02398,0.02509,0.02325,0.02325,574940.6298,13994.955039728
1661731200,2022-08-29 00:00:00,FCL/USDT,0.02428,0.02428,0.0236,0.02398,424187.4143,10140.943632596
1661644800,2022-08-28 00:00:00,FCL/USDT,0.02496,0.02506,0.02428,0.02428,645034.9003,15870.683797166
1661558400,2022-08-27 00:00:00,FCL/USDT,0.02641,0.02647,0.02463,0.02496,249093.5368,6290.301178242
1661472000,2022-08-26 00:00:00,FCL/USDT,0.02975,0.02977,0.02644,0.02652,397796.465,11206.596282526
1661385600,2022-08-25 00:00:00,FCL/USDT,0.02967,0.03044,0.0295,0.02977,379394.6221,11364.618652017
1661299200,2022-08-24 00:00:00,FCL/USDT,0.0307,0.0308,0.02939,0.02971,711480.4749,21389.702621982
1661212800,2022-08-23 00:00:00,FCL/USDT,0.02828,0.0309,0.02811,0.03044,412950.6123,12369.96467772
1661126400,2022-08-22 00:00:00,FCL/USDT,0.02918,0.02964,0.02776,0.02827,522645.3091,14902.624293275
1661040000,2022-08-21 00:00:00,FCL/USDT,0.02924,0.0296,0.0285,0.02918,356104.6407,10343.731846315
1660953600,2022-08-20 00:00:00,FCL/USDT,0.0274,0.02971,0.02724,0.02926,699272.2263,20121.948588022
1660867200,2022-08-19 00:00:00,FCL/USDT,0.02823,0.0283,0.0267,0.02739,597412.4463,16347.807974597
1660780800,2022-08-18 00:00:00,FCL/USDT,0.02829,0.02873,0.02815,0.02822,211112.0028,5986.362379148
1660694400,2022-08-17 00:00:00,FCL/USDT,0.03024,0.03024,0.0276,0.02805,1486702.125,43001.984932044
1660608000,2022-08-16 00:00:00,FCL/USDT,0.02953,0.03898,0.02948,0.03002,6041956.2669,197572.112867226
1660521600,2022-08-15 00:00:00,FCL/USDT,0.0291,0.0299,0.02877,0.02977,903683.4263,26637.524701972
1660435200,2022-08-14 00:00:00,FCL/USDT,0.03209,0.0321,0.0289,0.02897,959573.36,29069.548856021
1660348800,2022-08-13 00:00:00,FCL/USDT,0.03107,0.0332,0.03107,0.03214,1554418.1632,50382.849539516
1660262400,2022-08-12 00:00:00,FCL/USDT,0.02854,0.0315,0.02836,0.03105,923391.5368,27860.563404384
1660176000,2022-08-11 00:00:00,FCL/USDT,0.02884,0.02926,0.02731,0.02861,2041725.2798,57646.817226463
1660089600,2022-08-10 00:00:00,FCL/USDT,0.0308,0.0308,0.02759,0.02876,2295461.0791,66938.287050609
