https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume USDT
1653523200000.0,2022-05-26 00:00:00,UST/USDT,0.0946,0.101,0.094,0.0949,1631807.4773445735,154858.5296
1653436800000.0,2022-05-25 00:00:00,UST/USDT,0.069,0.1143,0.0644,0.0946,64178769.664904855,6071311.6103
1653350400000.0,2022-05-24 00:00:00,UST/USDT,0.0692,0.071,0.0631,0.069,15309857.882608695,1056380.1939
1653264000000.0,2022-05-23 00:00:00,UST/USDT,0.0643,0.0767,0.0622,0.0693,20799919.55844156,1441434.4254
1653177600000.0,2022-05-22 00:00:00,UST/USDT,0.058,0.0749,0.0555,0.0643,14639639.37636081,941328.8119
1653091200000.0,2022-05-21 00:00:00,UST/USDT,0.0643,0.0649,0.0481,0.058,15865945.787931032,920224.8557
1653004800000.0,2022-05-20 00:00:00,UST/USDT,0.0741,0.0779,0.0579,0.0643,18498738.592534993,1189468.8915
1652918400000.0,2022-05-19 00:00:00,UST/USDT,0.0932,0.0946,0.073,0.0741,27134069.48043185,2010634.5485
1652832000000.0,2022-05-18 00:00:00,UST/USDT,0.088,0.132,0.0869,0.0932,54189370.68669528,5050449.348
1652745600000.0,2022-05-17 00:00:00,UST/USDT,0.1003,0.1264,0.0825,0.088,38098179.93863637,3352639.8346
1652659200000.0,2022-05-16 00:00:00,UST/USDT,0.1477,0.1684,0.0523,0.1003,135764565.28215355,13617185.8978
1652572800000.0,2022-05-15 00:00:00,UST/USDT,0.1841,0.2784,0.1331,0.1477,60284703.3155044,8904050.6797
1652486400000.0,2022-05-14 00:00:00,UST/USDT,0.1283,0.2329,0.1201,0.1841,105503637.62303096,19423219.6864
1652400000000.0,2022-05-13 00:00:00,UST/USDT,0.379,0.4009,0.0398,0.1283,215703378.37724084,27674743.4458
1652313600000.0,2022-05-12 00:00:00,UST/USDT,0.777,0.848,0.2371,0.379,467492315.3873351,177179587.5318
1652227200000.0,2022-05-11 00:00:00,UST/USDT,0.8019,0.8493,0.198,0.7769,379235815.2062041,294628304.8337
1652140800000.0,2022-05-10 00:00:00,UST/USDT,0.7567,0.9353,0.56,0.8019,160478634.1495199,128687816.7245
1652054400000.0,2022-05-09 00:00:00,UST/USDT,0.9952,0.9961,0.7311,0.7567,71380877.03872076,54013909.6552
1651968000000.0,2022-05-08 00:00:00,UST/USDT,0.9928,0.998,0.985,0.9952,19696602.735329583,19602059.0422
1651881600000.0,2022-05-07 00:00:00,UST/USDT,0.9996,1.0,0.95,0.9928,5563169.999496373,5523115.1755
1651795200000.0,2022-05-06 00:00:00,UST/USDT,0.9997,0.9997,0.9951,0.9996,1757522.1285514205,1756819.1197
1651708800000.0,2022-05-05 00:00:00,UST/USDT,0.9999,1.0005,0.9996,0.9997,2642396.034510353,2641603.3157
1651622400000.0,2022-05-04 00:00:00,UST/USDT,0.9998,1.0,0.9991,0.9999,4674259.03880388,4673791.6129
1651536000000.0,2022-05-03 00:00:00,UST/USDT,0.9999,1.0,0.9997,0.9998,4994154.3190638125,4993155.4882
1651449600000.0,2022-05-02 00:00:00,UST/USDT,1.0,1.0,0.9998,0.9999,2197190.537653765,2196970.8186
1651363200000.0,2022-05-01 00:00:00,UST/USDT,0.9998,1.0,0.997,1.0,2167135.7817,2167135.7817
1651276800000.0,2022-04-30 00:00:00,UST/USDT,1.0,1.0,0.9994,0.9998,1138274.8194638926,1138047.1645
1651190400000.0,2022-04-29 00:00:00,UST/USDT,0.9999,1.0002,0.9964,1.0,3186706.3062,3186706.3062
1651104000000.0,2022-04-28 00:00:00,UST/USDT,1.0002,1.0006,0.9997,0.9999,1966753.5490549055,1966556.8737
1651017600000.0,2022-04-27 00:00:00,UST/USDT,1.0001,1.0007,0.9999,1.0002,5595087.625574885,5596206.6431
1650931200000.0,2022-04-26 00:00:00,UST/USDT,1.001,1.0013,1.0,1.0001,2766873.780821918,2767150.4682
1650844800000.0,2022-04-25 00:00:00,UST/USDT,1.0009,1.0019,1.0001,1.001,1619019.277722278,1620638.297
1650758400000.0,2022-04-24 00:00:00,UST/USDT,1.0015,1.0015,1.0008,1.0009,858702.8339494456,859475.6665
1650672000000.0,2022-04-23 00:00:00,UST/USDT,1.0022,1.0027,1.0009,1.0015,1128522.0216674986,1130214.8047
1650585600000.0,2022-04-22 00:00:00,UST/USDT,1.0034,1.0034,1.0017,1.0022,2014887.7012572342,2019320.4542
1650499200000.0,2022-04-21 00:00:00,UST/USDT,1.0039,1.0039,1.0024,1.0034,1991536.6470001992,1998307.8716
1650412800000.0,2022-04-20 00:00:00,UST/USDT,1.0036,1.0042,1.0029,1.0039,738305.069628449,741184.4594
1650326400000.0,2022-04-19 00:00:00,UST/USDT,1.0027,1.004,1.0001,1.0036,3067186.153646871,3078228.0238
1650240000000.0,2022-04-18 00:00:00,UST/USDT,1.0025,1.006,1.0015,1.0027,1352371.55280742,1356022.956
1650153600000.0,2022-04-17 00:00:00,UST/USDT,1.0029,1.0039,1.002,1.0025,823187.0403990026,825245.008
1650067200000.0,2022-04-16 00:00:00,UST/USDT,1.0021,1.0033,1.002,1.0029,1062272.1314188852,1065352.7206
1649980800000.0,2022-04-15 00:00:00,UST/USDT,1.0016,1.0023,1.0014,1.0021,1351658.282506736,1354496.7649
1649894400000.0,2022-04-14 00:00:00,UST/USDT,1.0011,1.002,1.001,1.0016,1615946.8176916933,1618532.3326
1649808000000.0,2022-04-13 00:00:00,UST/USDT,1.0008,1.0015,1.0005,1.0011,949348.2101688143,950392.4932
1649721600000.0,2022-04-12 00:00:00,UST/USDT,1.0003,1.0011,1.0001,1.0008,2359256.738609113,2361144.144
1649635200000.0,2022-04-11 00:00:00,UST/USDT,1.0006,1.0012,1.0,1.0003,1994999.8242527242,1995598.3242
1649548800000.0,2022-04-10 00:00:00,UST/USDT,1.0006,1.0007,1.0001,1.0006,591677.8210073956,592032.8277
1649462400000.0,2022-04-09 00:00:00,UST/USDT,1.0004,1.0009,1.0002,1.0006,721773.3613831701,722206.4254
1649376000000.0,2022-04-08 00:00:00,UST/USDT,1.0004,1.001,1.0002,1.0004,1163314.075169932,1163779.4008
1649289600000.0,2022-04-07 00:00:00,UST/USDT,1.0005,1.0013,1.0001,1.0004,939011.368452619,939386.973
1649203200000.0,2022-04-06 00:00:00,UST/USDT,1.0005,1.002,1.0,1.0005,1610849.0132933534,1611654.4378
1649116800000.0,2022-04-05 00:00:00,UST/USDT,1.0004,1.2671,0.9999,1.0005,2316823.8046976514,2317982.2166
1649030400000.0,2022-04-04 00:00:00,UST/USDT,1.0002,1.0029,0.9987,1.0004,3601692.529288285,3603133.2063
1648944000000.0,2022-04-03 00:00:00,UST/USDT,1.0004,1.0008,1.0,1.0002,1500894.8443311339,1501195.0233
1648857600000.0,2022-04-02 00:00:00,UST/USDT,1.0001,1.0008,1.0,1.0004,1630791.7036185525,1631444.0203
1648771200000.0,2022-04-01 00:00:00,UST/USDT,0.9998,1.0002,0.9981,1.0001,2369037.7193280673,2369274.6231
1648684800000.0,2022-03-31 00:00:00,UST/USDT,1.0004,1.0007,0.9992,0.9998,1747089.450990198,1746740.0331
1648598400000.0,2022-03-30 00:00:00,UST/USDT,1.0002,1.0013,0.9999,1.0004,1561424.275389844,1562048.8451
1648512000000.0,2022-03-29 00:00:00,UST/USDT,1.0002,1.0015,0.9996,1.0002,4202266.248350331,4203106.7016
1648425600000.0,2022-03-28 00:00:00,UST/USDT,1.0005,1.0005,0.9994,1.0002,3994600.4862027597,3995399.4063
1648339200000.0,2022-03-27 00:00:00,UST/USDT,1.0007,1.0013,1.0003,1.0005,4306166.217791105,4308319.3009
1648252800000.0,2022-03-26 00:00:00,UST/USDT,1.0007,1.0008,1.0001,1.0007,2481496.77525732,2483233.823
1648166400000.0,2022-03-25 00:00:00,UST/USDT,0.9997,1.0008,0.9995,1.0007,1284155.4362945938,1285054.3451
1648080000000.0,2022-03-24 00:00:00,UST/USDT,1.003,1.0034,0.9993,0.9997,4075788.091827548,4074565.3554
1647993600000.0,2022-03-23 00:00:00,UST/USDT,1.0024,1.0042,1.0022,1.003,2011645.3394815556,2017680.2755
1647907200000.0,2022-03-22 00:00:00,UST/USDT,1.0031,1.0035,1.0023,1.0024,2829798.63367917,2836590.1504
1647820800000.0,2022-03-21 00:00:00,UST/USDT,1.003,1.0035,1.0024,1.0031,1595255.2420496459,1600200.5333
1647734400000.0,2022-03-20 00:00:00,UST/USDT,1.0035,1.0035,1.0021,1.003,525698.8405782653,527275.9371
1647648000000.0,2022-03-19 00:00:00,UST/USDT,1.0029,1.007,1.0007,1.0035,2048580.6472346785,2055750.6795
1647561600000.0,2022-03-18 00:00:00,UST/USDT,1.0035,1.0045,1.0005,1.0029,2032129.9769667964,2038023.1539
1647475200000.0,2022-03-17 00:00:00,UST/USDT,1.0025,1.004,1.0021,1.0035,1498430.9773791728,1503675.4858
1647388800000.0,2022-03-16 00:00:00,UST/USDT,1.0037,1.0062,1.0022,1.0025,4713807.511521197,4725592.0303
1647302400000.0,2022-03-15 00:00:00,UST/USDT,1.0046,1.006,1.0033,1.0037,1557897.4358872173,1563661.6564
1647216000000.0,2022-03-14 00:00:00,UST/USDT,1.0038,1.0049,1.0031,1.0046,3042811.1518017123,3056808.0831
1647129600000.0,2022-03-13 00:00:00,UST/USDT,1.0042,1.0043,1.0037,1.0038,332783.34718071326,334047.9239
1647043200000.0,2022-03-12 00:00:00,UST/USDT,1.0046,1.0046,1.0039,1.0042,460187.90778729337,462120.697
1646956800000.0,2022-03-11 00:00:00,UST/USDT,1.0054,1.0055,1.0041,1.0046,735711.0125423054,739095.2832
1646870400000.0,2022-03-10 00:00:00,UST/USDT,1.0049,1.0109,1.0039,1.0054,3638299.688681122,3657946.507
1646784000000.0,2022-03-09 00:00:00,UST/USDT,1.0045,1.0052,1.0036,1.0049,496575.3477958006,499008.567
1646697600000.0,2022-03-08 00:00:00,UST/USDT,1.0043,1.0066,1.0034,1.0045,338498.8274763564,340022.0722
1646611200000.0,2022-03-07 00:00:00,UST/USDT,1.0049,1.0065,1.0031,1.0043,810093.5860798566,813576.9885
1646524800000.0,2022-03-06 00:00:00,UST/USDT,1.0052,1.0085,1.0027,1.0064,499915.73817567574,503115.1989
1646438400000.0,2022-03-05 00:00:00,UST/USDT,1.0046,1.0053,0.9938,1.0052,679509.9708515718,683043.4227
1646352000000.0,2022-03-04 00:00:00,UST/USDT,1.0041,1.0046,1.0021,1.0046,329924.11536930123,331441.7663
1646265600000.0,2022-03-03 00:00:00,UST/USDT,1.0053,1.0064,1.0024,1.0041,265313.2764664874,266401.0609
1646179200000.0,2022-03-02 00:00:00,UST/USDT,1.0037,1.0053,1.0021,1.0053,511920.2551477171,514633.4325
1646092800000.0,2022-03-01 00:00:00,UST/USDT,1.0053,1.0053,1.0026,1.0037,73916.2880342732,74189.7783
1646006400000.0,2022-02-28 00:00:00,UST/USDT,1.0042,1.0053,1.0021,1.0053,48643.31254351934,48901.1221
1645920000000.0,2022-02-27 00:00:00,UST/USDT,1.0039,1.0048,1.0028,1.0042,38376.73809998009,38537.9204
1645833600000.0,2022-02-26 00:00:00,UST/USDT,1.0047,1.0047,1.003,1.0039,92491.18736925989,92851.903
1645747200000.0,2022-02-25 00:00:00,UST/USDT,1.005,1.0068,1.002,1.0047,155524.71414352546,156255.6803
1645660800000.0,2022-02-24 00:00:00,UST/USDT,1.005,1.0069,1.0029,1.005,145459.4432835821,146186.7405
1645574400000.0,2022-02-23 00:00:00,UST/USDT,1.0048,1.007,1.0029,1.0052,122580.68135694388,123218.1009
1645488000000.0,2022-02-22 00:00:00,UST/USDT,1.0036,1.0075,1.0012,1.0048,391841.35768312105,393722.1962
1645401600000.0,2022-02-21 00:00:00,UST/USDT,1.0019,1.0506,0.996,1.0036,1811442.90663611,1817964.1011
1645315200000.0,2022-02-20 00:00:00,UST/USDT,1.0018,1.0045,1.0006,1.0019,109679.22656951792,109887.6171
1645228800000.0,2022-02-19 00:00:00,UST/USDT,1.0018,1.0037,0.9983,1.0018,272269.6866640048,272759.7721
1645142400000.0,2022-02-18 00:00:00,UST/USDT,1.0002,1.0029,0.997,1.0018,334655.4766420443,335257.8565
1645056000000.0,2022-02-17 00:00:00,UST/USDT,1.0005,1.0065,1.0,1.0002,332885.80513897224,332952.3823
1644969600000.0,2022-02-16 00:00:00,UST/USDT,1.0015,1.0032,1.0002,1.0005,77516.98070964518,77555.7392
1644883200000.0,2022-02-15 00:00:00,UST/USDT,1.0007,1.0032,0.999,1.0015,198426.04712930604,198723.6862
1644796800000.0,2022-02-14 00:00:00,UST/USDT,1.0012,1.0037,1.0,1.0007,527214.9945038474,527584.045
1644710400000.0,2022-02-13 00:00:00,UST/USDT,1.0008,1.006,1.0002,1.0012,303241.8655613264,303605.7558
1644624000000.0,2022-02-12 00:00:00,UST/USDT,1.001,1.0033,1.0002,1.0008,56444.86250999201,56490.0184
1644537600000.0,2022-02-11 00:00:00,UST/USDT,1.0002,1.004,0.9997,1.001,56192.249350649356,56248.4416
1644451200000.0,2022-02-10 00:00:00,UST/USDT,1.0002,1.004,0.9979,1.0002,221400.54799040194,221444.8281
1644364800000.0,2022-02-09 00:00:00,UST/USDT,1.0006,1.0008,0.996,1.0002,190710.94661067787,190749.0888
1644278400000.0,2022-02-08 00:00:00,UST/USDT,1.0008,1.0008,0.999,1.0006,178477.43733759745,178584.5238
1644192000000.0,2022-02-07 00:00:00,UST/USDT,1.0002,1.0008,0.9991,1.0008,163206.99360511592,163337.5592
1644105600000.0,2022-02-06 00:00:00,UST/USDT,1.0005,1.0009,0.998,1.0002,92757.45810837833,92776.0096
1644019200000.0,2022-02-05 00:00:00,UST/USDT,1.0012,1.004,0.9999,1.0005,60462.70034982509,60492.9317
1643932800000.0,2022-02-04 00:00:00,UST/USDT,1.0027,1.004,1.0001,1.0012,269671.6195565321,269995.2255
1643846400000.0,2022-02-03 00:00:00,UST/USDT,1.0003,1.0028,0.9983,1.0027,55848.41049167249,55999.2012
1643760000000.0,2022-02-02 00:00:00,UST/USDT,0.9994,1.0031,0.9984,1.0003,115592.95571328602,115627.6336
1643673600000.0,2022-02-01 00:00:00,UST/USDT,0.9984,1.0,0.9973,0.9994,148056.65569341605,147967.8217
1643587200000.0,2022-01-31 00:00:00,UST/USDT,0.9999,1.0,0.9965,0.9984,106574.0250400641,106403.5066
1643500800000.0,2022-01-30 00:00:00,UST/USDT,1.0,1.0,0.9961,0.9999,223273.53425342534,223251.2069
1643414400000.0,2022-01-29 00:00:00,UST/USDT,0.996,1.0,0.994,1.0,49266.0362,49266.0362
1643328000000.0,2022-01-28 00:00:00,UST/USDT,0.9947,0.9997,0.98915,0.996,52054.37419678715,51846.1567
