https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAPPT,Volume USDT
1663462800,2022-09-18 01:00:00,DAPPT/USDT,0.000746,0.000746,0.000746,0.000746,1461.5849,1.0903423354
1663459200,2022-09-18 00:00:00,DAPPT/USDT,0.000728,0.000746,0.000722,0.000742,1844491.8619,1347.99787176462
1663455600,2022-09-17 23:00:00,DAPPT/USDT,0.000756,0.000756,0.000722,0.0007254,3995034.8513,2933.48029521678
1663452000,2022-09-17 22:00:00,DAPPT/USDT,0.0007569,0.000758,0.0007422,0.000753,5162030.3784,3867.39014143654
1663448400,2022-09-17 21:00:00,DAPPT/USDT,0.000773,0.000799,0.0007524,0.0007524,14112474.1828,10959.26075033439
1663444800,2022-09-17 20:00:00,DAPPT/USDT,0.0007568,0.0007729,0.0007525,0.0007729,2124736.6858,1627.89027128147
1663441200,2022-09-17 19:00:00,DAPPT/USDT,0.00076,0.0007751,0.0007524,0.0007524,5910098.432,4485.11071478699
1663437600,2022-09-17 18:00:00,DAPPT/USDT,0.000768,0.0008037,0.0007524,0.00076,20020443.8558,15313.84739349083
1663434000,2022-09-17 17:00:00,DAPPT/USDT,0.00082,0.000854,0.0007599,0.0007687,37354089.7661,30266.6159332858
1663430400,2022-09-17 16:00:00,DAPPT/USDT,0.0007396,0.00095,0.0007396,0.000822,126745529.0472,108992.38351866997
1663426800,2022-09-17 15:00:00,DAPPT/USDT,0.000775,0.00079,0.0007395,0.00074,21945737.7234,16784.44102047973
1663423200,2022-09-17 14:00:00,DAPPT/USDT,0.0006901,0.00079,0.000679,0.0007714,47088099.4423,35427.97553540108
1663419600,2022-09-17 13:00:00,DAPPT/USDT,0.0006991,0.0007203,0.00069,0.000694,2899679.4249,2040.00387697563
1663416000,2022-09-17 12:00:00,DAPPT/USDT,0.0006899,0.0006991,0.000686,0.0006991,3091312.4427,2140.25694141134
1663412400,2022-09-17 11:00:00,DAPPT/USDT,0.000682,0.0006899,0.0006787,0.0006899,2738681.0569,1877.65609633859
1663408800,2022-09-17 10:00:00,DAPPT/USDT,0.000686,0.000694,0.0006785,0.0006785,2386684.2734,1635.88451890488
1663405200,2022-09-17 09:00:00,DAPPT/USDT,0.0006999,0.0006999,0.0006775,0.000687,3642791.9726,2480.25882800306
1663401600,2022-09-17 08:00:00,DAPPT/USDT,0.0007,0.0007218,0.000695,0.0007,4308379.4037,3047.33526086063
1663398000,2022-09-17 07:00:00,DAPPT/USDT,0.0007205,0.0007257,0.000697,0.000697,4076068.1489,2921.11340020346
1663394400,2022-09-17 06:00:00,DAPPT/USDT,0.00068,0.0007207,0.0006791,0.0007207,7547322.0552,5402.19182758155
1663390800,2022-09-17 05:00:00,DAPPT/USDT,0.000689,0.000689,0.0006727,0.000679,597557.1631,405.98987748638
1663387200,2022-09-17 04:00:00,DAPPT/USDT,0.0007,0.0007,0.0006837,0.000689,544109.9154,376.01705811054
1663383600,2022-09-17 03:00:00,DAPPT/USDT,0.000685,0.0007098,0.000685,0.0007,1793135.0918,1256.24450114292
1663380000,2022-09-17 02:00:00,DAPPT/USDT,0.000679,0.000688,0.0006646,0.000682,1536611.0454,1042.87398589178
1663376400,2022-09-17 01:00:00,DAPPT/USDT,0.0006701,0.0006859,0.0006676,0.000678,2779086.8572,1878.50296323867
1663372800,2022-09-17 00:00:00,DAPPT/USDT,0.000682,0.0006921,0.000662,0.0006705,3649220.7475,2451.993279999
1663369200,2022-09-16 23:00:00,DAPPT/USDT,0.000688,0.00069,0.0006777,0.0006777,1150802.762,785.19928358718
1663365600,2022-09-16 22:00:00,DAPPT/USDT,0.000705,0.0007089,0.000687,0.00069,1874869.1454,1310.46227554925
1663362000,2022-09-16 21:00:00,DAPPT/USDT,0.0007047,0.0007103,0.0007,0.000705,4189079.8475,2941.24832326268
1663358400,2022-09-16 20:00:00,DAPPT/USDT,0.0007068,0.0007075,0.0007,0.0007,1520816.3105,1069.66026309182
1663354800,2022-09-16 19:00:00,DAPPT/USDT,0.0007172,0.0007172,0.00069,0.0007075,2570787.5512,1791.62159690709
1663351200,2022-09-16 18:00:00,DAPPT/USDT,0.000692,0.000721,0.0006849,0.000721,4803352.4618,3373.08275569124
1663347600,2022-09-16 17:00:00,DAPPT/USDT,0.0006942,0.000697,0.000674,0.000692,2262614.5286,1552.57424931217
1663344000,2022-09-16 16:00:00,DAPPT/USDT,0.0007132,0.0007132,0.000691,0.0006942,6946041.4698,4857.36661846286
1663340400,2022-09-16 15:00:00,DAPPT/USDT,0.000722,0.000722,0.0007081,0.0007131,3157229.2539,2253.6369652441
1663336800,2022-09-16 14:00:00,DAPPT/USDT,0.000748,0.000748,0.000722,0.000722,3039300.4342,2216.43219414001
1663333200,2022-09-16 13:00:00,DAPPT/USDT,0.0007401,0.0007529,0.00074,0.000749,4698785.6869,3505.13728929356
1663329600,2022-09-16 12:00:00,DAPPT/USDT,0.000746,0.0007614,0.000734,0.0007401,9052171.247,6690.63679866168
1663326000,2022-09-16 11:00:00,DAPPT/USDT,0.0007334,0.000752,0.0007334,0.000746,5000911.8539,3696.82798944757
1663322400,2022-09-16 10:00:00,DAPPT/USDT,0.000743,0.0007698,0.0007334,0.0007335,14190623.6956,10702.43599957799
1663318800,2022-09-16 09:00:00,DAPPT/USDT,0.0007354,0.0007698,0.0007311,0.000742,11375470.7697,8569.97121860434
1663315200,2022-09-16 08:00:00,DAPPT/USDT,0.0007697,0.0007699,0.0007301,0.0007312,8299559.8459,6252.66193334669
1663311600,2022-09-16 07:00:00,DAPPT/USDT,0.000734,0.0007698,0.000734,0.0007651,3679063.7379,2785.74907597717
1663308000,2022-09-16 06:00:00,DAPPT/USDT,0.0007301,0.000738,0.0007301,0.000734,1378398.8594,1010.24828794696
1663304400,2022-09-16 05:00:00,DAPPT/USDT,0.0007323,0.000734,0.0007301,0.0007301,2223056.1851,1628.90624483033
1663300800,2022-09-16 04:00:00,DAPPT/USDT,0.000728,0.0007324,0.000728,0.0007324,1418888.1626,1038.16869493373
1663297200,2022-09-16 03:00:00,DAPPT/USDT,0.0007121,0.0007278,0.0007121,0.0007278,435284.5096,313.27585605756
1663293600,2022-09-16 02:00:00,DAPPT/USDT,0.0007144,0.0007165,0.0007109,0.0007121,309931.2987,220.89790173576
1663290000,2022-09-16 01:00:00,DAPPT/USDT,0.0007194,0.0007194,0.000711,0.0007143,3369116.6864,2402.30805945718
1663286400,2022-09-16 00:00:00,DAPPT/USDT,0.0007699,0.0007699,0.0007178,0.0007194,8075788.3066,5914.77320151419
1663282800,2022-09-15 23:00:00,DAPPT/USDT,0.00074,0.0007699,0.0007379,0.0007699,13832898.7511,10324.69060068909
1663279200,2022-09-15 22:00:00,DAPPT/USDT,0.000779,0.000779,0.000738,0.00074,9512370.0444,7242.8671146995
1663275600,2022-09-15 21:00:00,DAPPT/USDT,0.0007933,0.0007974,0.000776,0.0007769,4312243.9947,3370.82748351753
1663272000,2022-09-15 20:00:00,DAPPT/USDT,0.0008129,0.0008326,0.000785,0.0007933,8799760.6465,7062.20569673367
1663268400,2022-09-15 19:00:00,DAPPT/USDT,0.0007858,0.0008129,0.0007858,0.0008127,3473518.2734,2758.06228143071
1663264800,2022-09-15 18:00:00,DAPPT/USDT,0.0008222,0.0008489,0.0007851,0.0007858,15836100.2595,12836.38840078808
1663261200,2022-09-15 17:00:00,DAPPT/USDT,0.000826,0.0009,0.0008002,0.000822,33181002.6508,28337.75357866703
1663257600,2022-09-15 16:00:00,DAPPT/USDT,0.00076,0.000868,0.0007591,0.0008261,31678939.1421,26183.29329560045
