https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume EUR
1663545600,2022-09-19 00:00:00,BAT/EUR,0.30000,0.30000,0.30000,0.30000,0.00000000,0.0
1663542000,2022-09-18 23:00:00,BAT/EUR,0.30000,0.30000,0.30000,0.30000,0.00000000,0.0
1663538400,2022-09-18 22:00:00,BAT/EUR,0.30000,0.30000,0.30000,0.30000,0.00000000,0.0
1663534800,2022-09-18 21:00:00,BAT/EUR,0.31111,0.31111,0.30000,0.30000,1649.55393916,494.866181748
1663531200,2022-09-18 20:00:00,BAT/EUR,0.31576,0.31576,0.31576,0.31576,0.00000000,0.0
1663527600,2022-09-18 19:00:00,BAT/EUR,0.31576,0.31576,0.31576,0.31576,0.00000000,0.0
1663524000,2022-09-18 18:00:00,BAT/EUR,0.31576,0.31576,0.31576,0.31576,31.80000000,10.041167999999999
1663520400,2022-09-18 17:00:00,BAT/EUR,0.31644,0.31644,0.31502,0.31502,1902.47878511,599.3188668853522
1663516800,2022-09-18 16:00:00,BAT/EUR,0.32187,0.32187,0.32187,0.32187,0.00000000,0.0
1663513200,2022-09-18 15:00:00,BAT/EUR,0.32187,0.32187,0.32187,0.32187,0.00000000,0.0
1663509600,2022-09-18 14:00:00,BAT/EUR,0.32187,0.32187,0.32187,0.32187,0.00000000,0.0
1663506000,2022-09-18 13:00:00,BAT/EUR,0.32187,0.32187,0.32187,0.32187,0.00000000,0.0
1663502400,2022-09-18 12:00:00,BAT/EUR,0.32187,0.32187,0.32187,0.32187,0.00000000,0.0
1663498800,2022-09-18 11:00:00,BAT/EUR,0.32187,0.32187,0.32187,0.32187,0.00000000,0.0
1663495200,2022-09-18 10:00:00,BAT/EUR,0.32187,0.32187,0.32187,0.32187,0.00000000,0.0
1663491600,2022-09-18 09:00:00,BAT/EUR,0.32111,0.32228,0.32111,0.32187,1415.03987931,455.4588859535097
1663488000,2022-09-18 08:00:00,BAT/EUR,0.32938,0.32938,0.32938,0.32938,0.00000000,0.0
1663484400,2022-09-18 07:00:00,BAT/EUR,0.32938,0.32938,0.32938,0.32938,0.00000000,0.0
1663480800,2022-09-18 06:00:00,BAT/EUR,0.32938,0.32938,0.32938,0.32938,0.00000000,0.0
1663477200,2022-09-18 05:00:00,BAT/EUR,0.32938,0.32938,0.32938,0.32938,0.00000000,0.0
1663473600,2022-09-18 04:00:00,BAT/EUR,0.32938,0.32938,0.32938,0.32938,0.00000000,0.0
1663470000,2022-09-18 03:00:00,BAT/EUR,0.32938,0.32938,0.32938,0.32938,0.00000000,0.0
1663466400,2022-09-18 02:00:00,BAT/EUR,0.32938,0.32938,0.32938,0.32938,0.00000000,0.0
1663462800,2022-09-18 01:00:00,BAT/EUR,0.32938,0.32938,0.32938,0.32938,0.00000000,0.0
1663459200,2022-09-18 00:00:00,BAT/EUR,0.32938,0.32938,0.32938,0.32938,0.00000000,0.0
1663455600,2022-09-17 23:00:00,BAT/EUR,0.32938,0.32938,0.32938,0.32938,31.87764086,10.4998573464668
1663452000,2022-09-17 22:00:00,BAT/EUR,0.32708,0.32708,0.32708,0.32708,0.00000000,0.0
1663448400,2022-09-17 21:00:00,BAT/EUR,0.32708,0.32708,0.32708,0.32708,0.00000000,0.0
1663444800,2022-09-17 20:00:00,BAT/EUR,0.32708,0.32708,0.32708,0.32708,0.00000000,0.0
1663441200,2022-09-17 19:00:00,BAT/EUR,0.32708,0.32708,0.32708,0.32708,0.00000000,0.0
1663437600,2022-09-17 18:00:00,BAT/EUR,0.32708,0.32708,0.32708,0.32708,297.02499762,97.1509362215496
1663434000,2022-09-17 17:00:00,BAT/EUR,0.31997,0.31997,0.31997,0.31997,0.00000000,0.0
1663430400,2022-09-17 16:00:00,BAT/EUR,0.31997,0.31997,0.31997,0.31997,0.00000000,0.0
1663426800,2022-09-17 15:00:00,BAT/EUR,0.31997,0.31997,0.31997,0.31997,0.00000000,0.0
1663423200,2022-09-17 14:00:00,BAT/EUR,0.31997,0.31997,0.31997,0.31997,0.00000000,0.0
1663419600,2022-09-17 13:00:00,BAT/EUR,0.31997,0.31997,0.31997,0.31997,0.00000000,0.0
1663416000,2022-09-17 12:00:00,BAT/EUR,0.31997,0.31997,0.31997,0.31997,0.00000000,0.0
1663412400,2022-09-17 11:00:00,BAT/EUR,0.31997,0.31997,0.31997,0.31997,0.00000000,0.0
1663408800,2022-09-17 10:00:00,BAT/EUR,0.31997,0.31997,0.31997,0.31997,0.00000000,0.0
1663405200,2022-09-17 09:00:00,BAT/EUR,0.31997,0.31997,0.31997,0.31997,0.00000000,0.0
1663401600,2022-09-17 08:00:00,BAT/EUR,0.31997,0.31997,0.31997,0.31997,0.00000000,0.0
