https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TONE,Volume BTC
1663459200,2022-09-18 00:00:00,TONE/BTC,0.0000008165,0.0000008165,0.0000008165,0.0000008165,1.2461,0.00000101744065
1663455600,2022-09-17 23:00:00,TONE/BTC,0.0000008193,0.0000008193,0.0000008109,0.0000008109,614.9999,0.00050237824868
1663452000,2022-09-17 22:00:00,TONE/BTC,0.0000008192,0.0000008192,0.0000008192,0.0000008192,62.0919,0.00005086568448
1663448400,2022-09-17 21:00:00,TONE/BTC,0.0000008211,0.0000008277,0.0000008162,0.0000008275,6395.6755,0.00527638905611
1663444800,2022-09-17 20:00:00,TONE/BTC,0.0000008162,0.0000008211,0.0000008162,0.0000008211,246.3679,0.00020201702031
1663441200,2022-09-17 19:00:00,TONE/BTC,0.0000008175,0.0000008175,0.0000008097,0.0000008097,11830.6706,0.00963553153872
1663437600,2022-09-17 18:00:00,TONE/BTC,0.0000008217,0.0000008273,0.0000008217,0.0000008273,299.9053,0.00024781436419
1663434000,2022-09-17 17:00:00,TONE/BTC,0.0000008157,0.0000008157,0.000000815,0.000000815,1963.835,0.0016006934095
1663430400,2022-09-17 16:00:00,TONE/BTC,0.0000008208,0.000000829,0.0000008157,0.0000008208,1569.7783,0.00128600625073
1663426800,2022-09-17 15:00:00,TONE/BTC,0.0000008337,0.0000008337,0.0000008208,0.0000008208,4585.9918,0.00378264476262
1663423200,2022-09-17 14:00:00,TONE/BTC,0.0000008354,0.0000008374,0.0000008354,0.0000008374,49.1093,0.00004102850582
1663419600,2022-09-17 13:00:00,TONE/BTC,0.0000008354,0.0000008427,0.0000008334,0.0000008427,1807.3487,0.00150677136285
1663416000,2022-09-17 12:00:00,TONE/BTC,0.0000008418,0.0000008485,0.0000008382,0.0000008382,1826.0874,0.00154525601864
1663412400,2022-09-17 11:00:00,TONE/BTC,0.0000008482,0.0000008482,0.0000008335,0.0000008335,6520.8202,0.00546019001083
1663408800,2022-09-17 10:00:00,TONE/BTC,0.0000008532,0.000000861,0.000000852,0.000000852,106.9052,0.00009159814884
1663405200,2022-09-17 09:00:00,TONE/BTC,0.0000008482,0.0000008482,0.0000008482,0.0000008482,26.3127,0.00002231843214
