https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SRM,Volume USDT
1663459200,2022-09-18 00:00:00,SRM/USDT,0.807,0.807,0.8,0.802,4161.7688172,3335.62784501389
1663372800,2022-09-17 00:00:00,SRM/USDT,0.777,0.806,0.777,0.806,23675.54996605,18681.05834255804
1663286400,2022-09-16 00:00:00,SRM/USDT,0.792,0.799,0.757,0.779,46103.72807616,35535.86327829973
1663200000,2022-09-15 00:00:00,SRM/USDT,0.83,0.831,0.778,0.794,71112.72579383,56781.27688880705
1663113600,2022-09-14 00:00:00,SRM/USDT,0.802,0.836,0.802,0.83,53115.55661434,43587.77593254613
1663027200,2022-09-13 00:00:00,SRM/USDT,0.869,0.885,0.793,0.807,144840.99823288,121160.40459331687
1662940800,2022-09-12 00:00:00,SRM/USDT,0.856,0.918,0.839,0.869,460743.54051882,405886.21855843669
1662854400,2022-09-11 00:00:00,SRM/USDT,0.871,0.876,0.842,0.856,32697.18669898,28160.24595525956
1662768000,2022-09-10 00:00:00,SRM/USDT,0.863,0.879,0.851,0.868,81069.23462562,70098.85730745567
1662681600,2022-09-09 00:00:00,SRM/USDT,0.827,0.879,0.827,0.863,113825.37748418,97321.72501075858
1662595200,2022-09-08 00:00:00,SRM/USDT,0.792,0.838,0.782,0.827,73387.32825728,59207.36161046519
1662508800,2022-09-07 00:00:00,SRM/USDT,0.744,0.801,0.726,0.792,45974.91421543,35046.53139315624
1662422400,2022-09-06 00:00:00,SRM/USDT,0.808,0.824,0.743,0.746,59223.53921784,46718.11934671703
1662336000,2022-09-05 00:00:00,SRM/USDT,0.82,0.823,0.778,0.807,35402.75351078,28266.87661314815
1662249600,2022-09-04 00:00:00,SRM/USDT,0.781,0.828,0.78,0.82,65395.9446428,52826.21899598794
1662163200,2022-09-03 00:00:00,SRM/USDT,0.779,0.786,0.769,0.78,49682.36320297,38732.97483403823
1662076800,2022-09-02 00:00:00,SRM/USDT,0.801,0.809,0.773,0.78,68019.41609129,53687.83800034001
1661990400,2022-09-01 00:00:00,SRM/USDT,0.777,0.803,0.765,0.8,74071.60633438,57926.36675809958
1661904000,2022-08-31 00:00:00,SRM/USDT,0.781,0.807,0.777,0.778,58607.44144245,46620.47397990413
1661817600,2022-08-30 00:00:00,SRM/USDT,0.798,0.811,0.761,0.777,56397.47853778,43950.10557975048
