https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AION,Volume BTC
1663459200,2022-09-18 00:00:00,AION/BTC,0.00000223,0.00000225,0.00000223,0.00000224,22.085552,0.00004947492948
1663372800,2022-09-17 00:00:00,AION/BTC,0.00000214,0.0000023,0.00000212,0.00000224,92937.231796,0.2080484444383
1663286400,2022-09-16 00:00:00,AION/BTC,0.00000212,0.00000222,0.00000208,0.00000215,80645.692663,0.17451221062027
1663200000,2022-09-15 00:00:00,AION/BTC,0.00000224,0.00000226,0.00000211,0.00000212,320253.222914,0.69568990927123
1663113600,2022-09-14 00:00:00,AION/BTC,0.0000023,0.00000232,0.00000222,0.00000223,50874.895178,0.11488144067326
1663027200,2022-09-13 00:00:00,AION/BTC,0.00000217,0.00000232,0.00000214,0.0000023,249444.751452,0.54850535504246
1662940800,2022-09-12 00:00:00,AION/BTC,0.00000225,0.00000225,0.00000215,0.00000217,252821.398544,0.55066543370495
1662854400,2022-09-11 00:00:00,AION/BTC,0.00000228,0.00000233,0.00000218,0.00000225,45834.389101,0.10392176681892
1662768000,2022-09-10 00:00:00,AION/BTC,0.00000223,0.00000239,0.00000221,0.00000228,144495.690513,0.33060788930877
1662681600,2022-09-09 00:00:00,AION/BTC,0.00000242,0.00000249,0.00000222,0.00000224,296400.765792,0.69215020378149
1662595200,2022-09-08 00:00:00,AION/BTC,0.00000233,0.00000253,0.0000023,0.00000242,283510.910459,0.6870692610383
1662508800,2022-09-07 00:00:00,AION/BTC,0.00000232,0.00000245,0.00000221,0.00000233,202613.37095,0.46779752065397
1662422400,2022-09-06 00:00:00,AION/BTC,0.00000232,0.00000236,0.00000228,0.00000233,38075.065984,0.08840190865272
1662336000,2022-09-05 00:00:00,AION/BTC,0.00000233,0.00000235,0.00000221,0.00000233,174462.961993,0.39817436701786
1662249600,2022-09-04 00:00:00,AION/BTC,0.00000235,0.00000245,0.00000231,0.00000233,121350.260498,0.28394540764672
1662163200,2022-09-03 00:00:00,AION/BTC,0.00000235,0.00000255,0.00000231,0.00000235,341121.564792,0.82881068649008
1662076800,2022-09-02 00:00:00,AION/BTC,0.00000227,0.00000241,0.00000222,0.00000234,107433.358224,0.25194828089107
1661990400,2022-09-01 00:00:00,AION/BTC,0.00000227,0.00000237,0.00000223,0.00000225,81295.031142,0.18583087487833
1661904000,2022-08-31 00:00:00,AION/BTC,0.00000229,0.00000232,0.00000226,0.00000228,47030.802159,0.10811266853668
1661817600,2022-08-30 00:00:00,AION/BTC,0.00000233,0.00000243,0.0000022,0.00000229,165815.44159,0.38024685033016
1661731200,2022-08-29 00:00:00,AION/BTC,0.00000222,0.00000241,0.00000217,0.00000233,306744.737604,0.69961885398716
1661644800,2022-08-28 00:00:00,AION/BTC,0.00000235,0.00000235,0.00000222,0.00000222,211962.443443,0.48502851950624
1661558400,2022-08-27 00:00:00,AION/BTC,0.00000227,0.00000247,0.00000227,0.00000235,633268.928297,1.5085980731121
1661472000,2022-08-26 00:00:00,AION/BTC,0.00000213,0.00000241,0.00000212,0.00000227,961616.09701,2.18211720641286
1661385600,2022-08-25 00:00:00,AION/BTC,0.00000216,0.00000216,0.00000211,0.00000212,64385.367746,0.13807497992772
1661299200,2022-08-24 00:00:00,AION/BTC,0.00000214,0.00000231,0.00000209,0.00000215,468352.983301,1.02177188270304
1661212800,2022-08-23 00:00:00,AION/BTC,0.00000197,0.00000225,0.00000196,0.00000214,761832.675831,1.62144169690602
1661126400,2022-08-22 00:00:00,AION/BTC,0.00000202,0.00000204,0.00000195,0.00000198,289585.828952,0.57737128574171
1661040000,2022-08-21 00:00:00,AION/BTC,0.00000207,0.0000022,0.000002,0.00000202,768442.896621,1.59293719019719
1660953600,2022-08-20 00:00:00,AION/BTC,0.00000195,0.00000215,0.00000193,0.00000206,563190.173869,1.15562183565184
