https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PRE,Volume BTC
1663462800,2022-09-18 01:00:00,PRE/BTC,0.0000037379,0.0000037379,0.0000037379,0.0000037379,6.8466,0.00002559190614
1663459200,2022-09-18 00:00:00,PRE/BTC,0.0000037572,0.0000037685,0.0000037353,0.0000037353,238.6062,0.00089743278359
1663455600,2022-09-17 23:00:00,PRE/BTC,0.0000037071,0.0000037485,0.0000037071,0.0000037151,53.5732,0.00019933456286
1663452000,2022-09-17 22:00:00,PRE/BTC,0.0000037004,0.000003715,0.0000037004,0.000003715,1641.4482,0.00609788205139
1663448400,2022-09-17 21:00:00,PRE/BTC,0.000003715,0.000003715,0.0000037002,0.000003715,65.5316,0.00024341176032
1663444800,2022-09-17 20:00:00,PRE/BTC,0.000003715,0.000003715,0.0000037002,0.0000037002,23.1257,0.00008586182718
1663441200,2022-09-17 19:00:00,PRE/BTC,0.0000037319,0.0000037319,0.0000037009,0.000003715,91.1663,0.00033849903204
1663437600,2022-09-17 18:00:00,PRE/BTC,0.000003702,0.0000037344,0.0000037002,0.0000037319,2587.4273,0.00957504310308
1663434000,2022-09-17 17:00:00,PRE/BTC,0.0000037002,0.0000037002,0.0000037002,0.0000037002,3.132,0.0000115890264
1663430400,2022-09-17 16:00:00,PRE/BTC,0.0000037003,0.0000037086,0.0000037001,0.0000037019,14404.4794,0.05329803171452
1663426800,2022-09-17 15:00:00,PRE/BTC,0.0000037342,0.0000037484,0.00000369,0.0000037001,6473.2994,0.02400699909861
1663423200,2022-09-17 14:00:00,PRE/BTC,0.0000037551,0.0000037551,0.000003698,0.0000037342,2826.8245,0.01051199117764
1663419600,2022-09-17 13:00:00,PRE/BTC,0.000003721,0.0000037551,0.0000037191,0.0000037191,846.9683,0.00315010128342
1663416000,2022-09-17 12:00:00,PRE/BTC,0.0000037191,0.0000037576,0.0000037191,0.0000037194,9294.9319,0.03457081408609
1663412400,2022-09-17 11:00:00,PRE/BTC,0.0000037551,0.0000037551,0.0000037191,0.0000037191,17576.4574,0.06536883294324
1663408800,2022-09-17 10:00:00,PRE/BTC,0.0000037384,0.0000037551,0.0000037191,0.0000037191,228.1657,0.00084891413496
1663405200,2022-09-17 09:00:00,PRE/BTC,0.0000037551,0.0000037551,0.0000037191,0.0000037287,1827.7698,0.00679882044542
1663401600,2022-09-17 08:00:00,PRE/BTC,0.0000037551,0.0000037551,0.0000037217,0.0000037483,141.872,0.0005326550317
1663398000,2022-09-17 07:00:00,PRE/BTC,0.0000037345,0.0000037576,0.0000037345,0.0000037576,15.5527,0.00005814760105
1663394400,2022-09-17 06:00:00,PRE/BTC,0.0000037576,0.0000037669,0.0000037361,0.0000037589,17.677,0.00006641430863
1663390800,2022-09-17 05:00:00,PRE/BTC,0.000003721,0.0000037551,0.0000037191,0.0000037551,4616.6263,0.01717183681694
1663387200,2022-09-17 04:00:00,PRE/BTC,0.0000037551,0.0000037668,0.0000037191,0.0000037576,154.8713,0.00058056361528
1663383600,2022-09-17 03:00:00,PRE/BTC,0.0000037191,0.0000037551,0.0000037191,0.0000037551,55.6493,0.00020701777443
1663380000,2022-09-17 02:00:00,PRE/BTC,0.000003721,0.000003721,0.0000037191,0.0000037191,613.6273,0.00228227379743
1663376400,2022-09-17 01:00:00,PRE/BTC,0.0000037191,0.0000037191,0.0000037191,0.0000037191,39.3257,0.00014625621087
1663372800,2022-09-17 00:00:00,PRE/BTC,0.000003748,0.0000037669,0.0000037191,0.0000037191,2804.5173,0.01043628447117
1663369200,2022-09-16 23:00:00,PRE/BTC,0.0000037826,0.0000037826,0.0000037191,0.0000037468,3346.3235,0.01246379278426
1663365600,2022-09-16 22:00:00,PRE/BTC,0.0000037506,0.00000382,0.0000037506,0.00000382,4006.3774,0.01530025809964
1663362000,2022-09-16 21:00:00,PRE/BTC,0.0000037502,0.0000037578,0.0000037502,0.0000037506,45.9985,0.00017251393642
1663358400,2022-09-16 20:00:00,PRE/BTC,0.0000037502,0.0000038038,0.0000037502,0.0000037502,5060.4025,0.01898128820696
1663354800,2022-09-16 19:00:00,PRE/BTC,0.0000038453,0.0000038453,0.0000037502,0.0000037502,1696.3689,0.00637089858759
1663351200,2022-09-16 18:00:00,PRE/BTC,0.000003806,0.0000038453,0.0000038041,0.0000038453,7361.405,0.02801485742764
1663347600,2022-09-16 17:00:00,PRE/BTC,0.000003807,0.0000038451,0.0000037577,0.000003826,516.0894,0.00196978731353
1663344000,2022-09-16 16:00:00,PRE/BTC,0.0000037807,0.0000038038,0.0000037576,0.0000038038,301.4384,0.00114123443695
1663340400,2022-09-16 15:00:00,PRE/BTC,0.0000038038,0.0000038265,0.0000037499,0.0000037807,216.788,0.00081777083659
1663336800,2022-09-16 14:00:00,PRE/BTC,0.0000038154,0.0000038154,0.0000037504,0.0000037807,133.0807,0.00050163607519
1663333200,2022-09-16 13:00:00,PRE/BTC,0.0000037807,0.0000038258,0.0000037325,0.0000038038,2951.2659,0.01123282005993
1663329600,2022-09-16 12:00:00,PRE/BTC,0.0000037576,0.00000382,0.0000037576,0.00000382,1985.1663,0.00756399184848
1663326000,2022-09-16 11:00:00,PRE/BTC,0.0000037807,0.0000038037,0.0000037325,0.0000037325,465.2449,0.00175054418242
1663322400,2022-09-16 10:00:00,PRE/BTC,0.0000037502,0.0000038332,0.0000037014,0.0000037576,5352.1133,0.01998350338413
1663318800,2022-09-16 09:00:00,PRE/BTC,0.0000037576,0.0000037576,0.0000037499,0.0000037499,22.2537,0.00008354689112
1663315200,2022-09-16 08:00:00,PRE/BTC,0.0000037807,0.0000038038,0.0000037576,0.0000037577,147.5538,0.00055863442867
1663311600,2022-09-16 07:00:00,PRE/BTC,0.0000037807,0.0000038268,0.0000037576,0.0000037807,1647.9362,0.00630322624837
1663308000,2022-09-16 06:00:00,PRE/BTC,0.0000037814,0.0000038266,0.0000037814,0.0000038266,15.3668,0.0000581609196
1663304400,2022-09-16 05:00:00,PRE/BTC,0.0000038038,0.0000038038,0.0000037499,0.0000038038,147.5255,0.0005556450218
1663300800,2022-09-16 04:00:00,PRE/BTC,0.0000037582,0.0000038268,0.0000037582,0.0000037807,242.7902,0.00092648390847
1663297200,2022-09-16 03:00:00,PRE/BTC,0.000003795,0.000003833,0.0000037499,0.0000037582,338.3187,0.00128596594769
1663293600,2022-09-16 02:00:00,PRE/BTC,0.0000037576,0.0000037951,0.0000037402,0.0000037951,147.5895,0.00055909392994
1663290000,2022-09-16 01:00:00,PRE/BTC,0.0000037813,0.000003833,0.0000037446,0.0000037762,315.2983,0.00119071965367
1663286400,2022-09-16 00:00:00,PRE/BTC,0.0000037805,0.0000038269,0.0000037805,0.0000038038,241.2385,0.00091499232418
1663282800,2022-09-15 23:00:00,PRE/BTC,0.0000037576,0.0000037807,0.000003745,0.0000037718,56.096,0.00021090555626
1663279200,2022-09-15 22:00:00,PRE/BTC,0.0000037806,0.0000037807,0.0000037806,0.0000037807,53.4105,0.00020192500567
1663275600,2022-09-15 21:00:00,PRE/BTC,0.0000039193,0.00000392,0.0000037446,0.0000037446,7920.0543,0.03000537892969
1663272000,2022-09-15 20:00:00,PRE/BTC,0.00000392,0.00000392,0.0000038962,0.0000038962,48.6499,0.00019031224611
1663268400,2022-09-15 19:00:00,PRE/BTC,0.0000038967,0.00000392,0.0000038962,0.0000038962,1067.2196,0.00418302799512
1663264800,2022-09-15 18:00:00,PRE/BTC,0.0000038505,0.00000392,0.0000038505,0.00000392,3346.6455,0.01310026991964
1663261200,2022-09-15 17:00:00,PRE/BTC,0.0000038269,0.0000038873,0.00000379,0.0000038873,1234.6129,0.00474991225364
1663257600,2022-09-15 16:00:00,PRE/BTC,0.000003855,0.0000038573,0.0000038,0.0000038178,929.0106,0.00356489099212
1663254000,2022-09-15 15:00:00,PRE/BTC,0.0000038928,0.0000039193,0.00000385,0.0000038757,464.0817,0.00180468168824
1663250400,2022-09-15 14:00:00,PRE/BTC,0.0000038962,0.00000392,0.0000038549,0.0000038549,1189.2832,0.00464718617889
1663246800,2022-09-15 13:00:00,PRE/BTC,0.0000038962,0.0000039447,0.0000038962,0.0000039078,153.3452,0.00060299041347
1663243200,2022-09-15 12:00:00,PRE/BTC,0.0000038642,0.0000039679,0.0000038257,0.0000039274,3732.8885,0.01459828996755
1663239600,2022-09-15 11:00:00,PRE/BTC,0.0000039424,0.0000039885,0.00000387,0.00000387,477.8138,0.00186641772702
1663236000,2022-09-15 10:00:00,PRE/BTC,0.0000039424,0.0000039655,0.0000039202,0.0000039655,12.3836,0.00004893615428
1663232400,2022-09-15 09:00:00,PRE/BTC,0.0000039303,0.0000039655,0.0000039135,0.0000039135,148.5818,0.00058476190124
1663228800,2022-09-15 08:00:00,PRE/BTC,0.0000039422,0.0000039906,0.0000039422,0.0000039424,562.875,0.00223259265096
1663225200,2022-09-15 07:00:00,PRE/BTC,0.0000039193,0.0000040456,0.0000038996,0.0000039424,8521.8218,0.0340727520373
