https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VRA,Volume BTC
1663459200,2022-09-18 00:00:00,VRA/BTC,0.0000002254,0.0000002256,0.0000002231,0.0000002238,171374.0893,0.03848848141468
1663372800,2022-09-17 00:00:00,VRA/BTC,0.0000002174,0.0000002256,0.0000002147,0.0000002249,5110161.0308,1.12240613211369
1663286400,2022-09-16 00:00:00,VRA/BTC,0.0000002147,0.000000221,0.0000002135,0.0000002174,4179824.4314,0.9103237397807
1663200000,2022-09-15 00:00:00,VRA/BTC,0.000000218,0.0000002238,0.0000002121,0.0000002156,3999952.0795,0.87206444801464
1663113600,2022-09-14 00:00:00,VRA/BTC,0.0000002164,0.0000002253,0.0000002138,0.0000002181,7037095.2777,1.54270587550766
1663027200,2022-09-13 00:00:00,VRA/BTC,0.0000002149,0.0000002212,0.0000002059,0.0000002163,18210477.9795,3.89370529962993
1662940800,2022-09-12 00:00:00,VRA/BTC,0.000000221,0.0000002239,0.0000002142,0.000000215,14049948.0072,3.06588251756537
1662854400,2022-09-11 00:00:00,VRA/BTC,0.0000002252,0.0000002278,0.0000002203,0.0000002216,4148860.5074,0.92626358369857
1662768000,2022-09-10 00:00:00,VRA/BTC,0.0000002355,0.0000002375,0.0000002218,0.0000002249,9066456.6359,2.06510158432714
1662681600,2022-09-09 00:00:00,VRA/BTC,0.0000002323,0.0000002424,0.00000022,0.0000002341,22484968.5574,5.19459508828576
1662595200,2022-09-08 00:00:00,VRA/BTC,0.0000002334,0.0000002338,0.0000002273,0.0000002318,18350843.2983,4.24436201265973
1662508800,2022-09-07 00:00:00,VRA/BTC,0.0000002312,0.0000002409,0.0000002277,0.0000002335,9217644.2589,2.15302890587085
1662422400,2022-09-06 00:00:00,VRA/BTC,0.000000235,0.0000002385,0.0000002176,0.0000002308,25688481.6497,5.89397681402407
1662336000,2022-09-05 00:00:00,VRA/BTC,0.000000234,0.0000002356,0.00000023,0.000000235,4293370.4393,1.00145597404365
1662249600,2022-09-04 00:00:00,VRA/BTC,0.0000002337,0.0000002377,0.0000002259,0.0000002336,10082987.2366,2.34529702539241
1662163200,2022-09-03 00:00:00,VRA/BTC,0.000000233,0.0000002402,0.0000002257,0.0000002333,7132586.2877,1.65999203157062
1662076800,2022-09-02 00:00:00,VRA/BTC,0.000000236,0.000000238,0.00000023,0.0000002336,4672587.0749,1.0915175020171
1661990400,2022-09-01 00:00:00,VRA/BTC,0.0000002343,0.0000002408,0.0000002311,0.0000002353,7927701.9678,1.86060563997317
1661904000,2022-08-31 00:00:00,VRA/BTC,0.0000002361,0.0000002422,0.0000002323,0.0000002345,8591239.6043,2.04330005464143
1661817600,2022-08-30 00:00:00,VRA/BTC,0.0000002402,0.0000002495,0.0000002329,0.0000002368,15120371.9387,3.59428684606394
1661731200,2022-08-29 00:00:00,VRA/BTC,0.0000002353,0.0000002444,0.0000002318,0.0000002398,9795988.5238,2.32875071774252
1661644800,2022-08-28 00:00:00,VRA/BTC,0.0000002366,0.000000244,0.0000002334,0.0000002342,8426863.44453801,2.016048884626577425
1661558400,2022-08-27 00:00:00,VRA/BTC,0.00000023,0.0000002398,0.0000002278,0.0000002369,12229784.3891,2.8707307869521
1661472000,2022-08-26 00:00:00,VRA/BTC,0.0000002397,0.0000002495,0.0000002212,0.0000002305,32453876.835,7.67791500503013
1661385600,2022-08-25 00:00:00,VRA/BTC,0.0000002465,0.0000002507,0.0000002327,0.0000002396,10577674.6115,2.55847101913046
1661299200,2022-08-24 00:00:00,VRA/BTC,0.0000002437,0.0000002564,0.0000002418,0.0000002452,7248364.8613,1.784697904056
1661212800,2022-08-23 00:00:00,VRA/BTC,0.0000002426,0.0000002495,0.0000002331,0.0000002433,12190275.6939,2.95430793339251
