https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1663545600,2022-09-19 00:00:00,BTC/EUR,19383,19401,19351,19378,0.89054215,17256.9257827
1663542000,2022-09-18 23:00:00,BTC/EUR,19415,19495,19343,19377,35.40895000,686119.2241499999
1663538400,2022-09-18 22:00:00,BTC/EUR,19438,19459,19341,19405,18.58786131,360697.44872055
1663534800,2022-09-18 21:00:00,BTC/EUR,19683,19695,19393,19447,74.63913983,1451507.3522740102
1663531200,2022-09-18 20:00:00,BTC/EUR,19709,19726,19652,19697,10.12171157,199367.35279429
1663527600,2022-09-18 19:00:00,BTC/EUR,19609,19718,19570,19704,14.53651822,286427.55500687996
1663524000,2022-09-18 18:00:00,BTC/EUR,19607,19693,19547,19605,17.89593664,350849.83782719995
1663520400,2022-09-18 17:00:00,BTC/EUR,19722,19735,19582,19607,26.97642263,528926.71850641
1663516800,2022-09-18 16:00:00,BTC/EUR,19789,19854,19632,19724,35.73043568,704747.11335232
1663513200,2022-09-18 15:00:00,BTC/EUR,19777,19847,19750,19788,15.89076757,314446.50867516
1663509600,2022-09-18 14:00:00,BTC/EUR,19939,19939,19711,19784,18.71003535,370159.33936439996
1663506000,2022-09-18 13:00:00,BTC/EUR,19969,19983,19919,19939,7.13004912,142166.04940368
1663502400,2022-09-18 12:00:00,BTC/EUR,19891,19997,19834,19964,7.22691707,144278.17238548
1663498800,2022-09-18 11:00:00,BTC/EUR,19894,19921,19850,19900,16.05192507,319433.308893
1663495200,2022-09-18 10:00:00,BTC/EUR,19810,20010,19749,19884,28.40705299,564845.84165316
1663491600,2022-09-18 09:00:00,BTC/EUR,20030,20053,19800,19819,20.84775634,413181.68290246
1663488000,2022-09-18 08:00:00,BTC/EUR,20029,20074,20012,20025,7.61744290,152539.2940725
1663484400,2022-09-18 07:00:00,BTC/EUR,20025,20067,20016,20033,6.43164198,128845.08378534
1663480800,2022-09-18 06:00:00,BTC/EUR,20046,20075,20009,20010,6.16886500,123438.98865
1663477200,2022-09-18 05:00:00,BTC/EUR,19986,20059,19986,20043,0.75788322,15190.25337846
