https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WHALE,Volume USDT
1663459200,2022-09-18 00:00:00,WHALE/USDT,1.028,1.0361,1.0207,1.0235,6980.4431,7172.30559249
1663372800,2022-09-17 00:00:00,WHALE/USDT,1.018,1.034,1.0083,1.0289,211043.104,215328.81967869
1663286400,2022-09-16 00:00:00,WHALE/USDT,1.0243,1.0261,1.0029,1.0175,220662.8446,224990.04098207
1663200000,2022-09-15 00:00:00,WHALE/USDT,1.1044,1.1266,1.0185,1.0241,213732.1768,230234.7282527
1663113600,2022-09-14 00:00:00,WHALE/USDT,1.0795,1.2079,1.0643,1.1044,204904.2061,225091.39026978
1663027200,2022-09-13 00:00:00,WHALE/USDT,1.1515,1.1635,1.0605,1.08,207804.9002,233915.24776517
1662940800,2022-09-12 00:00:00,WHALE/USDT,1.1676,1.2084,1.1201,1.1515,194849.5399,227552.62738804
1662854400,2022-09-11 00:00:00,WHALE/USDT,1.1897,1.2296,1.1471,1.1676,188786.5361,224598.25029112
1662768000,2022-09-10 00:00:00,WHALE/USDT,1.1425,1.2275,1.1388,1.1904,200305.3,232414.54948722
1662681600,2022-09-09 00:00:00,WHALE/USDT,1.0979,1.223,1.0876,1.1425,194443.8857,221732.34169503
1662595200,2022-09-08 00:00:00,WHALE/USDT,1.1301,1.137,1.09,1.098,194966.2449,218354.3018051
1662508800,2022-09-07 00:00:00,WHALE/USDT,1.1199,1.1753,1.0676,1.1301,100770.5778,110798.40950836
1662422400,2022-09-06 00:00:00,WHALE/USDT,1.1691,1.2027,1.1045,1.12,192068.9734,223071.11005704
1662336000,2022-09-05 00:00:00,WHALE/USDT,1.1686,1.193,1.1558,1.1694,191253.7045,224686.55256603
1662249600,2022-09-04 00:00:00,WHALE/USDT,1.1637,1.1811,1.1449,1.1685,190058.4382,221894.49003209
1662163200,2022-09-03 00:00:00,WHALE/USDT,1.1785,1.1986,1.1477,1.1641,185729.6083,217730.41528917
1662076800,2022-09-02 00:00:00,WHALE/USDT,1.1858,1.2151,1.1199,1.1783,195888.4318,233620.07011581
1661990400,2022-09-01 00:00:00,WHALE/USDT,1.2122,1.2139,1.1707,1.1856,184236.6083,218714.09753905
1661904000,2022-08-31 00:00:00,WHALE/USDT,1.2101,1.2441,1.1974,1.2129,184452.8949,224203.48231433
1661817600,2022-08-30 00:00:00,WHALE/USDT,1.2135,1.3059,1.1439,1.2106,189972.2679,232252.98231347
1661731200,2022-08-29 00:00:00,WHALE/USDT,1.1897,1.2149,1.1529,1.2138,186741.5488,221079.51228022
1661644800,2022-08-28 00:00:00,WHALE/USDT,1.1996,1.2226,1.182,1.1897,187828.079,226161.46299283
1661558400,2022-08-27 00:00:00,WHALE/USDT,1.2404,1.242,1.1729,1.1992,172802.075,211626.78056609
1661472000,2022-08-26 00:00:00,WHALE/USDT,1.3935,1.4057,1.2404,1.2404,180073.9235,241481.47806323
1661385600,2022-08-25 00:00:00,WHALE/USDT,1.3684,1.4297,1.3677,1.3933,150746.8011,210011.97200519
1661299200,2022-08-24 00:00:00,WHALE/USDT,1.3841,1.39,1.3493,1.3693,84674.7655,116267.16369504
1661212800,2022-08-23 00:00:00,WHALE/USDT,1.364,1.4083,1.3271,1.3847,220625.6109,302434.30963746
1661126400,2022-08-22 00:00:00,WHALE/USDT,1.4027,1.438,1.346,1.3639,227656.6552,311246.68719101
1661040000,2022-08-21 00:00:00,WHALE/USDT,1.4309,1.4551,1.3777,1.4036,152407.817,216217.25880059
1660953600,2022-08-20 00:00:00,WHALE/USDT,1.4793,1.5023,1.4,1.4307,162247.9281,237349.13284304
1660867200,2022-08-19 00:00:00,WHALE/USDT,1.6655,1.6934,1.4727,1.4791,178887.9836,284757.18947984
1660780800,2022-08-18 00:00:00,WHALE/USDT,1.6127,1.7137,1.5078,1.6658,45023.6066,74744.17919686
1660694400,2022-08-17 00:00:00,WHALE/USDT,1.6853,1.8086,1.584,1.6121,51901.4836,86617.6767582
1660608000,2022-08-16 00:00:00,WHALE/USDT,1.7851,1.7995,1.6792,1.6848,95866.7955,165640.48292509
1660521600,2022-08-15 00:00:00,WHALE/USDT,1.8753,1.928,1.7444,1.786,108852.634,195837.98913835
1660435200,2022-08-14 00:00:00,WHALE/USDT,1.9673,2.12,1.8298,1.8744,54358.8628,105010.44494248
1660348800,2022-08-13 00:00:00,WHALE/USDT,1.8989,2.2,1.8397,1.9694,92722.8426,181490.09990812
1660262400,2022-08-12 00:00:00,WHALE/USDT,1.7623,3.15,1.72,1.8983,158642.7897,296920.80886898
1660176000,2022-08-11 00:00:00,WHALE/USDT,1.7457,1.85,1.7456,1.7621,122062.7543,218413.38920485
