https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XDB,Volume USDT
1663462800,2022-09-18 01:00:00,XDB/USDT,0.0045578,0.0046,0.00453348,0.0046,486547.4054,2228.184014274117
1663459200,2022-09-18 00:00:00,XDB/USDT,0.0044863,0.0046,0.0043765,0.00458,5476959.1563,24665.950880157436
1663455600,2022-09-17 23:00:00,XDB/USDT,0.004465,0.00457202,0.00438191,0.00448629,3363313.9965,14978.723851879422
1663452000,2022-09-17 22:00:00,XDB/USDT,0.00443021,0.0046,0.0043442,0.004465,7204506.4157,32466.19800905854
1663448400,2022-09-17 21:00:00,XDB/USDT,0.00439908,0.0046,0.0043,0.00442727,17079616.1639,75981.395641591925
1663444800,2022-09-17 20:00:00,XDB/USDT,0.004345,0.0044,0.00431,0.00439908,3619492.1882,15793.636527900983
1663441200,2022-09-17 19:00:00,XDB/USDT,0.00444471,0.0045,0.00424175,0.004345,5884744.0505,25886.060425770526
1663437600,2022-09-17 18:00:00,XDB/USDT,0.0044733,0.0045,0.00423219,0.00444472,9120847.5215,39657.724027927054
1663434000,2022-09-17 17:00:00,XDB/USDT,0.00414614,0.0045,0.00411676,0.0044733,13311003.0749,58356.197976194668
1663430400,2022-09-17 16:00:00,XDB/USDT,0.004069,0.00426165,0.00394078,0.0041224,9356407.5636,38186.254825138022
1663426800,2022-09-17 15:00:00,XDB/USDT,0.004,0.00432998,0.00398,0.00406922,5549896.1854,22452.638187926787
1663423200,2022-09-17 14:00:00,XDB/USDT,0.00407745,0.00443,0.00394145,0.004,11048927.7232,46287.06563890997
1663419600,2022-09-17 13:00:00,XDB/USDT,0.00389664,0.00451298,0.00385029,0.00405528,11897498.7787,49972.266348558317
1663416000,2022-09-17 12:00:00,XDB/USDT,0.00383242,0.00390696,0.00380779,0.00389664,1244980.0481,4816.117338278056
1663412400,2022-09-17 11:00:00,XDB/USDT,0.00387935,0.00390528,0.00380776,0.0038325,2216498.6136,8545.013057010378
1663408800,2022-09-17 10:00:00,XDB/USDT,0.00384972,0.00391395,0.00377609,0.00389468,1548900.3467,5968.761718578527
1663405200,2022-09-17 09:00:00,XDB/USDT,0.00385003,0.00385486,0.00375414,0.00384972,5444385.2634,20810.705322793247
