https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNCBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,KNCBULL/USDT,0.0004539,0.0004539,0.000438,0.0004516,0.0,0.0
1663542000000.0,2022-09-18 23:00:00,KNCBULL/USDT,0.0004239,0.0004563,0.0004199,0.0004539,6924.873320114563,3.1432
1663538400000.0,2022-09-18 22:00:00,KNCBULL/USDT,0.0004073,0.0004293,0.0004028,0.0004239,51154.04576551073,21.6842
1663534800000.0,2022-09-18 21:00:00,KNCBULL/USDT,0.0004352,0.0004369,0.0003541,0.0004073,77750.55241836484,31.6678
1663531200000.0,2022-09-18 20:00:00,KNCBULL/USDT,0.0004369,0.0004369,0.0004163,0.0004352,0.0,0.0
1663527600000.0,2022-09-18 19:00:00,KNCBULL/USDT,0.0004369,0.0004405,0.0004272,0.0004369,0.0,0.0
1663524000000.0,2022-09-18 18:00:00,KNCBULL/USDT,0.0004377,0.0004416,0.0004142,0.0004369,4288506.523231861,1873.6485
1663520400000.0,2022-09-18 17:00:00,KNCBULL/USDT,0.0003916,0.0004576,0.0002711,0.0004377,643071.9442540553,281.47259
1663516800000.0,2022-09-18 16:00:00,KNCBULL/USDT,0.001485,0.0014915,0.0003853,0.0003895,10319494.85237484,4019.443245
1663513200000.0,2022-09-18 15:00:00,KNCBULL/USDT,0.0014915,0.0014915,0.00148,0.001485,0.0,0.0
1663509600000.0,2022-09-18 14:00:00,KNCBULL/USDT,0.0014915,0.0014915,0.0014735,0.0014915,0.0,0.0
1663506000000.0,2022-09-18 13:00:00,KNCBULL/USDT,0.0014915,0.001499,0.0014915,0.0014915,0.0,0.0
1663502400000.0,2022-09-18 12:00:00,KNCBULL/USDT,0.0014915,0.0014915,0.0014915,0.0014915,0.0,0.0
1663498800000.0,2022-09-18 11:00:00,KNCBULL/USDT,0.0014915,0.001493,0.0014915,0.0014915,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,KNCBULL/USDT,0.0015035,0.001513,0.0014915,0.0014915,0.0,0.0
1663491600000.0,2022-09-18 09:00:00,KNCBULL/USDT,0.0015305,0.001546,0.0014915,0.0015035,1091.2204855337545,1.64065
1663488000000.0,2022-09-18 08:00:00,KNCBULL/USDT,0.001527,0.001541,0.0015175,0.0015305,0.0,0.0
1663484400000.0,2022-09-18 07:00:00,KNCBULL/USDT,0.0015505,0.001577,0.001527,0.001527,0.0,0.0
1663480800000.0,2022-09-18 06:00:00,KNCBULL/USDT,0.001574,0.001583,0.001535,0.0015505,0.0,0.0
1663477200000.0,2022-09-18 05:00:00,KNCBULL/USDT,0.001585,0.0015995,0.0015715,0.001574,0.0,0.0
1663473600000.0,2022-09-18 04:00:00,KNCBULL/USDT,0.001589,0.001612,0.001585,0.001585,0.0,0.0
1663470000000.0,2022-09-18 03:00:00,KNCBULL/USDT,0.0016165,0.0016255,0.0015855,0.001589,0.0,0.0
1663466400000.0,2022-09-18 02:00:00,KNCBULL/USDT,0.0016255,0.0016255,0.0016135,0.0016165,0.0,0.0
1663462800000.0,2022-09-18 01:00:00,KNCBULL/USDT,0.0016255,0.0016255,0.0016045,0.0016255,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,KNCBULL/USDT,0.0015675,0.0016255,0.0015665,0.0016255,63198.49277145494,102.72915
1663455600000.0,2022-09-17 23:00:00,KNCBULL/USDT,0.001573,0.0015735,0.0015555,0.0015675,0.0,0.0
1663452000000.0,2022-09-17 22:00:00,KNCBULL/USDT,0.001536,0.001574,0.001527,0.001573,0.0,0.0
1663448400000.0,2022-09-17 21:00:00,KNCBULL/USDT,0.001565,0.001573,0.001528,0.001536,0.0,0.0
1663444800000.0,2022-09-17 20:00:00,KNCBULL/USDT,0.0015925,0.001617,0.0015575,0.001565,0.0,0.0
1663441200000.0,2022-09-17 19:00:00,KNCBULL/USDT,0.001611,0.001633,0.001592,0.0015925,0.0,0.0
1663437600000.0,2022-09-17 18:00:00,KNCBULL/USDT,0.00166,0.00166,0.0016105,0.001611,0.0,0.0
1663434000000.0,2022-09-17 17:00:00,KNCBULL/USDT,0.00166,0.00166,0.0016505,0.00166,0.0,0.0
1663430400000.0,2022-09-17 16:00:00,KNCBULL/USDT,0.00166,0.00166,0.00166,0.00166,0.0,0.0
1663426800000.0,2022-09-17 15:00:00,KNCBULL/USDT,0.00166,0.00166,0.00166,0.00166,0.0,0.0
1663423200000.0,2022-09-17 14:00:00,KNCBULL/USDT,0.0016705,0.001684,0.0016535,0.00166,50901.80722891566,84.497
1663419600000.0,2022-09-17 13:00:00,KNCBULL/USDT,0.001672,0.001688,0.0016535,0.0016705,0.0,0.0
1663416000000.0,2022-09-17 12:00:00,KNCBULL/USDT,0.0016495,0.001705,0.00163,0.001672,107462.73923444975,179.6777
1663412400000.0,2022-09-17 11:00:00,KNCBULL/USDT,0.001649,0.001653,0.001613,0.0016495,0.0,0.0
1663408800000.0,2022-09-17 10:00:00,KNCBULL/USDT,0.001639,0.0016585,0.001596,0.001649,0.0,0.0
1663405200000.0,2022-09-17 09:00:00,KNCBULL/USDT,0.001663,0.0016755,0.001616,0.001639,0.0,0.0
1663401600000.0,2022-09-17 08:00:00,KNCBULL/USDT,0.0016735,0.001747,0.0016545,0.001663,0.0,0.0
1663398000000.0,2022-09-17 07:00:00,KNCBULL/USDT,0.0016335,0.0016735,0.001601,0.0016735,0.0,0.0
1663394400000.0,2022-09-17 06:00:00,KNCBULL/USDT,0.001594,0.0016635,0.001594,0.0016335,0.0,0.0
1663390800000.0,2022-09-17 05:00:00,KNCBULL/USDT,0.001574,0.001601,0.001574,0.001594,0.0,0.0
1663387200000.0,2022-09-17 04:00:00,KNCBULL/USDT,0.001541,0.001574,0.001541,0.001574,0.0,0.0
1663383600000.0,2022-09-17 03:00:00,KNCBULL/USDT,0.0015425,0.0015425,0.0015395,0.001541,0.0,0.0
1663380000000.0,2022-09-17 02:00:00,KNCBULL/USDT,0.001574,0.001574,0.0015425,0.0015425,306.1264181523501,0.4722
1663376400000.0,2022-09-17 01:00:00,KNCBULL/USDT,0.0015445,0.0015745,0.0015445,0.001574,0.0,0.0
1663372800000.0,2022-09-17 00:00:00,KNCBULL/USDT,0.001537,0.0015915,0.001519,0.0015445,0.0,0.0
1663369200000.0,2022-09-16 23:00:00,KNCBULL/USDT,0.0015085,0.0015505,0.001503,0.001537,0.0,0.0
1663365600000.0,2022-09-16 22:00:00,KNCBULL/USDT,0.0015645,0.001567,0.0015075,0.0015085,0.0,0.0
1663362000000.0,2022-09-16 21:00:00,KNCBULL/USDT,0.0015655,0.0015775,0.001548,0.0015645,0.0,0.0
1663358400000.0,2022-09-16 20:00:00,KNCBULL/USDT,0.0015735,0.001595,0.0015635,0.0015655,0.0,0.0
1663354800000.0,2022-09-16 19:00:00,KNCBULL/USDT,0.0015785,0.0016035,0.001573,0.0015735,0.0,0.0
1663351200000.0,2022-09-16 18:00:00,KNCBULL/USDT,0.001597,0.001618,0.0015695,0.0015785,0.0,0.0
1663347600000.0,2022-09-16 17:00:00,KNCBULL/USDT,0.0016575,0.0016575,0.0015815,0.001597,0.0,0.0
1663344000000.0,2022-09-16 16:00:00,KNCBULL/USDT,0.0016675,0.0016755,0.0016015,0.0016575,0.0,0.0
1663340400000.0,2022-09-16 15:00:00,KNCBULL/USDT,0.0017085,0.0017245,0.0016675,0.0016675,0.0,0.0
1663336800000.0,2022-09-16 14:00:00,KNCBULL/USDT,0.001588,0.001732,0.001588,0.0017085,0.0,0.0
1663333200000.0,2022-09-16 13:00:00,KNCBULL/USDT,0.001623,0.001639,0.001581,0.001588,0.0,0.0
1663329600000.0,2022-09-16 12:00:00,KNCBULL/USDT,0.0016565,0.0016635,0.0016105,0.001623,0.0,0.0
1663326000000.0,2022-09-16 11:00:00,KNCBULL/USDT,0.0016595,0.001677,0.0016405,0.0016565,0.0,0.0
1663322400000.0,2022-09-16 10:00:00,KNCBULL/USDT,0.0016735,0.001693,0.0016525,0.0016595,0.0,0.0
