https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1663545600000.0,2022-09-19 00:00:00,LTC/USDT,52.63,52.91,52.615,52.85,340.22525543992435,17980.90475
1663459200000.0,2022-09-18 00:00:00,LTC/USDT,57.83,57.85,52.26,52.63,28381.339990499713,1493709.9237
1663372800000.0,2022-09-17 00:00:00,LTC/USDT,55.945,58.42,55.825,57.83,29418.445273214595,1701268.69015
1663286400000.0,2022-09-16 00:00:00,LTC/USDT,56.345,56.915,54.605,55.945,29957.556153364912,1675975.479
1663200000000.0,2022-09-15 00:00:00,LTC/USDT,60.205,60.835,55.855,56.345,48244.96219096637,2718362.39465
1663113600000.0,2022-09-14 00:00:00,LTC/USDT,59.07,61.15,58.21,60.205,30499.71565152396,1836235.3808
1663027200000.0,2022-09-13 00:00:00,LTC/USDT,61.4,67.425,58.325,59.07,106584.44509057052,6295943.1715
1662940800000.0,2022-09-12 00:00:00,LTC/USDT,62.16,63.225,60.1,61.4,25774.238820032573,1582538.26355
1662854400000.0,2022-09-11 00:00:00,LTC/USDT,63.29,64.44,61.28,62.16,16435.32296573359,1021619.67555
1662768000000.0,2022-09-10 00:00:00,LTC/USDT,61.145,64.685,60.57,63.29,21842.317355822404,1382400.26545
1662681600000.0,2022-09-09 00:00:00,LTC/USDT,57.95,61.9,57.725,61.145,35467.93441082672,2168686.84955
1662595200000.0,2022-09-08 00:00:00,LTC/USDT,57.295,58.58,56.06,57.95,40525.44748576359,2348449.6818
1662508800000.0,2022-09-07 00:00:00,LTC/USDT,54.11,58.28,52.935,57.295,45113.906732699186,2584801.28625
1662422400000.0,2022-09-06 00:00:00,LTC/USDT,60.385,62.765,54.01,54.11,48517.18725651451,2625265.00245
1662336000000.0,2022-09-05 00:00:00,LTC/USDT,60.92,61.62,59.27,60.385,26084.258177527532,1575097.93005
1662249600000.0,2022-09-04 00:00:00,LTC/USDT,60.135,61.01,58.615,60.92,27203.90069435325,1657261.6303
1662163200000.0,2022-09-03 00:00:00,LTC/USDT,61.01,62.23,59.525,60.135,35960.97248773593,2162513.08055
1662076800000.0,2022-09-02 00:00:00,LTC/USDT,57.59,62.445,56.51,61.01,42559.36329454188,2596546.7546
1661990400000.0,2022-09-01 00:00:00,LTC/USDT,53.81,57.79,53.21,57.59,40984.93778781038,2360322.5672
1661904000000.0,2022-08-31 00:00:00,LTC/USDT,52.995,55.305,52.995,53.81,24409.00276528526,1313448.4388
1661817600000.0,2022-08-30 00:00:00,LTC/USDT,55.79,56.28,51.83,52.995,22457.232662515333,1190121.04495
1661731200000.0,2022-08-29 00:00:00,LTC/USDT,53.385,56.705,52.535,55.79,27921.068196809465,1557716.3947
1661644800000.0,2022-08-28 00:00:00,LTC/USDT,52.99,55.86,52.48,53.385,32938.26354032032,1758409.1991
1661558400000.0,2022-08-27 00:00:00,LTC/USDT,52.7,53.49,51.69,52.99,17225.88433572372,912799.61095
1661472000000.0,2022-08-26 00:00:00,LTC/USDT,56.635,58.315,52.1,52.7,35826.64412808349,1888064.14555
1661385600000.0,2022-08-25 00:00:00,LTC/USDT,56.455,57.54,55.825,56.635,16430.60781230688,930547.47345
1661299200000.0,2022-08-24 00:00:00,LTC/USDT,57.085,57.63,55.55,56.455,24522.827641484368,1384436.2345
1661212800000.0,2022-08-23 00:00:00,LTC/USDT,57.23,57.74,53.945,57.085,21381.353984409216,1220554.5922
1661126400000.0,2022-08-22 00:00:00,LTC/USDT,55.7,57.44,52.32,57.23,34188.29762537131,1956596.2731
1661040000000.0,2022-08-21 00:00:00,LTC/USDT,54.1,55.985,53.825,55.7,21744.34445601436,1211159.9862
1660953600000.0,2022-08-20 00:00:00,LTC/USDT,54.005,55.605,52.66,54.1,29350.228131238448,1587847.3419
1660867200000.0,2022-08-19 00:00:00,LTC/USDT,60.01,60.145,53.21,54.005,83816.26316359596,4526497.29215
1660780800000.0,2022-08-18 00:00:00,LTC/USDT,60.525,61.7,59.275,60.01,32499.087576237296,1950270.24545
1660694400000.0,2022-08-17 00:00:00,LTC/USDT,61.31,64.705,59.685,60.525,30354.40189591078,1837200.17475
1660608000000.0,2022-08-16 00:00:00,LTC/USDT,60.68,61.785,59.985,61.31,22276.554307617025,1365775.5446
1660521600000.0,2022-08-15 00:00:00,LTC/USDT,63.14,65.31,59.635,60.68,27387.101488134474,1661849.3183
1660435200000.0,2022-08-14 00:00:00,LTC/USDT,63.8,65.8,62.425,63.14,23271.030061767502,1469332.8381
1660348800000.0,2022-08-13 00:00:00,LTC/USDT,62.895,65.68,62.66,63.8,27556.231631661445,1758087.5781
