https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RUNE,Volume USDT
1655078400000.0,2022-06-13 00:00:00,RUNE/USDT,2.231,2.3055,2.1555,2.1605,22989.50770654941,49668.8314
1655074800000.0,2022-06-12 23:00:00,RUNE/USDT,2.297,2.308,2.2245,2.231,14662.208561183326,32711.3873
1655071200000.0,2022-06-12 22:00:00,RUNE/USDT,2.362,2.362,2.287,2.297,2011.751806704397,4620.9939
1655067600000.0,2022-06-12 21:00:00,RUNE/USDT,2.3635,2.3725,2.3545,2.362,3239.501968670618,7651.70365
1655064000000.0,2022-06-12 20:00:00,RUNE/USDT,2.381,2.3895,2.3615,2.3635,1213.580621958959,2868.2978
1655060400000.0,2022-06-12 19:00:00,RUNE/USDT,2.4115,2.416,2.377,2.381,689.8219025619488,1642.46595
1655056800000.0,2022-06-12 18:00:00,RUNE/USDT,2.425,2.4265,2.4085,2.4115,931.1340244661,2245.4297
1655053200000.0,2022-06-12 17:00:00,RUNE/USDT,2.411,2.4415,2.401,2.425,3632.1312989690728,8807.9184
1655049600000.0,2022-06-12 16:00:00,RUNE/USDT,2.439,2.455,2.401,2.411,9469.006760680217,22829.7753
1655046000000.0,2022-06-12 15:00:00,RUNE/USDT,2.405,2.466,2.401,2.439,16715.02566625666,40767.9476
1655042400000.0,2022-06-12 14:00:00,RUNE/USDT,2.3175,2.428,2.2885,2.405,40060.19877338877,96344.77805
1655038800000.0,2022-06-12 13:00:00,RUNE/USDT,2.3495,2.3565,2.3055,2.3175,20781.32696871629,48160.72525
1655035200000.0,2022-06-12 12:00:00,RUNE/USDT,2.349,2.3725,2.3465,2.3495,16379.963268780593,38484.7237
1655031600000.0,2022-06-12 11:00:00,RUNE/USDT,2.3305,2.3575,2.318,2.349,5457.229054916986,12819.03105
1655028000000.0,2022-06-12 10:00:00,RUNE/USDT,2.329,2.362,2.3205,2.3305,3695.0074876635917,8611.21495
1655024400000.0,2022-06-12 09:00:00,RUNE/USDT,2.3635,2.3755,2.327,2.329,3129.256655216831,7288.03875
1655020800000.0,2022-06-12 08:00:00,RUNE/USDT,2.3735,2.3915,2.3525,2.3635,2435.7222974402366,5756.82965
1655017200000.0,2022-06-12 07:00:00,RUNE/USDT,2.349,2.376,2.3225,2.3735,3365.899726142827,7988.963
1655013600000.0,2022-06-12 06:00:00,RUNE/USDT,2.3355,2.369,2.331,2.349,5746.767198808003,13499.15615
1655010000000.0,2022-06-12 05:00:00,RUNE/USDT,2.3305,2.354,2.273,2.3355,11787.96227788482,27530.7859
1655006400000.0,2022-06-12 04:00:00,RUNE/USDT,2.376,2.3925,2.3305,2.3305,7964.540656511479,18561.362
1655002800000.0,2022-06-12 03:00:00,RUNE/USDT,2.363,2.405,2.3525,2.376,22794.484406565658,54159.69495
1654999200000.0,2022-06-12 02:00:00,RUNE/USDT,2.432,2.4695,2.34,2.363,22194.28068133728,52445.08525
1654995600000.0,2022-06-12 01:00:00,RUNE/USDT,2.493,2.496,2.427,2.432,7064.946998355263,17181.9511
1654992000000.0,2022-06-12 00:00:00,RUNE/USDT,2.465,2.4995,2.456,2.493,3574.6850180505417,8911.68975
1654988400000.0,2022-06-11 23:00:00,RUNE/USDT,2.5125,2.5135,2.45,2.465,1449.502028397566,3573.0225
1654984800000.0,2022-06-11 22:00:00,RUNE/USDT,2.493,2.5135,2.493,2.5125,1169.505671641791,2938.383
1654981200000.0,2022-06-11 21:00:00,RUNE/USDT,2.473,2.501,2.4705,2.493,1258.958684316085,3138.584
1654977600000.0,2022-06-11 20:00:00,RUNE/USDT,2.4865,2.492,2.4635,2.473,9470.591649818036,23420.77315
1654974000000.0,2022-06-11 19:00:00,RUNE/USDT,2.495,2.5135,2.4865,2.4865,2500.657289362558,6217.88435
1654970400000.0,2022-06-11 18:00:00,RUNE/USDT,2.4635,2.511,2.4555,2.495,2575.7679559118233,6426.54105
1654966800000.0,2022-06-11 17:00:00,RUNE/USDT,2.4815,2.489,2.456,2.4635,2642.4940125837225,6509.784
1654963200000.0,2022-06-11 16:00:00,RUNE/USDT,2.457,2.4895,2.435,2.4815,7872.5719725972185,19535.78735
1654959600000.0,2022-06-11 15:00:00,RUNE/USDT,2.483,2.5015,2.435,2.457,7253.83317053317,17822.6681
1654956000000.0,2022-06-11 14:00:00,RUNE/USDT,2.5705,2.5715,2.4815,2.484,2135.412882447665,5304.3656
1654952400000.0,2022-06-11 13:00:00,RUNE/USDT,2.5285,2.5875,2.517,2.5705,6749.561233223108,17349.74715
1654948800000.0,2022-06-11 12:00:00,RUNE/USDT,2.5705,2.5935,2.5265,2.5285,4240.138560411311,10721.19035
1654945200000.0,2022-06-11 11:00:00,RUNE/USDT,2.624,2.624,2.5595,2.5705,6005.120638008169,15436.1626
1654941600000.0,2022-06-11 10:00:00,RUNE/USDT,2.6435,2.6505,2.6135,2.624,2541.8279535060974,6669.75655
1654938000000.0,2022-06-11 09:00:00,RUNE/USDT,2.6335,2.663,2.605,2.6435,4204.564006052582,11114.76495
1654934400000.0,2022-06-11 08:00:00,RUNE/USDT,2.702,2.7025,2.6335,2.6335,2621.3761154357317,6903.394
1654930800000.0,2022-06-11 07:00:00,RUNE/USDT,2.681,2.7045,2.6805,2.702,4713.936139896373,12737.05545
1654927200000.0,2022-06-11 06:00:00,RUNE/USDT,2.667,2.682,2.6635,2.681,1185.7815180902649,3179.08025
1654923600000.0,2022-06-11 05:00:00,RUNE/USDT,2.6935,2.7015,2.663,2.667,2546.6640607424074,6791.95305
1654920000000.0,2022-06-11 04:00:00,RUNE/USDT,2.6795,2.7,2.679,2.6935,2138.599795804715,5760.31855
1654916400000.0,2022-06-11 03:00:00,RUNE/USDT,2.674,2.682,2.6665,2.6795,434.4559432729987,1164.1247
1654912800000.0,2022-06-11 02:00:00,RUNE/USDT,2.6755,2.6765,2.6565,2.674,2731.7185489902768,7304.6154
1654909200000.0,2022-06-11 01:00:00,RUNE/USDT,2.668,2.6755,2.6555,2.6755,782.1647729396375,2092.68185
1654905600000.0,2022-06-11 00:00:00,RUNE/USDT,2.6275,2.6695,2.623,2.668,6057.381221889055,16161.0931
1654902000000.0,2022-06-10 23:00:00,RUNE/USDT,2.668,2.6725,2.6085,2.6275,6441.371836346337,16924.7045
1654898400000.0,2022-06-10 22:00:00,RUNE/USDT,2.661,2.675,2.658,2.668,3240.319415292354,8645.1722
1654894800000.0,2022-06-10 21:00:00,RUNE/USDT,2.6655,2.6815,2.6515,2.661,2367.388406614055,6299.62055
1654891200000.0,2022-06-10 20:00:00,RUNE/USDT,2.627,2.673,2.6245,2.6655,5325.915100356406,14196.2267
1654887600000.0,2022-06-10 19:00:00,RUNE/USDT,2.6325,2.6525,2.624,2.6265,1243.457509994289,3265.94115
1654884000000.0,2022-06-10 18:00:00,RUNE/USDT,2.648,2.6545,2.629,2.6325,1166.4473314339982,3070.6726
1654880400000.0,2022-06-10 17:00:00,RUNE/USDT,2.637,2.656,2.629,2.648,8929.011914652569,23644.02355
1654876800000.0,2022-06-10 16:00:00,RUNE/USDT,2.7215,2.723,2.5905,2.637,13496.402256351916,35590.01275
1654873200000.0,2022-06-10 15:00:00,RUNE/USDT,2.7395,2.7465,2.7055,2.7215,508.5541980525446,1384.03025
1654869600000.0,2022-06-10 14:00:00,RUNE/USDT,2.71,2.7505,2.703,2.7395,12737.474009855812,34894.31005
1654866000000.0,2022-06-10 13:00:00,RUNE/USDT,2.735,2.7505,2.6725,2.71,6766.858136531365,18338.18555
1654862400000.0,2022-06-10 12:00:00,RUNE/USDT,2.8065,2.8295,2.7,2.735,5997.874533820841,16404.18685
1654858800000.0,2022-06-10 11:00:00,RUNE/USDT,2.8005,2.8195,2.7975,2.8065,3310.827275966506,9291.83675
1654855200000.0,2022-06-10 10:00:00,RUNE/USDT,2.788,2.8045,2.785,2.8005,746.7867880735583,2091.3764
1654851600000.0,2022-06-10 09:00:00,RUNE/USDT,2.8125,2.8145,2.779,2.788,6741.774623385941,18796.06765
1654848000000.0,2022-06-10 08:00:00,RUNE/USDT,2.829,2.839,2.811,2.8125,395.5543288888889,1112.49655
1654844400000.0,2022-06-10 07:00:00,RUNE/USDT,2.8245,2.84,2.818,2.829,283.34305408271473,801.5775
1654840800000.0,2022-06-10 06:00:00,RUNE/USDT,2.839,2.8435,2.822,2.8245,1416.5280226588777,4000.9834
1654837200000.0,2022-06-10 05:00:00,RUNE/USDT,2.836,2.852,2.8295,2.839,383.6933603381473,1089.30545
1654833600000.0,2022-06-10 04:00:00,RUNE/USDT,2.8365,2.8405,2.817,2.836,1615.9049894217208,4582.70655
1654830000000.0,2022-06-10 03:00:00,RUNE/USDT,2.8025,2.8505,2.801,2.8365,1298.1135554380398,3682.0991
1654826400000.0,2022-06-10 02:00:00,RUNE/USDT,2.7905,2.81,2.7865,2.8025,1825.4596253345226,5115.8506
1654822800000.0,2022-06-10 01:00:00,RUNE/USDT,2.7855,2.7965,2.7755,2.7905,1863.43820103924,5199.9243
1654819200000.0,2022-06-10 00:00:00,RUNE/USDT,2.8145,2.8275,2.741,2.7855,7166.93225632741,19963.4898
1654815600000.0,2022-06-09 23:00:00,RUNE/USDT,2.8155,2.829,2.77,2.8145,5972.053704032689,16808.34515
1654812000000.0,2022-06-09 22:00:00,RUNE/USDT,2.84,2.868,2.8105,2.8155,160293.58543775528,451306.5898
1654808400000.0,2022-06-09 21:00:00,RUNE/USDT,2.8725,2.8805,2.84,2.84,93048.31147887325,264257.2046
1654804800000.0,2022-06-09 20:00:00,RUNE/USDT,2.832,2.8745,2.8235,2.8725,6693.085657093125,19225.88855
