https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR,tradecount
1663545600000,2022-09-19 00:00:00,BTC/EUR,19391.16000000,19424.31000000,19362.01000000,19382.58000000,16.91350000,327981.95516790,1198
1663459200000,2022-09-18 00:00:00,BTC/EUR,20108.33000000,20112.14000000,19343.00000000,19391.19000000,1756.15722000,34670182.58498160,80498
1663372800000,2022-09-17 00:00:00,BTC/EUR,19798.53000000,20186.96000000,19743.90000000,20105.01000000,1340.05211000,26757223.51607290,68641
1663286400000,2022-09-16 00:00:00,BTC/EUR,19753.54000000,19967.66000000,19339.23000000,19797.25000000,2432.09408000,47966366.24248150,125536
1663200000000,2022-09-15 00:00:00,BTC/EUR,20271.58000000,20416.69000000,19518.50000000,19746.94000000,3124.04961000,62555817.61155650,134691
1663113600000,2022-09-14 00:00:00,BTC/EUR,20235.94000000,20572.88000000,19668.23000000,20269.78000000,2923.31686000,59054123.88692580,121643
1663027200000,2022-09-13 00:00:00,BTC/EUR,22114.25000000,22423.19000000,19956.94000000,20239.66000000,4853.84493000,103669855.99325450,152233
1662940800000,2022-09-12 00:00:00,BTC/EUR,21652.96000000,22235.14000000,21367.14000000,22116.76000000,3435.46791000,75137319.97288820,102661
1662854400000,2022-09-11 00:00:00,BTC/EUR,21519.80000000,21756.19000000,21220.76000000,21657.93000000,1938.10371000,41647693.81443540,62786
1662768000000,2022-09-10 00:00:00,BTC/EUR,21232.77000000,21683.55000000,20963.36000000,21522.33000000,2184.79565000,46512473.99813360,71920
1662681600000,2022-09-09 00:00:00,BTC/EUR,19313.67000000,21430.00000000,19241.86000000,21231.40000000,3980.32103000,82460554.93125620,112039
1662595200000,2022-09-08 00:00:00,BTC/EUR,19319.74000000,19477.97000000,19092.61000000,19310.01000000,2155.30968000,41542907.86970450,82776
1662508800000,2022-09-07 00:00:00,BTC/EUR,19005.19000000,19492.61000000,18767.00000000,19319.78000000,2587.46118000,49324775.81645260,90914
1662422400000,2022-09-06 00:00:00,BTC/EUR,19912.33000000,20240.00000000,18870.00000000,19006.17000000,3518.07734000,69088409.67140890,112975
1662336000000,2022-09-05 00:00:00,BTC/EUR,20165.20000000,20213.21000000,19794.41000000,19910.00000000,1688.13707000,33666412.81099700,58445
1662249600000,2022-09-04 00:00:00,BTC/EUR,19936.16000000,20189.99000000,19702.07000000,20166.20000000,1167.33016000,23270091.63083070,43547
1662163200000,2022-09-03 00:00:00,BTC/EUR,20064.95000000,20170.00000000,19771.71000000,19938.86000000,864.40522000,17222340.84319340,33925
1662076800000,2022-09-02 00:00:00,BTC/EUR,20215.00000000,20428.41000000,19855.69000000,20072.48000000,2268.39539000,45740213.92856360,85017
1661990400000,2022-09-01 00:00:00,BTC/EUR,19987.89000000,20289.77000000,19697.00000000,20217.60000000,1996.51253000,39870484.23472430,67033
1661904000000,2022-08-31 00:00:00,BTC/EUR,19784.33000000,20450.00000000,19770.00000000,19989.56000000,2444.01828000,49273748.20851160,77463
1661817600000,2022-08-30 00:00:00,BTC/EUR,20293.72000000,20597.38000000,19529.83000000,19780.00000000,2688.27834000,54038951.55654440,89340
1661731200000,2022-08-29 00:00:00,BTC/EUR,19714.21000000,20458.09000000,19705.13000000,20292.71000000,1874.75525000,37639974.48153800,76191
1661644800000,2022-08-28 00:00:00,BTC/EUR,20146.40000000,20264.63000000,19678.00000000,19713.93000000,915.52146000,18380567.92114830,44665
1661558400000,2022-08-27 00:00:00,BTC/EUR,20359.88000000,20521.27000000,19931.94000000,20153.25000000,1427.43865000,28842199.13884900,64460
