https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ITAMCUBE,Volume USDT
1663459200,2022-09-18 00:00:00,ITAMCUBE/USDT,0.1146,0.1148,0.1142,0.1142,197.1525,22.5853311
1663372800,2022-09-17 00:00:00,ITAMCUBE/USDT,0.1134,0.118,0.1125,0.1159,66939.0069,7682.36005958
1663286400,2022-09-16 00:00:00,ITAMCUBE/USDT,0.1133,0.1159,0.1073,0.114,80480.2151,9089.54438398
1663200000,2022-09-15 00:00:00,ITAMCUBE/USDT,0.1114,0.1208,0.1095,0.1141,81321.4481,9331.44430182
1663113600,2022-09-14 00:00:00,ITAMCUBE/USDT,0.1142,0.1177,0.1054,0.111,156431.0357,17520.90402252
1663027200,2022-09-13 00:00:00,ITAMCUBE/USDT,0.1195,0.125,0.1121,0.1144,148693.30371818,17706.779817834334
1662940800,2022-09-12 00:00:00,ITAMCUBE/USDT,0.1245,0.1245,0.1185,0.1195,35377.8107,4287.81502829
1662854400,2022-09-11 00:00:00,ITAMCUBE/USDT,0.1256,0.1265,0.1223,0.1242,35281.7987,4381.92371669
1662768000,2022-09-10 00:00:00,ITAMCUBE/USDT,0.1282,0.1292,0.1248,0.1253,57587.4369,7310.29163165
1662681600,2022-09-09 00:00:00,ITAMCUBE/USDT,0.1276,0.1311,0.1248,0.1279,93206.5577,11989.1706188
1662595200,2022-09-08 00:00:00,ITAMCUBE/USDT,0.1265,0.15,0.1251,0.1276,1081297.5279,144751.03490044
1662508800,2022-09-07 00:00:00,ITAMCUBE/USDT,0.1085,0.1305,0.0988,0.1264,674984.5675,76147.66703738
1662422400,2022-09-06 00:00:00,ITAMCUBE/USDT,0.1267,0.1289,0.1052,0.1085,280603.0313,32913.98362701
1662336000,2022-09-05 00:00:00,ITAMCUBE/USDT,0.1235,0.1375,0.1204,0.1274,379100.5256,48671.07594256
1662249600,2022-09-04 00:00:00,ITAMCUBE/USDT,0.1252,0.13,0.1206,0.1235,526864.4534,65788.12156174
1662163200,2022-09-03 00:00:00,ITAMCUBE/USDT,0.144,0.1514,0.1127,0.1251,3094758.5809,403833.92321393
1662076800,2022-09-02 00:00:00,ITAMCUBE/USDT,0.0825,0.25,0.0825,0.144,10817190.0594,1548879.35822089
1661990400,2022-09-01 00:00:00,ITAMCUBE/USDT,0.064,0.09,0.064,0.0825,2251262.6999,176132.80775815
1661904000,2022-08-31 00:00:00,ITAMCUBE/USDT,0.0578,0.0784,0.0578,0.064,851216.8194,56510.28804895
1661817600,2022-08-30 00:00:00,ITAMCUBE/USDT,0.058,0.0606,0.0565,0.0576,175152.0137,10206.80048115
1661731200,2022-08-29 00:00:00,ITAMCUBE/USDT,0.0575,0.0642,0.0551,0.0583,211467.1108,12358.94145914
1661644800,2022-08-28 00:00:00,ITAMCUBE/USDT,0.058,0.0608,0.0574,0.0578,49347.2209,2877.88949402
