https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MOVR,Volume USDT
1663462800,2022-09-18 01:00:00,MOVR/USDT,11.6594,11.7188,11.6512,11.7188,281.08914322,3289.254995941032
1663459200,2022-09-18 00:00:00,MOVR/USDT,11.8013,11.8013,11.6398,11.6502,800.61755154,9366.506856973624
1663455600,2022-09-17 23:00:00,MOVR/USDT,11.7556,12.0079,11.7556,11.8009,2398.23477044,28465.767743992559
1663452000,2022-09-17 22:00:00,MOVR/USDT,11.6688,11.7637,11.667,11.7532,644.87240597,7555.989264389033
1663448400,2022-09-17 21:00:00,MOVR/USDT,11.673,11.6999,11.6182,11.6702,283.60707347,3305.210735928228
1663444800,2022-09-17 20:00:00,MOVR/USDT,11.6409,11.6775,11.6278,11.6726,347.0017707,4045.13532316924
1663441200,2022-09-17 19:00:00,MOVR/USDT,11.6801,11.6811,11.6132,11.6471,971.12996338,11312.725310306281
1663437600,2022-09-17 18:00:00,MOVR/USDT,11.6976,11.747,11.6598,11.6829,940.55797671,10995.766282923928
1663434000,2022-09-17 17:00:00,MOVR/USDT,11.6862,11.7765,11.6829,11.696,702.05523847,8235.292518843102
1663430400,2022-09-17 16:00:00,MOVR/USDT,11.7087,11.7636,11.6707,11.6862,812.05533171,9506.699371987906
1663426800,2022-09-17 15:00:00,MOVR/USDT,11.6168,11.7235,11.6168,11.6938,1256.92264127,14688.957759036652
1663423200,2022-09-17 14:00:00,MOVR/USDT,11.51,11.6676,11.5075,11.6357,1594.77359343,18453.765976878827
1663419600,2022-09-17 13:00:00,MOVR/USDT,11.5451,11.6197,11.4832,11.5097,1713.67953479,19817.968438806705
1663416000,2022-09-17 12:00:00,MOVR/USDT,11.3485,11.6025,11.3261,11.5446,1959.69277289,22485.192842815298
1663412400,2022-09-17 11:00:00,MOVR/USDT,11.3658,11.376,11.3051,11.3618,2303.52189716,26146.716381474492
1663408800,2022-09-17 10:00:00,MOVR/USDT,11.3797,11.389,11.3373,11.3567,428.62387976,4865.426968137418
1663405200,2022-09-17 09:00:00,MOVR/USDT,11.4177,11.4545,11.3478,11.3708,638.84059785,7281.187208514025
1663401600,2022-09-17 08:00:00,MOVR/USDT,11.3535,11.418,11.3535,11.4035,382.6501908,4355.189721806153
1663398000,2022-09-17 07:00:00,MOVR/USDT,11.3219,11.38,11.3219,11.3553,489.64109183,5561.017487957088
1663394400,2022-09-17 06:00:00,MOVR/USDT,11.3336,11.3535,11.3069,11.3152,787.43551073,8919.84916645117
1663390800,2022-09-17 05:00:00,MOVR/USDT,11.3964,11.3964,11.3192,11.3192,245.29984003,2785.6263559102
