https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ERG,Volume USDT
1663459200,2022-09-18 00:00:00,ERG/USDT,4.1848,4.1868,4.0368,4.0448,11015.5764,45022.54999686
1663372800,2022-09-17 00:00:00,ERG/USDT,4.3926,4.4635,4.1278,4.1877,167267.4391,706839.48337544
1663286400,2022-09-16 00:00:00,ERG/USDT,4.5719,4.78,4.082,4.3929,320952.68005289,1415517.459068794488
1663200000,2022-09-15 00:00:00,ERG/USDT,5.23,5.25,4.548,4.5697,633212.61643865,3064307.71143301466
1663113600,2022-09-14 00:00:00,ERG/USDT,4.0199,5.244,4.0146,5.23,400564.6389,1861858.84008614
1663027200,2022-09-13 00:00:00,ERG/USDT,4.5301,4.5526,4.0086,4.019,233211.6159,987809.59452516
1662940800,2022-09-12 00:00:00,ERG/USDT,4.1988,4.54,4.158,4.5301,207840.0519,919980.69880261
1662854400,2022-09-11 00:00:00,ERG/USDT,4.5577,4.599,4.05,4.1988,326284.83157937,1406209.578028129386
1662768000,2022-09-10 00:00:00,ERG/USDT,4.8397,4.891,4.368,4.5578,273001.6182,1254801.86732276
1662681600,2022-09-09 00:00:00,ERG/USDT,4.8007,4.979,4.7133,4.8397,176753.47493536,857897.423331967856
1662595200,2022-09-08 00:00:00,ERG/USDT,4.8225,5,4.687,4.791,186029.5321,900362.37896794
1662508800,2022-09-07 00:00:00,ERG/USDT,4.7,5,4.31,4.8354,384794.089,1824952.86251195
1662422400,2022-09-06 00:00:00,ERG/USDT,5.0852,5.365,4.3,4.7,581971.83661275,2818114.926926699
1662336000,2022-09-05 00:00:00,ERG/USDT,4.501,5.1999,4.2402,5.0999,437170.99115617,2058745.451705844138
1662249600,2022-09-04 00:00:00,ERG/USDT,4.2204,4.8,4.1002,4.506,479190.3406,2140903.76943624
1662163200,2022-09-03 00:00:00,ERG/USDT,3.496,4.6605,3.483,4.2124,614358.04799106,2577076.75270956762
1662076800,2022-09-02 00:00:00,ERG/USDT,3.272,3.66,3.2,3.5018,236345.13601145,800286.081898608424
1661990400,2022-09-01 00:00:00,ERG/USDT,3.2055,3.3099,3.1538,3.272,113108.0794,364790.25383258
1661904000,2022-08-31 00:00:00,ERG/USDT,3.2399,3.3995,3.1701,3.2068,113800.82950978,372121.906853516087
1661817600,2022-08-30 00:00:00,ERG/USDT,3.2178,3.3888,3.12,3.233,145305.01843061,464411.113862016719
1661731200,2022-08-29 00:00:00,ERG/USDT,3.2173,3.3672,3.1207,3.2178,145334.64518801,468557.768270789649
1661644800,2022-08-28 00:00:00,ERG/USDT,3.03,3.3995,3,3.2166,142536.32341173,448514.887899150527
1661558400,2022-08-27 00:00:00,ERG/USDT,3.1208,3.2381,3,3.0304,155752.73939248,483811.130085449464
1661472000,2022-08-26 00:00:00,ERG/USDT,3.3737,3.46,3.12,3.1208,198564.37039537,651889.658601172809
