https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT
1663459200,2022-09-18 00:00:00,EOS/USDT,1.4712,1.4739,1.456,1.4605,59108.22451102,86442.497740992234
1663372800,2022-09-17 00:00:00,EOS/USDT,1.4237,1.4902,1.4176,1.4712,1250773.64287178,1812610.165577215326
1663286400,2022-09-16 00:00:00,EOS/USDT,1.3811,1.4544,1.3795,1.4231,2509900.38179426,3557494.938689802476
1663200000,2022-09-15 00:00:00,EOS/USDT,1.4742,1.483,1.3661,1.3808,2070322.91480419,2964180.103335553726
1663113600,2022-09-14 00:00:00,EOS/USDT,1.4704,1.5042,1.4145,1.4745,1961162.82778881,2874803.778640298262
1663027200,2022-09-13 00:00:00,EOS/USDT,1.6586,1.6959,1.4622,1.4702,3017365.93020192,4792430.946142899688
1662940800,2022-09-12 00:00:00,EOS/USDT,1.7131,1.7762,1.6275,1.6581,2643222.54611418,4471416.320392934033
1662854400,2022-09-11 00:00:00,EOS/USDT,1.7482,1.8355,1.6681,1.7132,2331984.58590714,4082126.078752037722
1662768000,2022-09-10 00:00:00,EOS/USDT,1.6624,1.867,1.6362,1.7481,3401949.58103991,5959562.244046549487
1662681600,2022-09-09 00:00:00,EOS/USDT,1.6025,1.7497,1.5687,1.6623,2712210.76593928,4507896.934996774544
1662595200,2022-09-08 00:00:00,EOS/USDT,1.6645,1.7336,1.5868,1.6024,2972718.26093725,4867621.921132519492
1662508800,2022-09-07 00:00:00,EOS/USDT,1.395,1.7017,1.3617,1.6647,4271404.51464851,6561882.489442999175
1662422400,2022-09-06 00:00:00,EOS/USDT,1.5696,1.5877,1.3792,1.3937,2399242.92210592,3569460.317522125181
1662336000,2022-09-05 00:00:00,EOS/USDT,1.4917,1.5927,1.4206,1.5678,2202637.50374818,3299585.411873774255
1662249600,2022-09-04 00:00:00,EOS/USDT,1.5175,1.5461,1.4664,1.4914,1482671.34003244,2220162.327845253039
1662163200,2022-09-03 00:00:00,EOS/USDT,1.5466,1.6002,1.5091,1.5174,2158474.14910233,3321396.741167967653
1662076800,2022-09-02 00:00:00,EOS/USDT,1.4798,1.5903,1.479,1.5471,3784956.01426464,5774068.071500272132
1661990400,2022-09-01 00:00:00,EOS/USDT,1.3729,1.4954,1.3436,1.4794,3770821.8108559,5368657.996329891474
