https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume EUR
1663545600,2022-09-19 00:00:00,MATIC/EUR,0.75297,0.75297,0.74900,0.74900,271.81165301,203.58692810449
1663542000,2022-09-18 23:00:00,MATIC/EUR,0.75794,0.75794,0.74900,0.74900,972.81407540,728.6377424746
1663538400,2022-09-18 22:00:00,MATIC/EUR,0.75899,0.75899,0.74909,0.75676,45578.16167529,34491.72962939246
1663534800,2022-09-18 21:00:00,MATIC/EUR,0.78163,0.78237,0.75100,0.76662,7463.51347087,5721.678697038359
1663531200,2022-09-18 20:00:00,MATIC/EUR,0.79000,0.79000,0.78484,0.78484,4955.19833739,3889.0378631171675
1663527600,2022-09-18 19:00:00,MATIC/EUR,0.79601,0.79601,0.79258,0.79366,1190.18774051,944.6044021331666
1663524000,2022-09-18 18:00:00,MATIC/EUR,0.79155,0.79399,0.79155,0.79399,612.39943692,486.23902892011074
1663520400,2022-09-18 17:00:00,MATIC/EUR,0.79504,0.79964,0.79100,0.79100,55675.24302480,44039.1172326168
1663516800,2022-09-18 16:00:00,MATIC/EUR,0.79845,0.80047,0.79845,0.79911,2221.08676037,1774.8926410792706
1663513200,2022-09-18 15:00:00,MATIC/EUR,0.80559,0.80808,0.80465,0.80465,753.98226100,606.6918263136499
1663509600,2022-09-18 14:00:00,MATIC/EUR,0.81218,0.81218,0.81218,0.81218,17.93937304,14.5699999956272
1663506000,2022-09-18 13:00:00,MATIC/EUR,0.81349,0.81562,0.81349,0.81487,161.11010763,131.2837934044581
1663502400,2022-09-18 12:00:00,MATIC/EUR,0.81072,0.81267,0.81009,0.81267,3168.28292082,2574.7684812627895
1663498800,2022-09-18 11:00:00,MATIC/EUR,0.81370,0.81370,0.81370,0.81370,243.21131802,197.90104947287398
1663495200,2022-09-18 10:00:00,MATIC/EUR,0.81481,0.81781,0.81394,0.81394,2742.35047540,2232.108745947076
1663491600,2022-09-18 09:00:00,MATIC/EUR,0.82797,0.82950,0.81072,0.81072,4335.42136905,3514.812812316216
1663488000,2022-09-18 08:00:00,MATIC/EUR,0.82071,0.82071,0.82071,0.82071,0.00000000,0.0
1663484400,2022-09-18 07:00:00,MATIC/EUR,0.81993,0.82071,0.81993,0.82071,810.32071784,665.0383163384665
1663480800,2022-09-18 06:00:00,MATIC/EUR,0.82551,0.82551,0.82188,0.82188,227.21793812,186.74587898206562
1663477200,2022-09-18 05:00:00,MATIC/EUR,0.82366,0.82366,0.82366,0.82366,0.00000000,0.0
1663473600,2022-09-18 04:00:00,MATIC/EUR,0.82366,0.82366,0.82366,0.82366,0.00000000,0.0
1663470000,2022-09-18 03:00:00,MATIC/EUR,0.82366,0.82366,0.82366,0.82366,0.00000000,0.0
1663466400,2022-09-18 02:00:00,MATIC/EUR,0.82366,0.82366,0.82366,0.82366,0.00000000,0.0
1663462800,2022-09-18 01:00:00,MATIC/EUR,0.82366,0.82366,0.82366,0.82366,0.00000000,0.0
1663459200,2022-09-18 00:00:00,MATIC/EUR,0.82366,0.82366,0.82366,0.82366,120.19522618,98.9999999954188
1663455600,2022-09-17 23:00:00,MATIC/EUR,0.82592,0.82592,0.82592,0.82592,1198.99727111,990.2758261551711
1663452000,2022-09-17 22:00:00,MATIC/EUR,0.81952,0.81952,0.81952,0.81952,0.00000000,0.0
1663448400,2022-09-17 21:00:00,MATIC/EUR,0.82235,0.82235,0.81952,0.81952,1570.12901561,1286.752130872707
1663444800,2022-09-17 20:00:00,MATIC/EUR,0.82038,0.82038,0.81996,0.81996,10310.86709000,8454.4985791164
1663441200,2022-09-17 19:00:00,MATIC/EUR,0.82084,0.82084,0.82084,0.82084,24.36528434,19.9999999976456
1663437600,2022-09-17 18:00:00,MATIC/EUR,0.82328,0.82328,0.82328,0.82328,58.15902719,47.881163904983204
1663434000,2022-09-17 17:00:00,MATIC/EUR,0.82729,0.82729,0.82707,0.82707,3670.01263254,3035.3573479948577
1663430400,2022-09-17 16:00:00,MATIC/EUR,0.82474,0.82476,0.82474,0.82476,3010.06873887,2482.584293070421
1663426800,2022-09-17 15:00:00,MATIC/EUR,0.81926,0.82446,0.81926,0.82446,11858.75789360,9777.071532957456
1663423200,2022-09-17 14:00:00,MATIC/EUR,0.81318,0.81884,0.81318,0.81884,2030.49562902,1662.6510408667368
1663419600,2022-09-17 13:00:00,MATIC/EUR,0.81202,0.81202,0.81202,0.81202,50.49136720,40.999999993744
1663416000,2022-09-17 12:00:00,MATIC/EUR,0.81051,0.81251,0.81051,0.81251,149.84067717,121.74704860739669
1663412400,2022-09-17 11:00:00,MATIC/EUR,0.81270,0.81270,0.81270,0.81270,307.53334235,249.93234732784498
1663408800,2022-09-17 10:00:00,MATIC/EUR,0.81309,0.81399,0.81292,0.81292,281.92209625,229.18011048354998
1663405200,2022-09-17 09:00:00,MATIC/EUR,0.81345,0.81345,0.81345,0.81345,1069.86892164,870.2848743080581
1663401600,2022-09-17 08:00:00,MATIC/EUR,0.81258,0.81346,0.81195,0.81346,2441.22494093,1985.8388404489176
