https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CVX,Volume EUR
1663545600,2022-09-19 00:00:00,CVX/EUR,5.00,5.00,5.00,5.00,0.000,0.0
1663459200,2022-09-18 00:00:00,CVX/EUR,5.00,5.00,5.00,5.00,0.000,0.0
1663372800,2022-09-17 00:00:00,CVX/EUR,5.00,5.00,5.00,5.00,0.000,0.0
1663286400,2022-09-16 00:00:00,CVX/EUR,5.06,5.06,4.84,5.00,61.570,307.85
1663200000,2022-09-15 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1663113600,2022-09-14 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1663027200,2022-09-13 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662940800,2022-09-12 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662854400,2022-09-11 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662768000,2022-09-10 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662681600,2022-09-09 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662595200,2022-09-08 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662508800,2022-09-07 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662422400,2022-09-06 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662336000,2022-09-05 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662249600,2022-09-04 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662163200,2022-09-03 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1662076800,2022-09-02 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1661990400,2022-09-01 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1661904000,2022-08-31 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1661817600,2022-08-30 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1661731200,2022-08-29 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1661644800,2022-08-28 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.000,0.0
1661558400,2022-08-27 00:00:00,CVX/EUR,5.88,5.88,5.88,5.88,0.266,1.5640800000000001
1661472000,2022-08-26 00:00:00,CVX/EUR,6.01,6.01,5.88,5.88,15.232,89.56416
1661385600,2022-08-25 00:00:00,CVX/EUR,5.71,5.71,5.71,5.71,0.000,0.0
1661299200,2022-08-24 00:00:00,CVX/EUR,5.71,5.71,5.71,5.71,8.811,50.31081
1661212800,2022-08-23 00:00:00,CVX/EUR,5.55,5.55,5.55,5.55,0.000,0.0
1661126400,2022-08-22 00:00:00,CVX/EUR,5.55,5.55,5.55,5.55,0.000,0.0
1661040000,2022-08-21 00:00:00,CVX/EUR,5.55,5.55,5.55,5.55,0.000,0.0
1660953600,2022-08-20 00:00:00,CVX/EUR,5.62,5.62,5.55,5.55,29.482,163.6251
1660867200,2022-08-19 00:00:00,CVX/EUR,6.09,6.09,5.62,5.62,98.532,553.74984
1660780800,2022-08-18 00:00:00,CVX/EUR,6.08,6.08,6.08,6.08,0.000,0.0
1660694400,2022-08-17 00:00:00,CVX/EUR,6.40,6.40,6.08,6.08,81.250,494.0
1660608000,2022-08-16 00:00:00,CVX/EUR,6.46,6.46,6.46,6.46,0.000,0.0
1660521600,2022-08-15 00:00:00,CVX/EUR,6.46,6.46,6.46,6.46,0.000,0.0
1660435200,2022-08-14 00:00:00,CVX/EUR,6.46,6.46,6.46,6.46,5.046,32.59716
1660348800,2022-08-13 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1660262400,2022-08-12 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1660176000,2022-08-11 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1660089600,2022-08-10 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1660003200,2022-08-09 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1659916800,2022-08-08 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1659830400,2022-08-07 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1659744000,2022-08-06 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1659657600,2022-08-05 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1659571200,2022-08-04 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1659484800,2022-08-03 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1659398400,2022-08-02 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1659312000,2022-08-01 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
1659225600,2022-07-31 00:00:00,CVX/EUR,6.31,6.31,6.31,6.31,0.000,0.0
