https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AUDIO,Volume EUR
1663545600,2022-09-19 00:00:00,AUDIO/EUR,0.22000,0.22000,0.22000,0.22000,0.00000000,0.0
1663459200,2022-09-18 00:00:00,AUDIO/EUR,0.24928,0.25130,0.22000,0.22000,162373.35355758,35722.1377826676
1663372800,2022-09-17 00:00:00,AUDIO/EUR,0.24958,0.25234,0.24641,0.24928,85475.49423790,21307.33120362371
1663286400,2022-09-16 00:00:00,AUDIO/EUR,0.24199,0.24727,0.23999,0.24503,55067.00556128,13493.068372680438
1663200000,2022-09-15 00:00:00,AUDIO/EUR,0.25416,0.29800,0.24125,0.24393,96265.85867313,23482.1309061366
1663113600,2022-09-14 00:00:00,AUDIO/EUR,0.25690,0.26415,0.25000,0.25846,145788.32580717,37680.450688121164
1663027200,2022-09-13 00:00:00,AUDIO/EUR,0.28002,0.28205,0.25615,0.26013,135738.93779747,35309.76988925586
1662940800,2022-09-12 00:00:00,AUDIO/EUR,0.28308,0.31386,0.27575,0.28841,143544.99874926,41399.81308927408
1662854400,2022-09-11 00:00:00,AUDIO/EUR,0.28851,0.29032,0.28139,0.28139,57307.68521675,16125.80954314128
1662768000,2022-09-10 00:00:00,AUDIO/EUR,0.28784,0.29466,0.28361,0.28730,97062.54979304,27886.07055554039
1662681600,2022-09-09 00:00:00,AUDIO/EUR,0.28134,0.29676,0.28085,0.28630,85602.30225530,24507.93913569239
1662595200,2022-09-08 00:00:00,AUDIO/EUR,0.28523,0.28617,0.27410,0.28069,78901.30599293,22146.807579155524
1662508800,2022-09-07 00:00:00,AUDIO/EUR,0.26173,0.28651,0.26166,0.28488,53301.62495516,15184.56691722598
1662422400,2022-09-06 00:00:00,AUDIO/EUR,0.28554,0.29239,0.26217,0.26419,149941.60055125,39613.071449634735
1662336000,2022-09-05 00:00:00,AUDIO/EUR,0.29820,0.29841,0.28195,0.28476,48393.08529549,13780.414968743731
1662249600,2022-09-04 00:00:00,AUDIO/EUR,0.29179,0.29771,0.28598,0.29771,35689.49475579,10625.11948374624
1662163200,2022-09-03 00:00:00,AUDIO/EUR,0.28162,0.28723,0.28045,0.28650,44347.22110414,12705.47884633611
1662076800,2022-09-02 00:00:00,AUDIO/EUR,0.28260,0.28750,0.27763,0.28050,75372.77709498,21142.063975141893
1661990400,2022-09-01 00:00:00,AUDIO/EUR,0.27968,0.28400,0.27332,0.28330,75053.29224135,21262.597691974457
1661904000,2022-08-31 00:00:00,AUDIO/EUR,0.28740,0.29141,0.27787,0.27799,41637.80161920,11574.892472121408
1661817600,2022-08-30 00:00:00,AUDIO/EUR,0.29709,0.30320,0.27920,0.28351,79678.74743605,22589.721685594537
1661731200,2022-08-29 00:00:00,AUDIO/EUR,0.27914,0.29934,0.27914,0.29820,40139.19326737,11969.507432329734
1661644800,2022-08-28 00:00:00,AUDIO/EUR,0.28434,0.29375,0.28000,0.28006,111423.32940286,31205.21763256497
1661558400,2022-08-27 00:00:00,AUDIO/EUR,0.28199,0.29058,0.28113,0.28443,17580.38389611,5000.388591570568
1661472000,2022-08-26 00:00:00,AUDIO/EUR,0.31665,0.32010,0.28025,0.28412,87710.84677620,24920.40578605394
1661385600,2022-08-25 00:00:00,AUDIO/EUR,0.32246,0.32730,0.31049,0.31789,43324.00767003,13772.268798225836
1661299200,2022-08-24 00:00:00,AUDIO/EUR,0.31285,0.33738,0.30740,0.32796,112133.62450789,36775.3434936076
1661212800,2022-08-23 00:00:00,AUDIO/EUR,0.30651,0.31360,0.29721,0.31311,50477.59472776,15805.039685208932
1661126400,2022-08-22 00:00:00,AUDIO/EUR,0.30810,0.30810,0.29038,0.30595,45667.08706524,13971.845287610176
1661040000,2022-08-21 00:00:00,AUDIO/EUR,0.30205,0.31347,0.29979,0.30872,46597.09637251,14385.455592121287
