https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BOSON,Volume USDT
1663372800,2022-09-17 00:00:00,BOSON/USDT,0.2347,0.2384,0.2347,0.2383,8761.2819,2086.51246362
1663286400,2022-09-16 00:00:00,BOSON/USDT,0.2388,0.2445,0.2304,0.2332,155125.4578,36653.51407129
1663200000,2022-09-15 00:00:00,BOSON/USDT,0.2512,0.2513,0.2381,0.239,268270.3235,65235.78844046
1663113600,2022-09-14 00:00:00,BOSON/USDT,0.2444,0.2515,0.2364,0.2489,283655.4438,69149.33127344
1663027200,2022-09-13 00:00:00,BOSON/USDT,0.2652,0.2733,0.2409,0.2435,550158.2024,141679.91484572
1662940800,2022-09-12 00:00:00,BOSON/USDT,0.2583,0.2726,0.255,0.2648,291423.97804558,76816.950596824694
1662854400,2022-09-11 00:00:00,BOSON/USDT,0.2704,0.2807,0.2538,0.2582,429919.958,113745.83108673
1662768000,2022-09-10 00:00:00,BOSON/USDT,0.2667,0.2754,0.253,0.273,428490.6079,113246.44601303
1662681600,2022-09-09 00:00:00,BOSON/USDT,0.2587,0.284,0.2561,0.2657,418521.7749,112530.79862525
1662595200,2022-09-08 00:00:00,BOSON/USDT,0.2607,0.2612,0.2418,0.2589,352020.729,88122.30292744
1662508800,2022-09-07 00:00:00,BOSON/USDT,0.251,0.262,0.2427,0.2611,277021.3721,69777.52356487
1662422400,2022-09-06 00:00:00,BOSON/USDT,0.272,0.3,0.2464,0.251,497551.3294,134748.2809944
1662336000,2022-09-05 00:00:00,BOSON/USDT,0.2501,0.275,0.245,0.2727,193689.3371,49688.07598235
1662249600,2022-09-04 00:00:00,BOSON/USDT,0.2456,0.2549,0.24,0.2509,122720.0465,30682.27734555
1662163200,2022-09-03 00:00:00,BOSON/USDT,0.2507,0.2556,0.24,0.2457,171325.8487,42292.02144637
1662076800,2022-09-02 00:00:00,BOSON/USDT,0.2576,0.2623,0.2483,0.2506,74585.2179,19156.45520713
1661990400,2022-09-01 00:00:00,BOSON/USDT,0.261,0.2613,0.2422,0.2586,168740.5341,42632.01615207
1661904000,2022-08-31 00:00:00,BOSON/USDT,0.2586,0.2641,0.2569,0.261,102265.19765506,26625.809893225025
1661817600,2022-08-30 00:00:00,BOSON/USDT,0.2822,0.3039,0.2457,0.2605,497003.6577086,131930.892730740886
1661731200,2022-08-29 00:00:00,BOSON/USDT,0.2766,0.29,0.2548,0.2841,267822.69823701,71839.202594588925
1661644800,2022-08-28 00:00:00,BOSON/USDT,0.2876,0.298,0.2766,0.2766,227430.14114255,64931.916987011532
1661558400,2022-08-27 00:00:00,BOSON/USDT,0.2998,0.2998,0.2851,0.2879,132467.97013,38687.03490079305
1661472000,2022-08-26 00:00:00,BOSON/USDT,0.3293,0.3293,0.2896,0.3,288911.52288886,88596.366638985127
1661385600,2022-08-25 00:00:00,BOSON/USDT,0.33,0.3381,0.3187,0.3294,126790.59718233,41419.314731297366
1661299200,2022-08-24 00:00:00,BOSON/USDT,0.3337,0.3434,0.325,0.33,129123.79641037,43124.090887219424
1661212800,2022-08-23 00:00:00,BOSON/USDT,0.3319,0.3431,0.3219,0.3337,150718.20160609,50170.275426453912
1661126400,2022-08-22 00:00:00,BOSON/USDT,0.3624,0.3654,0.3246,0.3319,264644.70504165,89584.724119625763
1661040000,2022-08-21 00:00:00,BOSON/USDT,0.349,0.3707,0.3442,0.3605,282607.81316231,101117.174697115988
1660953600,2022-08-20 00:00:00,BOSON/USDT,0.3192,0.3891,0.319,0.351,648596.18224064,233249.345717585266
1660867200,2022-08-19 00:00:00,BOSON/USDT,0.3328,0.338,0.2982,0.3175,315152.18153889,99591.559078886929
1660780800,2022-08-18 00:00:00,BOSON/USDT,0.3511,0.3536,0.331,0.3329,115381.24207006,39402.596622812371
1660694400,2022-08-17 00:00:00,BOSON/USDT,0.35,0.361,0.3366,0.3481,262586.57682069,92283.774613954372
1660608000,2022-08-16 00:00:00,BOSON/USDT,0.3517,0.3739,0.35,0.35,195247.20651378,70020.640552874408
1660521600,2022-08-15 00:00:00,BOSON/USDT,0.3765,0.3799,0.3508,0.3518,212139.48678924,76238.782660679367
1660435200,2022-08-14 00:00:00,BOSON/USDT,0.3855,0.3915,0.3632,0.3765,232268.73473754,87894.645024448029
1660348800,2022-08-13 00:00:00,BOSON/USDT,0.3823,0.3865,0.3714,0.3849,110906.4586338,42412.06827635292
1660262400,2022-08-12 00:00:00,BOSON/USDT,0.3804,0.3948,0.3654,0.3834,195906.37197312,74102.043724791816
1660176000,2022-08-11 00:00:00,BOSON/USDT,0.4055,0.41,0.3807,0.3808,203971.66702776,81311.290387526755
1660089600,2022-08-10 00:00:00,BOSON/USDT,0.3968,0.41,0.3714,0.4073,408080.09588741,160514.030073997817
1660003200,2022-08-09 00:00:00,BOSON/USDT,0.3854,0.4078,0.3636,0.3969,659905.18506801,256061.390056605991
1659916800,2022-08-08 00:00:00,BOSON/USDT,0.3583,0.4073,0.3548,0.3852,526099.91325577,201398.869920487784
1659830400,2022-08-07 00:00:00,BOSON/USDT,0.3676,0.3685,0.3415,0.3567,664482.74567647,236816.730374004311
1659744000,2022-08-06 00:00:00,BOSON/USDT,0.3595,0.391,0.3515,0.3684,641189.55972721,240506.203814104066
