https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume DASH
1663545600000,2022-09-19 00:00:00,DASH/BTC,0.00207655,0.00209314,0.00206295,0.00209314,0.0935237611496384,44.68108256
1663459200000,2022-09-18 00:00:00,DASH/BTC,0.00221446,0.00222673,0.00205804,0.00207523,2.0780842591396476,1001.37539412
1663372800000,2022-09-17 00:00:00,DASH/BTC,0.00221296,0.00222926,0.00219416,0.00221673,2.0254080024890575,913.69179038
1663286400000,2022-09-16 00:00:00,DASH/BTC,0.00222511,0.00224588,0.00220244,0.00221376,2.0736821751710015,936.72402391
1663200000000,2022-09-15 00:00:00,DASH/BTC,0.00223209,0.00223683,0.00216513,0.0022239,2.0226928551010652,909.52509335
1663113600000,2022-09-14 00:00:00,DASH/BTC,0.002192,0.00226529,0.0021641,0.00224971,1.823086758928642,810.36522882
1663027200000,2022-09-13 00:00:00,DASH/BTC,0.00210432,0.0021944,0.00206644,0.002171,5.28590172786663,2434.77739653
1662940800000,2022-09-12 00:00:00,DASH/BTC,0.00221283,0.00223893,0.00210185,0.00210433,1.9259003823576277,915.20834772
1662854400000,2022-09-11 00:00:00,DASH/BTC,0.00225235,0.00226604,0.00220001,0.00221688,2.160902198477808,974.7492866
1662768000000,2022-09-10 00:00:00,DASH/BTC,0.00229581,0.00234021,0.00224933,0.0022509,2.133600790308993,947.88786277
1662681600000,2022-09-09 00:00:00,DASH/BTC,0.00239634,0.00241359,0.00225171,0.00229339,6.405061302618964,2792.83562875
1662595200000,2022-09-08 00:00:00,DASH/BTC,0.00233035,0.00239861,0.00231599,0.00239341,5.738565936883554,2397.65269506
1662508800000,2022-09-07 00:00:00,DASH/BTC,0.0022744,0.00236027,0.002264,0.00233185,2.285348921904205,980.0582893
1662422400000,2022-09-06 00:00:00,DASH/BTC,0.00240469,0.00242175,0.0022676,0.00226987,2.376401835494466,1046.9330118
1662336000000,2022-09-05 00:00:00,DASH/BTC,0.00238352,0.00243157,0.00235399,0.00240627,2.316032103386026,962.49884817
1662249600000,2022-09-04 00:00:00,DASH/BTC,0.00235294,0.00238575,0.00234188,0.00237749,2.197697773163783,924.37729419
1662163200000,2022-09-03 00:00:00,DASH/BTC,0.00229216,0.00236,0.00227584,0.00235577,2.3615430675360445,1002.45060746
1662076800000,2022-09-02 00:00:00,DASH/BTC,0.00222271,0.00229151,0.00221433,0.00229021,2.2965566780006057,1002.77122098
