https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1663545600000.0,2022-09-19 00:00:00,BTC/USD,19418.0,19471.0,19392.0,19458.0,309.11047972556275,6014671.7145
1663542000000.0,2022-09-18 23:00:00,BTC/USD,19447.0,19527.0,19378.0,19418.0,756.6558213822227,14692742.7396
1663538400000.0,2022-09-18 22:00:00,BTC/USD,19460.0,19480.0,19333.0,19447.0,1175.232642340721,22854749.1956
1663534800000.0,2022-09-18 21:00:00,BTC/USD,19717.0,19721.0,19409.0,19460.0,1794.9972538437821,34930646.5598
1663531200000.0,2022-09-18 20:00:00,BTC/USD,19722.0,19747.0,19671.0,19718.0,338.0721311593468,6666106.2822
1663527600000.0,2022-09-18 19:00:00,BTC/USD,19635.0,19740.0,19596.0,19722.0,417.1753230909644,8227531.722
1663524000000.0,2022-09-18 18:00:00,BTC/USD,19628.0,19714.0,19563.0,19635.0,1046.7757668398267,20553442.1819
1663520400000.0,2022-09-18 17:00:00,BTC/USD,19746.0,19760.0,19607.0,19628.0,862.2332041573262,16923913.3312
1663516800000.0,2022-09-18 16:00:00,BTC/USD,19810.0,19874.0,19638.0,19746.0,1636.835259703231,32320949.0381
1663513200000.0,2022-09-18 15:00:00,BTC/USD,19808.0,19873.0,19771.0,19810.0,581.6233186976274,11521957.9434
1663509600000.0,2022-09-18 14:00:00,BTC/USD,19963.0,19963.0,19682.0,19808.0,1331.8576925181744,26381437.1734
1663506000000.0,2022-09-18 13:00:00,BTC/USD,19987.0,20015.0,19940.0,19963.0,420.28451187196316,8390139.7105
1663502400000.0,2022-09-18 12:00:00,BTC/USD,19922.0,20026.0,19862.0,19987.0,428.12108134287286,8556856.0528
1663498800000.0,2022-09-18 11:00:00,BTC/USD,19916.0,19949.0,19881.0,19922.0,194.8756693805843,3882313.0854
1663495200000.0,2022-09-18 10:00:00,BTC/USD,19833.0,20035.0,19755.0,19916.0,911.448534519984,18152409.0135
1663491600000.0,2022-09-18 09:00:00,BTC/USD,20052.0,20074.0,19810.0,19833.0,783.0266038017445,15529766.6332
1663488000000.0,2022-09-18 08:00:00,BTC/USD,20053.0,20100.0,20027.0,20052.0,305.90567505485734,6134020.5962
1663484400000.0,2022-09-18 07:00:00,BTC/USD,20038.0,20089.0,20036.0,20053.0,325.48126335710367,6526875.7741
1663480800000.0,2022-09-18 06:00:00,BTC/USD,20068.0,20094.0,20032.0,20038.0,260.00250339854273,5209930.1631
1663477200000.0,2022-09-18 05:00:00,BTC/USD,20015.0,20084.0,20000.0,20068.0,227.11892874725933,4557822.6621
1663473600000.0,2022-09-18 04:00:00,BTC/USD,19999.0,20034.0,19955.0,20015.0,156.89099702223334,3140173.3054
1663470000000.0,2022-09-18 03:00:00,BTC/USD,20034.0,20038.0,19952.0,19999.0,204.36382976648832,4087072.2315
1663466400000.0,2022-09-18 02:00:00,BTC/USD,19997.0,20044.0,19997.0,20034.0,164.53995428771088,3296393.4442
1663462800000.0,2022-09-18 01:00:00,BTC/USD,19983.0,20055.0,19975.0,19997.0,252.1608308046207,5042460.1336
1663459200000.0,2022-09-18 00:00:00,BTC/USD,20113.0,20115.0,19958.0,19983.0,573.42781981184,11458808.1233
1663455600000.0,2022-09-17 23:00:00,BTC/USD,20125.0,20145.0,20095.0,20113.0,219.3345735792771,4411476.2784
