https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STMX,Volume USDT
1663459200,2022-09-18 00:00:00,STMX/USDT,0.00757,0.00757,0.00751,0.00754,285.3265,2.152959448
1663372800,2022-09-17 00:00:00,STMX/USDT,0.00738,0.00757,0.00736,0.00757,1085112.785,8114.900005789
1663286400,2022-09-16 00:00:00,STMX/USDT,0.00703,0.00762,0.00692,0.00735,4133672.058,30083.721087642
1663200000,2022-09-15 00:00:00,STMX/USDT,0.00724,0.00742,0.00679,0.00702,1729058.0971,12200.610507811
1663113600,2022-09-14 00:00:00,STMX/USDT,0.00734,0.00747,0.00705,0.00728,1229945.4427,8978.897406065
1663027200,2022-09-13 00:00:00,STMX/USDT,0.0079,0.00829,0.00731,0.00735,3423022.6995,27055.164399419
1662940800,2022-09-12 00:00:00,STMX/USDT,0.00819,0.00841,0.0079,0.00795,1803028.971,14900.583546803
1662854400,2022-09-11 00:00:00,STMX/USDT,0.00813,0.00841,0.00796,0.00822,894596.2383,7358.289475852
1662768000,2022-09-10 00:00:00,STMX/USDT,0.00813,0.00825,0.00791,0.00813,1295530.0058,10443.663244337
1662681600,2022-09-09 00:00:00,STMX/USDT,0.00791,0.00835,0.00731,0.00816,7435169.6534,59135.012321224
1662595200,2022-09-08 00:00:00,STMX/USDT,0.00754,0.008,0.00745,0.00791,1110290.5848,8571.744082833
1662508800,2022-09-07 00:00:00,STMX/USDT,0.00724,0.00766,0.00721,0.0075,1290266.4011,9497.905215929
1662422400,2022-09-06 00:00:00,STMX/USDT,0.0079,0.00832,0.00724,0.00724,2253776.6018,17695.289681091
1662336000,2022-09-05 00:00:00,STMX/USDT,0.00794,0.00805,0.00773,0.00786,912655.5734,7174.669143473
1662249600,2022-09-04 00:00:00,STMX/USDT,0.00768,0.00807,0.00766,0.00794,616908.248,4882.953465134
1662163200,2022-09-03 00:00:00,STMX/USDT,0.00764,0.0078,0.0076,0.00769,491556.8275,3784.626546806
1662076800,2022-09-02 00:00:00,STMX/USDT,0.00772,0.00792,0.00754,0.00769,861228.3437,6645.72399682
1661990400,2022-09-01 00:00:00,STMX/USDT,0.00794,0.00808,0.00748,0.0077,791657.2374,6166.2369717
1661904000,2022-08-31 00:00:00,STMX/USDT,0.00816,0.00824,0.00783,0.00796,2464663.3381,19781.215640506
1661817600,2022-08-30 00:00:00,STMX/USDT,0.00763,0.0082,0.0074,0.0082,2649083.8758,20593.930073414
1661731200,2022-08-29 00:00:00,STMX/USDT,0.00725,0.00765,0.00712,0.00764,1752780.5476,13105.607063309
1661644800,2022-08-28 00:00:00,STMX/USDT,0.00754,0.00771,0.0072,0.0072,1844309.2812,13864.332093349
1661558400,2022-08-27 00:00:00,STMX/USDT,0.00773,0.00783,0.00741,0.00755,2239912.1267,17218.64661625
1661472000,2022-08-26 00:00:00,STMX/USDT,0.00863,0.00881,0.00769,0.00778,3385941.0384,27703.164081272
1661385600,2022-08-25 00:00:00,STMX/USDT,0.00828,0.00871,0.00819,0.00868,3137598.7443,26733.184339292
1661299200,2022-08-24 00:00:00,STMX/USDT,0.00826,0.00897,0.00816,0.00828,7300460.1359,61572.285122745
1661212800,2022-08-23 00:00:00,STMX/USDT,0.00813,0.00826,0.00788,0.00822,2635913.0097,21488.774211699
1661126400,2022-08-22 00:00:00,STMX/USDT,0.00829,0.00829,0.00775,0.00813,4051536.4034,32352.330031357
1661040000,2022-08-21 00:00:00,STMX/USDT,0.00798,0.00841,0.00797,0.0083,4085431.2395,33393.403826145
1660953600,2022-08-20 00:00:00,STMX/USDT,0.00784,0.00839,0.0077,0.00803,11757896.2204,94915.136445437
1660867200,2022-08-19 00:00:00,STMX/USDT,0.00883,0.00883,0.00771,0.00783,7119865.2975,57156.326567093
1660780800,2022-08-18 00:00:00,STMX/USDT,0.0094,0.00948,0.00873,0.00884,1114923.5934,10283.622598897
1660694400,2022-08-17 00:00:00,STMX/USDT,0.00996,0.01011,0.00936,0.0094,1663542.0273,15983.496041819
1660608000,2022-08-16 00:00:00,STMX/USDT,0.00979,0.01009,0.00968,0.00996,1897230.8734,18852.656801532
1660521600,2022-08-15 00:00:00,STMX/USDT,0.00972,0.01034,0.00958,0.00981,3600930.1796,35705.622707713
1660435200,2022-08-14 00:00:00,STMX/USDT,0.00985,0.01014,0.0095,0.00967,3111429.0509,30616.479051616
1660348800,2022-08-13 00:00:00,STMX/USDT,0.01004,0.0101,0.00976,0.00985,3042822.5433,30221.461400952
1660262400,2022-08-12 00:00:00,STMX/USDT,0.01003,0.01027,0.0097,0.01001,16605632.567,164925.08903419
1660176000,2022-08-11 00:00:00,STMX/USDT,0.00924,0.0189,0.0092,0.01001,42249261.74694796,504944.5548841037424
1660089600,2022-08-10 00:00:00,STMX/USDT,0.00851,0.00945,0.00834,0.0093,3631126.3253,32212.915353447
1660003200,2022-08-09 00:00:00,STMX/USDT,0.00908,0.00917,0.00836,0.00853,1700299.8501,14866.878787169
1659916800,2022-08-08 00:00:00,STMX/USDT,0.00901,0.00926,0.00882,0.00908,4938535.4331,44896.357717732
1659830400,2022-08-07 00:00:00,STMX/USDT,0.0091,0.00936,0.00894,0.00901,3794429.1951,34566.118403508
1659744000,2022-08-06 00:00:00,STMX/USDT,0.00888,0.00939,0.00886,0.0091,3559370.6484,32535.872125245
1659657600,2022-08-05 00:00:00,STMX/USDT,0.00865,0.00898,0.00865,0.00887,721953.2236,6373.734794385
1659571200,2022-08-04 00:00:00,STMX/USDT,0.00867,0.00885,0.00847,0.00864,700295.8055,6036.193823739
1659484800,2022-08-03 00:00:00,STMX/USDT,0.00864,0.00896,0.00843,0.00865,3570185.5525,31224.023537836
1659398400,2022-08-02 00:00:00,STMX/USDT,0.00883,0.00895,0.0084,0.0086,2447758.1683,20981.890384692
1659312000,2022-08-01 00:00:00,STMX/USDT,0.00961,0.01003,0.00861,0.00884,5688315.1331,52054.684919736
1659225600,2022-07-31 00:00:00,STMX/USDT,0.00807,0.01232,0.00804,0.00962,25605475.48029559,256087.3238152362315
1659139200,2022-07-30 00:00:00,STMX/USDT,0.00821,0.00863,0.008,0.00807,2988210.5897,24997.48591925
1659052800,2022-07-29 00:00:00,STMX/USDT,0.0082,0.00835,0.008,0.00821,632305.7981,5213.011345458
1658966400,2022-07-28 00:00:00,STMX/USDT,0.00775,0.0083,0.00767,0.0082,792078.2555,6353.735919718
1658880000,2022-07-27 00:00:00,STMX/USDT,0.00722,0.00776,0.00717,0.00774,1111088.0558,8190.536309509
1658793600,2022-07-26 00:00:00,STMX/USDT,0.00729,0.00729,0.00699,0.00726,3100400.0499,21934.061308795
1658707200,2022-07-25 00:00:00,STMX/USDT,0.0079,0.0079,0.00725,0.00725,602736.6372,4512.692022685
1658620800,2022-07-24 00:00:00,STMX/USDT,0.00771,0.00797,0.00767,0.00789,1353061.9065,10649.314248131
1658534400,2022-07-23 00:00:00,STMX/USDT,0.00769,0.00788,0.00748,0.00771,957265.2497,7328.173849785
1658448000,2022-07-22 00:00:00,STMX/USDT,0.00787,0.00816,0.0076,0.00767,2567699.7935,20524.338881775
1658361600,2022-07-21 00:00:00,STMX/USDT,0.00801,0.00807,0.00762,0.00789,1688036.5773,13048.378931651
1658275200,2022-07-20 00:00:00,STMX/USDT,0.00858,0.0088,0.00793,0.008,2081753.1043,17136.74844745
1658188800,2022-07-19 00:00:00,STMX/USDT,0.00811,0.00875,0.00808,0.00861,2227094.60267708,18756.9444527088958
1658102400,2022-07-18 00:00:00,STMX/USDT,0.00761,0.00821,0.00754,0.00813,3357347.55374682,26056.964897436864
1658016000,2022-07-17 00:00:00,STMX/USDT,0.00774,0.00786,0.00753,0.00758,1506805.49546279,11581.3069075329264
1657929600,2022-07-16 00:00:00,STMX/USDT,0.00743,0.00784,0.0074,0.00777,5197186.16277177,39474.3700134005668
1657843200,2022-07-15 00:00:00,STMX/USDT,0.00762,0.00762,0.00722,0.00744,1754576.64198098,13036.1100081715352
1657756800,2022-07-14 00:00:00,STMX/USDT,0.00715,0.0077,0.00705,0.00762,4778301.72309528,35862.3259089176995
1657670400,2022-07-13 00:00:00,STMX/USDT,0.00661,0.00721,0.00658,0.00715,4957722.75257228,34433.4749639916513
1657584000,2022-07-12 00:00:00,STMX/USDT,0.00702,0.00702,0.00661,0.00661,2254369.72722705,15435.9347721155816
1657497600,2022-07-11 00:00:00,STMX/USDT,0.00773,0.00774,0.00699,0.00706,2144145.32851747,15628.5264611489101
1657411200,2022-07-10 00:00:00,STMX/USDT,0.0078,0.00793,0.00753,0.00774,2455454.16228373,19029.6110889986167
1657324800,2022-07-09 00:00:00,STMX/USDT,0.00766,0.00828,0.00765,0.00784,3542359.68929739,28055.6103889829416
1657238400,2022-07-08 00:00:00,STMX/USDT,0.0075,0.00796,0.00747,0.00761,1397525.44380605,10836.7759217917702
1657152000,2022-07-07 00:00:00,STMX/USDT,0.00722,0.00773,0.00697,0.0075,6426899.20756046,48021.4257420600723
1657065600,2022-07-06 00:00:00,STMX/USDT,0.00703,0.00731,0.00685,0.00724,1600457.62941338,11463.952532696847
1656979200,2022-07-05 00:00:00,STMX/USDT,0.00726,0.00737,0.0068,0.00699,3838477.27489649,27612.8640137525722
1656892800,2022-07-04 00:00:00,STMX/USDT,0.00708,0.00783,0.00687,0.00722,8046296.92336318,58479.8287723302683
1656806400,2022-07-03 00:00:00,STMX/USDT,0.00735,0.00745,0.00686,0.00711,1389607.17451636,9901.042765735855
1656720000,2022-07-02 00:00:00,STMX/USDT,0.00731,0.00762,0.00693,0.0074,4570675.31532776,33150.7832856789374
