https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SLP,Volume EUR
1663545600,2022-09-19 00:00:00,SLP/EUR,0.00345,0.00345,0.00345,0.00345,0,0.0
1663459200,2022-09-18 00:00:00,SLP/EUR,0.00365,0.00372,0.00345,0.00345,876880,3025.236
1663372800,2022-09-17 00:00:00,SLP/EUR,0.00371,0.00372,0.00361,0.00365,397033,1449.17045
1663286400,2022-09-16 00:00:00,SLP/EUR,0.00359,0.00385,0.00357,0.00358,939743,3364.27994
1663200000,2022-09-15 00:00:00,SLP/EUR,0.00400,0.00412,0.00357,0.00357,2360693,8427.674009999999
1663113600,2022-09-14 00:00:00,SLP/EUR,0.00370,0.00433,0.00365,0.00399,4571971,18242.164289999997
1663027200,2022-09-13 00:00:00,SLP/EUR,0.00388,0.00389,0.00377,0.00377,870517,3281.8490899999997
1662940800,2022-09-12 00:00:00,SLP/EUR,0.00396,0.00399,0.00386,0.00389,1838650,7152.3485
1662854400,2022-09-11 00:00:00,SLP/EUR,0.00406,0.00406,0.00398,0.00398,311275,1238.8745
1662768000,2022-09-10 00:00:00,SLP/EUR,0.00403,0.00407,0.00398,0.00403,1161187,4679.58361
1662681600,2022-09-09 00:00:00,SLP/EUR,0.00384,0.00404,0.00384,0.00402,2644083,10629.213660000001
1662595200,2022-09-08 00:00:00,SLP/EUR,0.00385,0.00391,0.00381,0.00385,94992,365.7192
1662508800,2022-09-07 00:00:00,SLP/EUR,0.00365,0.00387,0.00365,0.00387,679001,2627.73387
1662422400,2022-09-06 00:00:00,SLP/EUR,0.00398,0.00406,0.00373,0.00375,3935403,14757.76125
1662336000,2022-09-05 00:00:00,SLP/EUR,0.00401,0.00401,0.00390,0.00390,167029,651.4131
1662249600,2022-09-04 00:00:00,SLP/EUR,0.00398,0.00404,0.00396,0.00401,342158,1372.0535799999998
1662163200,2022-09-03 00:00:00,SLP/EUR,0.00392,0.00425,0.00392,0.00407,1192825,4854.79775
1662076800,2022-09-02 00:00:00,SLP/EUR,0.00393,0.00393,0.00387,0.00390,243814,950.8746
1661990400,2022-09-01 00:00:00,SLP/EUR,0.00384,0.00388,0.00379,0.00388,956562,3711.46056
1661904000,2022-08-31 00:00:00,SLP/EUR,0.00397,0.00397,0.00381,0.00386,1183074,4566.66564
1661817600,2022-08-30 00:00:00,SLP/EUR,0.00398,0.00402,0.00383,0.00386,1968648,7598.98128
1661731200,2022-08-29 00:00:00,SLP/EUR,0.00382,0.00398,0.00374,0.00394,3398181,13388.83314
1661644800,2022-08-28 00:00:00,SLP/EUR,0.00387,0.00393,0.00385,0.00389,2020467,7859.6166299999995
1661558400,2022-08-27 00:00:00,SLP/EUR,0.00376,0.00398,0.00371,0.00391,862414,3372.0387400000004
1661472000,2022-08-26 00:00:00,SLP/EUR,0.00420,0.00423,0.00351,0.00351,6105304,21429.61704
1661385600,2022-08-25 00:00:00,SLP/EUR,0.00425,0.00431,0.00424,0.00427,202661,865.36247
1661299200,2022-08-24 00:00:00,SLP/EUR,0.00422,0.00433,0.00422,0.00430,471889,2029.1227
1661212800,2022-08-23 00:00:00,SLP/EUR,0.00420,0.00427,0.00410,0.00427,1247188,5325.49276
1661126400,2022-08-22 00:00:00,SLP/EUR,0.00421,0.00421,0.00401,0.00417,332786,1387.7176200000001
1661040000,2022-08-21 00:00:00,SLP/EUR,0.00411,0.00424,0.00411,0.00423,246761,1043.7990300000001
1660953600,2022-08-20 00:00:00,SLP/EUR,0.00430,0.00430,0.00420,0.00423,95202,402.70446000000004
1660867200,2022-08-19 00:00:00,SLP/EUR,0.00460,0.00460,0.00413,0.00419,2029636,8504.17484
1660780800,2022-08-18 00:00:00,SLP/EUR,0.00486,0.00490,0.00466,0.00466,1891090,8812.4794
