https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume EUR
1663545600,2022-09-19 00:00:00,UNI/EUR,5.39306,5.39306,5.39306,5.39306,25.95311752,139.9667199724112
1663459200,2022-09-18 00:00:00,UNI/EUR,6.02084,6.02084,5.37000,5.45027,6369.91045021,34717.73182946605
1663372800,2022-09-17 00:00:00,UNI/EUR,5.95150,5.99586,5.86521,5.96092,1543.82543991,9202.619941268316
1663286400,2022-09-16 00:00:00,UNI/EUR,5.92119,5.93195,5.68499,5.79736,4195.74922409,24324.268721770404
1663200000,2022-09-15 00:00:00,UNI/EUR,6.14015,6.20981,5.82438,5.90000,8909.28660799,52564.790987141
1663113600,2022-09-14 00:00:00,UNI/EUR,6.09778,6.21488,6.05534,6.11513,10155.54130955,62102.455328268494
1663027200,2022-09-13 00:00:00,UNI/EUR,6.42621,6.67448,6.05224,6.07083,3984.93677871,24191.87374429603
1662940800,2022-09-12 00:00:00,UNI/EUR,6.44824,6.80999,6.35955,6.52848,11611.74196503,75807.02518385905
1662854400,2022-09-11 00:00:00,UNI/EUR,6.63328,6.67461,6.34836,6.44016,26848.53443672,172908.85753798668
1662768000,2022-09-10 00:00:00,UNI/EUR,6.50357,6.69022,6.43768,6.62472,4764.13183046,31561.03941988497
1662681600,2022-09-09 00:00:00,UNI/EUR,6.23004,6.65601,6.20049,6.46149,22448.86774941,145053.13447413524
1662595200,2022-09-08 00:00:00,UNI/EUR,6.14707,6.24294,5.99473,6.16729,9027.86831661,55677.48199034569
1662508800,2022-09-07 00:00:00,UNI/EUR,5.89410,6.20494,5.78133,6.17668,3986.76009457,24624.941340928628
1662422400,2022-09-06 00:00:00,UNI/EUR,6.61653,6.73688,5.89000,5.89306,19817.73458481,116787.09897236043
1662336000,2022-09-05 00:00:00,UNI/EUR,6.53656,6.63649,6.25576,6.61689,6820.92324825,45133.298832112945
1662249600,2022-09-04 00:00:00,UNI/EUR,6.35282,6.53647,6.29567,6.45376,3785.16345205,24428.53648030221
1662163200,2022-09-03 00:00:00,UNI/EUR,6.38106,6.40834,6.26893,6.31881,3738.44044657,23622.49487819098
1662076800,2022-09-02 00:00:00,UNI/EUR,6.34040,6.65842,6.28520,6.38137,19198.61661495,122513.47610814348
1661990400,2022-09-01 00:00:00,UNI/EUR,6.14486,6.37725,5.98925,6.34451,21198.24368129,134492.4690183812
