https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHZ,Volume USDT
1663545600000.0,2022-09-19 00:00:00,CHZ/USDT,0.231286,0.234218,0.2274,0.232852,33279.666955834604,7749.23701
1663459200000.0,2022-09-18 00:00:00,CHZ/USDT,0.225052,0.247594,0.220409,0.231286,1237968.2643999206,286324.728
1663372800000.0,2022-09-17 00:00:00,CHZ/USDT,0.210478,0.227844,0.208919,0.225051,560595.9922417585,126162.68865
1663286400000.0,2022-09-16 00:00:00,CHZ/USDT,0.190846,0.213272,0.189903,0.210478,600895.0470357947,126475.18771
1663200000000.0,2022-09-15 00:00:00,CHZ/USDT,0.192455,0.197553,0.178303,0.190846,646648.1073745324,123410.2047
1663113600000.0,2022-09-14 00:00:00,CHZ/USDT,0.193488,0.199184,0.187772,0.192455,275712.2872879375,53062.20825
1663027200000.0,2022-09-13 00:00:00,CHZ/USDT,0.201683,0.210359,0.178284,0.193488,1226836.6786053916,237378.17527
1662940800000.0,2022-09-12 00:00:00,CHZ/USDT,0.208357,0.209038,0.195358,0.201683,399779.67939786694,80628.76508
1662854400000.0,2022-09-11 00:00:00,CHZ/USDT,0.201901,0.221,0.197202,0.208357,604547.1470120995,125961.62991
1662768000000.0,2022-09-10 00:00:00,CHZ/USDT,0.205019,0.207505,0.197435,0.201901,152626.37005264958,30815.41674
1662681600000.0,2022-09-09 00:00:00,CHZ/USDT,0.187064,0.209447,0.186804,0.205019,759708.690657939,155754.71605
1662595200000.0,2022-09-08 00:00:00,CHZ/USDT,0.193476,0.198,0.1833,0.187064,171066.63885087456,32000.40973
1662508800000.0,2022-09-07 00:00:00,CHZ/USDT,0.185202,0.194584,0.182951,0.193476,212337.5703963282,41082.22377
1662422400000.0,2022-09-06 00:00:00,CHZ/USDT,0.207667,0.210227,0.18228,0.185202,598148.6799278626,110778.33182
1662336000000.0,2022-09-05 00:00:00,CHZ/USDT,0.213282,0.214514,0.201663,0.207668,189306.61127376388,39312.92535
1662249600000.0,2022-09-04 00:00:00,CHZ/USDT,0.217153,0.217701,0.209775,0.213282,205746.11336165265,43881.94255
