https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAG,Volume USDT
1663459200,2022-09-18 00:00:00,DAG/USDT,0.075592,0.075633,0.075197,0.075633,40235.1814,3030.1198184296
1663372800,2022-09-17 00:00:00,DAG/USDT,0.073946,0.075729,0.073256,0.075436,2009970.4699,150368.9725603521
1663286400,2022-09-16 00:00:00,DAG/USDT,0.075169,0.077415,0.072221,0.073946,4189769.3486,310440.8062031905
1663200000,2022-09-15 00:00:00,DAG/USDT,0.076213,0.077423,0.072653,0.074994,3737762.55,280553.0049724489
1663113600,2022-09-14 00:00:00,DAG/USDT,0.075963,0.077976,0.072665,0.076198,4241202.3134,321952.7820907861
1663027200,2022-09-13 00:00:00,DAG/USDT,0.079918,0.080898,0.0735,0.075565,5826239.3898,449732.4902394933
1662940800,2022-09-12 00:00:00,DAG/USDT,0.079321,0.0807,0.0761,0.079882,4772798.9945,376961.8475103891
1662854400,2022-09-11 00:00:00,DAG/USDT,0.074966,0.08185,0.074871,0.079124,4620429.76865118,359264.757496262175
1662768000,2022-09-10 00:00:00,DAG/USDT,0.075732,0.07715,0.07357,0.075188,5582246.8523,420904.3521087602
1662681600,2022-09-09 00:00:00,DAG/USDT,0.071949,0.0766,0.071628,0.075696,6058013.5752,451169.5503799079
1662595200,2022-09-08 00:00:00,DAG/USDT,0.074749,0.075978,0.068201,0.072012,6514790.97075247,470792.07510784392808
1662508800,2022-09-07 00:00:00,DAG/USDT,0.073215,0.076554,0.071076,0.074772,7045666.3759,518911.1211463113
1662422400,2022-09-06 00:00:00,DAG/USDT,0.074973,0.079,0.072156,0.073049,7442159.1924,558894.4545968564
1662336000,2022-09-05 00:00:00,DAG/USDT,0.075139,0.075499,0.0731,0.074749,2703127.355,201002.1301565631
1662249600,2022-09-04 00:00:00,DAG/USDT,0.076647,0.0774,0.073617,0.075175,3944935.4631,298365.7808457122
1662163200,2022-09-03 00:00:00,DAG/USDT,0.078386,0.078688,0.074782,0.076646,4522081.6636,348406.9328843869
1662076800,2022-09-02 00:00:00,DAG/USDT,0.075869,0.084,0.07281,0.0784,9818090.39954785,767028.96967020936475
1661990400,2022-09-01 00:00:00,DAG/USDT,0.075306,0.080051,0.0712,0.076102,10177626.0159,752313.5520831668
1661904000,2022-08-31 00:00:00,DAG/USDT,0.075359,0.083,0.073246,0.075783,8448684.49048312,653736.06487014568575
