https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MITX,Volume USDT
1663459200,2022-09-18 00:00:00,MITX/USDT,0.0051,0.00511,0.005084,0.005109,346082.9562,1764.9693737928
1663372800,2022-09-17 00:00:00,MITX/USDT,0.004881,0.005133,0.00485,0.005109,21935511.2342,109910.4617377594
1663286400,2022-09-16 00:00:00,MITX/USDT,0.00513,0.005174,0.004827,0.004895,22651664.1241,112670.8617341877
1663200000,2022-09-15 00:00:00,MITX/USDT,0.004999,0.0068,0.004767,0.005145,34082788.2781,187131.2803594656
1663113600,2022-09-14 00:00:00,MITX/USDT,0.0049,0.005014,0.004636,0.005001,23260278.8637,112996.2379241071
1663027200,2022-09-13 00:00:00,MITX/USDT,0.004813,0.005101,0.00451,0.0049,22346462.5245,108124.4954356271
1662940800,2022-09-12 00:00:00,MITX/USDT,0.005057,0.005091,0.004677,0.004838,25668416.1431,124958.8500872149
1662854400,2022-09-11 00:00:00,MITX/USDT,0.004756,0.006,0.004516,0.005078,24334634.0484,127835.2929146058
1662768000,2022-09-10 00:00:00,MITX/USDT,0.004498,0.005256,0.004321,0.004769,21373541.139,96743.2836863578
1662681600,2022-09-09 00:00:00,MITX/USDT,0.004304,0.004649,0.004254,0.004491,22245140.2309,99432.8259776796
1662595200,2022-09-08 00:00:00,MITX/USDT,0.004525,0.004643,0.004282,0.004311,21093387.3204,93108.4363551447
1662508800,2022-09-07 00:00:00,MITX/USDT,0.004454,0.004667,0.0044,0.004532,20648947.8397,93519.5283070601
1662422400,2022-09-06 00:00:00,MITX/USDT,0.004911,0.004911,0.00434,0.004466,10976020.4036,50427.9766592752
1662336000,2022-09-05 00:00:00,MITX/USDT,0.004922,0.005005,0.004871,0.004905,9613563.7949,47313.1810027146
1662249600,2022-09-04 00:00:00,MITX/USDT,0.0051,0.005271,0.004885,0.004941,11036136.299,55787.1157676406
1662163200,2022-09-03 00:00:00,MITX/USDT,0.005206,0.005271,0.005021,0.005115,10117627.4885,52285.986371576
1662076800,2022-09-02 00:00:00,MITX/USDT,0.005104,0.005585,0.005095,0.005211,12047149.8093,63109.1805514626
1661990400,2022-09-01 00:00:00,MITX/USDT,0.005045,0.00521,0.005,0.005121,16168259.8705,82286.0356741099
1661904000,2022-08-31 00:00:00,MITX/USDT,0.005335,0.005598,0.005,0.00507,19230431.3553,100655.240400345
1661817600,2022-08-30 00:00:00,MITX/USDT,0.005549,0.005652,0.005229,0.00535,15836665.7251,86329.3656208219
1661731200,2022-08-29 00:00:00,MITX/USDT,0.005601,0.005869,0.005201,0.005582,19020975.412,104457.9558296134
1661644800,2022-08-28 00:00:00,MITX/USDT,0.00585,0.005939,0.005599,0.005634,15445337.3026,89392.9104138989
1661558400,2022-08-27 00:00:00,MITX/USDT,0.005941,0.006007,0.0054,0.005879,21544004.2311,123464.185856337
1661472000,2022-08-26 00:00:00,MITX/USDT,0.006349,0.006989,0.005941,0.005941,21350656.8846,136289.4610690889
1661385600,2022-08-25 00:00:00,MITX/USDT,0.006364,0.00655,0.00628,0.006385,6546893.3509,42082.284070566
1661299200,2022-08-24 00:00:00,MITX/USDT,0.006406,0.006688,0.006329,0.006358,5408391.594,35380.4943432625
1661212800,2022-08-23 00:00:00,MITX/USDT,0.006348,0.006447,0.00614,0.00643,3978157.7849,25171.7778001244
