https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTG,Volume BTC,tradecount
1663545600000,2022-09-19 00:00:00,BTG/BTC,0.00110500,0.00113900,0.00110300,0.00110300,705.48000000,0.78860498,162
1663459200000,2022-09-18 00:00:00,BTG/BTC,0.00116000,0.00116200,0.00109600,0.00110400,2848.15000000,3.20864108,995
1663372800000,2022-09-17 00:00:00,BTG/BTC,0.00115400,0.00116500,0.00114700,0.00115200,1234.37000000,1.42376856,467
1663286400000,2022-09-16 00:00:00,BTG/BTC,0.00118500,0.00118900,0.00114500,0.00115200,2497.27000000,2.89910824,958
1663200000000,2022-09-15 00:00:00,BTG/BTC,0.00121800,0.00121900,0.00117200,0.00118500,3402.24000000,4.04919906,1430
1663113600000,2022-09-14 00:00:00,BTG/BTC,0.00116100,0.00123100,0.00115600,0.00121900,3517.19000000,4.18130879,1615
1663027200000,2022-09-13 00:00:00,BTG/BTC,0.00115100,0.00118400,0.00112000,0.00115700,3282.33000000,3.76783159,1098
1662940800000,2022-09-12 00:00:00,BTG/BTC,0.00117900,0.00119900,0.00114000,0.00115800,2733.10000000,3.19089549,1067
1662854400000,2022-09-11 00:00:00,BTG/BTC,0.00121000,0.00123000,0.00117900,0.00117900,3143.29000000,3.75970125,1067
1662768000000,2022-09-10 00:00:00,BTG/BTC,0.00121200,0.00127900,0.00120100,0.00121000,3308.67000000,4.08166935,1421
1662681600000,2022-09-09 00:00:00,BTG/BTC,0.00122800,0.00137900,0.00120500,0.00120900,11261.49000000,14.26520981,4103
1662595200000,2022-09-08 00:00:00,BTG/BTC,0.00122900,0.00125900,0.00120100,0.00122700,2466.49000000,3.01947529,1271
1662508800000,2022-09-07 00:00:00,BTG/BTC,0.00120500,0.00124600,0.00117300,0.00122100,3165.45000000,3.80091765,1525
1662422400000,2022-09-06 00:00:00,BTG/BTC,0.00126700,0.00134900,0.00119500,0.00119600,11801.39000000,15.04553315,3044
1662336000000,2022-09-05 00:00:00,BTG/BTC,0.00113300,0.00127900,0.00110500,0.00126700,10776.53000000,12.62116981,3958
1662249600000,2022-09-04 00:00:00,BTG/BTC,0.00113200,0.00115800,0.00112400,0.00113500,5810.37000000,6.64188661,904
1662163200000,2022-09-03 00:00:00,BTG/BTC,0.00112600,0.00114600,0.00112000,0.00112700,1785.66000000,2.01478426,554
1662076800000,2022-09-02 00:00:00,BTG/BTC,0.00113800,0.00114500,0.00112000,0.00112600,1854.22000000,2.09731345,521
1661990400000,2022-09-01 00:00:00,BTG/BTC,0.00114000,0.00115300,0.00112200,0.00113100,1400.23000000,1.58638041,580
1661904000000,2022-08-31 00:00:00,BTG/BTC,0.00115000,0.00115000,0.00112600,0.00114000,1760.12000000,1.99908812,540
1661817600000,2022-08-30 00:00:00,BTG/BTC,0.00115100,0.00117300,0.00112000,0.00114200,3251.41000000,3.72855143,902
1661731200000,2022-08-29 00:00:00,BTG/BTC,0.00112800,0.00123500,0.00111900,0.00115100,14993.92000000,17.43942209,2369
1661644800000,2022-08-28 00:00:00,BTG/BTC,0.00116300,0.00122000,0.00112800,0.00112800,8514.36000000,9.95126741,1700
1661558400000,2022-08-27 00:00:00,BTG/BTC,0.00116700,0.00116900,0.00113700,0.00116300,1521.49000000,1.75450055,687
1661472000000,2022-08-26 00:00:00,BTG/BTC,0.00121300,0.00123100,0.00115700,0.00116700,2227.71000000,2.62789174,971
1661385600000,2022-08-25 00:00:00,BTG/BTC,0.00120500,0.00122300,0.00119500,0.00121000,1739.34000000,2.09719847,679
1661299200000,2022-08-24 00:00:00,BTG/BTC,0.00117200,0.00122300,0.00117000,0.00120500,3546.49000000,4.24213680,1086
1661212800000,2022-08-23 00:00:00,BTG/BTC,0.00115500,0.00119600,0.00113700,0.00117000,3203.80000000,3.74121772,1310
1661126400000,2022-08-22 00:00:00,BTG/BTC,0.00116000,0.00118500,0.00110200,0.00115500,3995.63000000,4.52466878,1483
1661040000000,2022-08-21 00:00:00,BTG/BTC,0.00116600,0.00116800,0.00114500,0.00116000,2137.01000000,2.46809850,2923
1660953600000,2022-08-20 00:00:00,BTG/BTC,0.00114100,0.00121400,0.00113800,0.00116000,4748.12000000,5.55884452,1579
1660867200000,2022-08-19 00:00:00,BTG/BTC,0.00121700,0.00122100,0.00112900,0.00114600,4288.22000000,4.99936796,1658
1660780800000,2022-08-18 00:00:00,BTG/BTC,0.00122900,0.00125300,0.00120400,0.00121600,1232.75000000,1.51676430,628
1660694400000,2022-08-17 00:00:00,BTG/BTC,0.00122500,0.00125400,0.00120400,0.00122900,3512.24000000,4.33145579,1022
1660608000000,2022-08-16 00:00:00,BTG/BTC,0.00124200,0.00128700,0.00122000,0.00122400,2010.59000000,2.50578118,873
1660521600000,2022-08-15 00:00:00,BTG/BTC,0.00125600,0.00127200,0.00121500,0.00123500,2532.94000000,3.12838600,942
1660435200000,2022-08-14 00:00:00,BTG/BTC,0.00128400,0.00128700,0.00124700,0.00124900,1184.46000000,1.49676967,838
1660348800000,2022-08-13 00:00:00,BTG/BTC,0.00128600,0.00130800,0.00127100,0.00128800,3952.24000000,5.10030985,1154
1660262400000,2022-08-12 00:00:00,BTG/BTC,0.00126500,0.00135200,0.00126100,0.00128400,8614.27000000,11.30569240,2650
1660176000000,2022-08-11 00:00:00,BTG/BTC,0.00122900,0.00138300,0.00117500,0.00126500,24244.50000000,30.11830001,4668
1660089600000,2022-08-10 00:00:00,BTG/BTC,0.00120700,0.00131500,0.00120200,0.00122900,6078.90000000,7.63577237,2863
1660003200000,2022-08-09 00:00:00,BTG/BTC,0.00122300,0.00122500,0.00120000,0.00121500,1569.28000000,1.90011958,799
