https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume UST
1653436800,2022-05-25 00:00:00,ETH/UST,28468.08,29069.04,28440.27,28804.81,2.34266695,67470.2831859162
1653433200,2022-05-24 23:00:00,ETH/UST,30064.14,30064.14,27842.8,28612.43,14.67943179,417348.9527913227
1653429600,2022-05-24 22:00:00,ETH/UST,30411.05,30607.36,29804.32,29887.7,1.24292399,37526.3388604307
1653426000,2022-05-24 21:00:00,ETH/UST,30362.59,30569.82,29828.33,30359.36,3.03224427,91411.9015296095
1653422400,2022-05-24 20:00:00,ETH/UST,30303.86,30562.76,29849.41,30455.24,5.65266654,170602.8032215986
1653418800,2022-05-24 19:00:00,ETH/UST,30434.41,30887.18,30036.61,30036.61,10.58206293,323147.5486397214
1653415200,2022-05-24 18:00:00,ETH/UST,30016.01,30856.82,30016.01,30609.65,9.2271284,282322.201167139
1653411600,2022-05-24 17:00:00,ETH/UST,29651.58,30096.91,29403.2,30096.91,5.76727148,171220.7948023589
1653408000,2022-05-24 16:00:00,ETH/UST,29658.17,29874.98,29155,29651.96,9.31029152,274863.6406189738
1653404400,2022-05-24 15:00:00,ETH/UST,29041.46,29799.58,28866.98,29648.42,10.91280338,319732.621951329
1653400800,2022-05-24 14:00:00,ETH/UST,30119.95,30357.9,28851.19,29267.06,22.31735394,660568.3934657917
1653397200,2022-05-24 13:00:00,ETH/UST,29042.18,30100.91,28973.61,30063.47,13.52860462,402539.1763009142
1653393600,2022-05-24 12:00:00,ETH/UST,29565.86,29874.95,28100.01,29042.18,14.09232118,408413.7910789398
1653390000,2022-05-24 11:00:00,ETH/UST,30153.51,30153.51,29419.3,29782.35,8.52426817,253845.2577149936
1653386400,2022-05-24 10:00:00,ETH/UST,30775.36,30965.97,30139.85,30139.85,14.27943379,436032.7643354673
1653382800,2022-05-24 09:00:00,ETH/UST,30397.2,30966,29943.66,30965.98,8.997721,274665.777003246
1653379200,2022-05-24 08:00:00,ETH/UST,30146.9,30397.2,29667.33,30397.2,10.1489355,303907.429268561
1653375600,2022-05-24 07:00:00,ETH/UST,29554.86,30567.05,29554.86,30185.91,8.97004001,269200.8036050857
1653372000,2022-05-24 06:00:00,ETH/UST,29230.46,30207.73,28800.02,29514.38,7.01590681,206503.4961397527
1653368400,2022-05-24 05:00:00,ETH/UST,29506.32,30455.24,29200,29230.46,7.02510621,208759.2327572347
1653364800,2022-05-24 04:00:00,ETH/UST,31068.24,31223.46,29520.98,29520.98,6.3626605,194318.351416952
1653361200,2022-05-24 03:00:00,ETH/UST,30750.75,31567.95,30712.26,30993.21,4.01774227,124671.4629478258
1653357600,2022-05-24 02:00:00,ETH/UST,30812.83,31243.23,30386.03,30750.75,5.46590658,169033.9911127134
1653354000,2022-05-24 01:00:00,ETH/UST,29947.88,31274.58,29947.88,30758.87,11.93029477,365726.638480943
1653350400,2022-05-24 00:00:00,ETH/UST,28440.27,30153.26,27993.09,30153.26,13.24835138,382209.1774024971
1653346800,2022-05-23 23:00:00,ETH/UST,27958.09,29213.7,27958.09,28440.27,5.20955365,148728.9005030803
1653343200,2022-05-23 22:00:00,ETH/UST,27909.18,28840.65,27610.19,27958.09,5.7953932,164279.081765928
