https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR
1663473600000,2022-09-18 04:00:00,ETH/EUR,1451.4,1456.91,1330.0,1345.24,35.155665,47292.8067846
1663387200000,2022-09-17 04:00:00,ETH/EUR,1438.39,1469.98,1416.93,1451.4,12.12792,17602.463088
1663300800000,2022-09-16 04:00:00,ETH/EUR,1467.04,1504.99,1404.28,1438.39,13.406901,19284.35232939
1663214400000,2022-09-15 04:00:00,ETH/EUR,1600.0,1720.62,1450.0,1467.04,83.732701,122839.22167504001
1663128000000,2022-09-14 04:00:00,ETH/EUR,1601.73,1678.91,1550.0,1600.0,0.952146,1523.4336
1663041600000,2022-09-13 04:00:00,ETH/EUR,1748.99,1748.99,1562.4,1601.73,432.215994,692293.32406962
1662955200000,2022-09-12 04:00:00,ETH/EUR,1713.53,1748.99,1671.6,1748.99,88.955411,155582.12428489
1662868800000,2022-09-11 04:00:00,ETH/EUR,1752.06,1765.75,1701.88,1713.53,251.929065,431688.01074945
1662782400000,2022-09-10 04:00:00,ETH/EUR,1712.63,1772.63,1706.23,1752.06,69.279178,121381.27660668
1662696000000,2022-09-09 04:00:00,ETH/EUR,1658.02,1729.03,1658.02,1712.63,229.921301,393770.11773163005
1662609600000,2022-09-08 04:00:00,ETH/EUR,1621.67,1658.25,1597.26,1658.02,266.701865,442197.0262073
1662523200000,2022-09-07 04:00:00,ETH/EUR,1529.83,1650.17,1529.83,1621.67,32.344362,52451.88152454
1662436800000,2022-09-06 04:00:00,ETH/EUR,1651.39,1688.91,1515.55,1529.83,317.172098,485219.39068333997
1662350400000,2022-09-05 04:00:00,ETH/EUR,1591.87,1680.0,1570.17,1651.39,192.854255,318477.58816445
1662264000000,2022-09-04 04:00:00,ETH/EUR,1561.24,1594.49,1552.13,1591.87,337.326697,536980.24915339
1662177600000,2022-09-03 04:00:00,ETH/EUR,1569.04,1573.95,1546.27,1561.24,64.38517,100520.70281080001
1662091200000,2022-09-02 04:00:00,ETH/EUR,1600.19,1644.86,1561.22,1569.04,160.539552,251892.97867007996
1662004800000,2022-09-01 04:00:00,ETH/EUR,1542.81,1603.91,1532.47,1600.19,228.679236,365930.22665484
1661918400000,2022-08-31 04:00:00,ETH/EUR,1602.32,1659.99,1534.22,1542.81,36.808958,56789.22849197999
1661832000000,2022-08-30 04:00:00,ETH/EUR,1532.63,1602.32,1479.64,1602.32,228.334223,365864.49219735997
1661745600000,2022-08-29 04:00:00,ETH/EUR,1462.7,1554.69,1446.23,1532.63,251.538385,385515.27500255004
1661659200000,2022-08-28 04:00:00,ETH/EUR,1499.36,1505.11,1433.57,1462.7,356.628386,521640.3402022
1661572800000,2022-08-27 04:00:00,ETH/EUR,1557.14,1557.14,1459.65,1499.36,56.727524,85054.98038464
1661486400000,2022-08-26 04:00:00,ETH/EUR,1679.91,1694.08,1500.0,1557.14,419.785566,653664.8962412401
1661400000000,2022-08-25 04:00:00,ETH/EUR,1669.43,1721.13,1669.43,1679.91,141.217812,237233.21455692002
1661313600000,2022-08-24 04:00:00,ETH/EUR,1621.92,1693.28,1621.92,1669.43,69.421194,115893.82389942001
1661227200000,2022-08-23 04:00:00,ETH/EUR,1623.42,1671.78,1583.67,1621.92,406.941272,660026.18788224
1661140800000,2022-08-22 04:00:00,ETH/EUR,1599.86,1645.09,1530.81,1623.42,439.792084,713967.26500728
1661054400000,2022-08-21 04:00:00,ETH/EUR,1582.38,1637.62,1564.21,1599.86,307.41311,491817.9381646
1660968000000,2022-08-20 04:00:00,ETH/EUR,1617.36,1701.46,1524.61,1582.38,402.48904,636890.6071152
1660881600000,2022-08-19 04:00:00,ETH/EUR,1805.22,1860.03,1600.0,1617.36,444.80958,719417.2223088
1660795200000,2022-08-18 04:00:00,ETH/EUR,1820.57,1861.9,1796.16,1805.22,173.457551,313129.04021622
1660708800000,2022-08-17 04:00:00,ETH/EUR,1868.2,1921.43,1791.13,1820.57,193.421124,352136.69572068
1660622400000,2022-08-16 04:00:00,ETH/EUR,1835.27,1888.86,1828.36,1868.2,179.998852,336273.8553064
1660536000000,2022-08-15 04:00:00,ETH/EUR,1937.93,1959.99,1835.27,1835.27,231.60944,425065.85694880004
1660449600000,2022-08-14 04:00:00,ETH/EUR,1923.91,1973.12,1872.0,1937.93,219.37947,425142.05629710003
1660363200000,2022-08-13 04:00:00,ETH/EUR,1941.31,1945.39,1922.72,1923.91,2.665283,5127.76461653
1660276800000,2022-08-12 04:00:00,ETH/EUR,1840.65,1941.31,1809.24,1941.31,165.675043,321626.61772632995
1660190400000,2022-08-11 04:00:00,ETH/EUR,1828.2,1850.0,1807.66,1840.65,115.930669,213387.78589485
1660104000000,2022-08-10 04:00:00,ETH/EUR,1637.11,1859.0,1637.11,1828.2,598.974113,1095044.4733866
1660017600000,2022-08-09 04:00:00,ETH/EUR,1745.36,1746.51,1627.13,1637.11,386.95332,633485.1497052
1659931200000,2022-08-08 04:00:00,ETH/EUR,1683.56,1774.14,1680.5,1745.36,350.045692,610955.7489891199
1659844800000,2022-08-07 04:00:00,ETH/EUR,1654.09,1691.23,1645.04,1683.56,303.329502,510673.41638711997
1659758400000,2022-08-06 04:00:00,ETH/EUR,1708.54,1708.54,1643.24,1654.09,121.970558,201750.28028222
1659672000000,2022-08-05 04:00:00,ETH/EUR,1621.18,1715.64,1617.09,1708.54,417.837612,713892.27360648
1659585600000,2022-08-04 04:00:00,ETH/EUR,1627.72,1633.84,1546.17,1621.18,374.883133,607753.03755694
1659499200000,2022-08-03 04:00:00,ETH/EUR,1588.7,1642.97,1587.07,1627.72,54.910574,89379.03951128
1659412800000,2022-08-02 04:00:00,ETH/EUR,1532.05,1643.28,1527.82,1588.7,448.052407,711820.8590009001
1659326400000,2022-08-01 04:00:00,ETH/EUR,1649.39,1655.04,1532.05,1532.05,397.42139,608869.4405494999
1659240000000,2022-07-31 04:00:00,ETH/EUR,1655.97,1712.8,1634.17,1649.39,285.934,471616.68026000005
1659153600000,2022-07-30 04:00:00,ETH/EUR,1669.75,1703.91,1644.26,1655.97,18.984483,31437.73431351
1659067200000,2022-07-29 04:00:00,ETH/EUR,1691.13,1724.13,1592.82,1669.75,545.886915,911494.67632125
1658980800000,2022-07-28 04:00:00,ETH/EUR,1612.57,1797.99,1612.57,1691.13,156.915949,265365.26883237006
1658894400000,2022-07-27 04:00:00,ETH/EUR,1409.6,1635.0,1409.6,1612.57,1511.935401,2438101.66959057
1658808000000,2022-07-26 04:00:00,ETH/EUR,1401.8,1434.41,1341.39,1409.6,628.410663,885807.6705647999
1658721600000,2022-07-25 04:00:00,ETH/EUR,1475.0,1514.74,1368.85,1401.8,897.278307,1257804.7307526001
1658635200000,2022-07-24 04:00:00,ETH/EUR,1524.19,1622.97,1475.0,1475.0,827.844091,1221070.034225
1658548800000,2022-07-23 04:00:00,ETH/EUR,1543.06,1564.35,1460.75,1524.19,630.868971,961564.17690849
1658462400000,2022-07-22 04:00:00,ETH/EUR,1533.03,1616.16,1488.84,1543.06,931.099877,1436742.97620362
1658376000000,2022-07-21 04:00:00,ETH/EUR,1463.11,1570.54,1439.69,1533.03,834.672516,1279578.00720348
1658289600000,2022-07-20 04:00:00,ETH/EUR,1526.19,1583.19,1461.72,1463.11,695.464422,1017540.95047242
