https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ASDBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,ASDBULL/USDT,1.891e-05,1.891e-05,1.891e-05,1.891e-05,0.0,0.0
1663542000000.0,2022-09-18 23:00:00,ASDBULL/USDT,1.891e-05,1.891e-05,1.891e-05,1.891e-05,0.0,0.0
1663538400000.0,2022-09-18 22:00:00,ASDBULL/USDT,1.891e-05,1.891e-05,1.891e-05,1.891e-05,0.0,0.0
1663534800000.0,2022-09-18 21:00:00,ASDBULL/USDT,1.896e-05,1.896e-05,1.891e-05,1.891e-05,0.0,0.0
1663531200000.0,2022-09-18 20:00:00,ASDBULL/USDT,1.9e-05,1.904e-05,1.891e-05,1.896e-05,0.0,0.0
1663527600000.0,2022-09-18 19:00:00,ASDBULL/USDT,1.905e-05,1.91e-05,1.891e-05,1.9e-05,0.0,0.0
1663524000000.0,2022-09-18 18:00:00,ASDBULL/USDT,1.914e-05,1.92e-05,1.891e-05,1.905e-05,0.0,0.0
1663520400000.0,2022-09-18 17:00:00,ASDBULL/USDT,1.91e-05,1.914e-05,1.91e-05,1.914e-05,0.0,0.0
1663516800000.0,2022-09-18 16:00:00,ASDBULL/USDT,1.904e-05,1.91e-05,1.891e-05,1.91e-05,1029654.4502617801,19.6664
1663513200000.0,2022-09-18 15:00:00,ASDBULL/USDT,1.904e-05,1.908e-05,1.904e-05,1.904e-05,0.0,0.0
1663509600000.0,2022-09-18 14:00:00,ASDBULL/USDT,1.906e-05,1.906e-05,1.904e-05,1.904e-05,0.0,0.0
1663506000000.0,2022-09-18 13:00:00,ASDBULL/USDT,1.921e-05,1.924e-05,1.905e-05,1.906e-05,0.0,0.0
1663502400000.0,2022-09-18 12:00:00,ASDBULL/USDT,1.917e-05,1.93e-05,1.904e-05,1.921e-05,0.0,0.0
1663498800000.0,2022-09-18 11:00:00,ASDBULL/USDT,1.906e-05,1.917e-05,1.906e-05,1.917e-05,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,ASDBULL/USDT,1.961e-05,1.961e-05,1.904e-05,1.906e-05,5763945.435466946,109.8608
1663491600000.0,2022-09-18 09:00:00,ASDBULL/USDT,1.98e-05,1.98e-05,1.945e-05,1.961e-05,500000.0,9.805
1663488000000.0,2022-09-18 08:00:00,ASDBULL/USDT,2.094e-05,2.094e-05,1.98e-05,1.98e-05,20000.0,0.396
1663484400000.0,2022-09-18 07:00:00,ASDBULL/USDT,2.094e-05,2.094e-05,2.094e-05,2.094e-05,0.0,0.0
