https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS3S,Volume USDT
1663459200,2022-09-18 00:00:00,AXS3S/USDT,0.1096,0.1117,0.1096,0.1117,89.5937,9.99999329
1663372800,2022-09-17 00:00:00,AXS3S/USDT,0.1179,0.1199,0.1067,0.1072,111316.7312,12778.78039598
1663286400,2022-09-16 00:00:00,AXS3S/USDT,0.1242,0.1312,0.1168,0.1199,97541.2766,12203.48015951
1663200000,2022-09-15 00:00:00,AXS3S/USDT,0.11,0.1275,0.1084,0.1237,292331.9875,34584.48672476
1663113600,2022-09-14 00:00:00,AXS3S/USDT,0.1161,0.1221,0.1076,0.1107,150814.2778,17151.89048277
1663027200,2022-09-13 00:00:00,AXS3S/USDT,0.0955,0.1178,0.0891,0.1152,283773.8913,30296.94814742
1662940800,2022-09-12 00:00:00,AXS3S/USDT,0.0898,0.0962,0.0801,0.0942,129523.7537,11413.75133512
1662854400,2022-09-11 00:00:00,AXS3S/USDT,0.0865,0.0963,0.0843,0.0891,103099.3429,9212.4135336
1662768000,2022-09-10 00:00:00,AXS3S/USDT,0.0872,0.0933,0.083,0.0867,166239.7161,14631.42705871
1662681600,2022-09-09 00:00:00,AXS3S/USDT,0.1075,0.1082,0.0764,0.0859,797568.1272,69171.23326762
1662595200,2022-09-08 00:00:00,AXS3S/USDT,0.1152,0.1203,0.1019,0.1077,237220.1525,26087.79231622
1662508800,2022-09-07 00:00:00,AXS3S/USDT,0.1269,0.135,0.1112,0.1166,254557.7129,31469.16663587
1662422400,2022-09-06 00:00:00,AXS3S/USDT,0.1027,0.1299,0.096,0.1263,348740.7966,40097.25035949
1662336000,2022-09-05 00:00:00,AXS3S/USDT,0.0983,0.1122,0.0942,0.1024,468672.6246,48059.08349587
1662249600,2022-09-04 00:00:00,AXS3S/USDT,0.0873,0.1018,0.0843,0.0982,1213336.0571,116525.84969027
1662163200,2022-09-03 00:00:00,AXS3S/USDT,0.1162,0.1168,0.0833,0.0875,1601229.46235182,147422.97888382564
1662076800,2022-09-02 00:00:00,AXS3S/USDT,0.1179,0.1255,0.107,0.1168,210097.1807,24428.52394598
1661990400,2022-09-01 00:00:00,AXS3S/USDT,0.1165,0.1327,0.114,0.118,417137.4819,51357.71147158
1661904000,2022-08-31 00:00:00,AXS3S/USDT,0.1234,0.1234,0.1043,0.1164,428841.76575325,48541.118156174479
1661817600,2022-08-30 00:00:00,AXS3S/USDT,0.1254,0.1467,0.1199,0.1252,261248.61556162,34014.462995710156
1661731200,2022-08-29 00:00:00,AXS3S/USDT,0.1458,0.1526,0.1242,0.1272,250703.11247882,34564.050382598626
1661644800,2022-08-28 00:00:00,AXS3S/USDT,0.1318,0.1487,0.125,0.1477,161807.2342766,21538.057305634446
1661558400,2022-08-27 00:00:00,AXS3S/USDT,0.1502,0.1592,0.1259,0.1306,162197.53196209,22993.572607220107
1661472000,2022-08-26 00:00:00,AXS3S/USDT,0.1178,0.1568,0.1129,0.1494,214369.09047982,28731.083323144038
1661385600,2022-08-25 00:00:00,AXS3S/USDT,0.1223,0.1248,0.112,0.1176,45750.77383161,5462.926241716953
1661299200,2022-08-24 00:00:00,AXS3S/USDT,0.121,0.13,0.1111,0.1222,100754.08762884,12058.135168972052
1661212800,2022-08-23 00:00:00,AXS3S/USDT,0.1329,0.147,0.1149,0.1193,121900.0678635,16063.726361015621
1661126400,2022-08-22 00:00:00,AXS3S/USDT,0.1291,0.1519,0.1291,0.131,175250.33063256,24947.738430495088
1661040000,2022-08-21 00:00:00,AXS3S/USDT,0.1387,0.1433,0.1229,0.1257,128150.75764444,17165.380404558376
1660953600,2022-08-20 00:00:00,AXS3S/USDT,0.1366,0.1527,0.1226,0.1378,402156.29616213,52858.785720462153
1660867200,2022-08-19 00:00:00,AXS3S/USDT,0.1035,0.1401,0.102,0.138,802565.97517231,101441.451768955825
